case_id profile d_bin epoch target lane whole_ms topology_ms seed_ms band_ms mu reference relerr converged stop status support seeds bands probes nodes panels splits
0 linear 0 0 0.001 d14-value 55.441001 54.158743000000001 0 0 7.037916549943767 7.037894869661673 3.0805066707512405e-06 1 Converged OK 0 0 0 0 107 5 0
0 linear 0 0 0.001 seed-cold-value 3.452887 2.5423749999999998 1.6288260000000001 0.86384499999999997 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 1 Converged OK 1 80 6 97 173 3 0
0 linear 0 0 0.001 seed-warm-value 2.8059370000000001 2.1517019999999998 1.252437 0.862456 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 1 Converged OK 1 80 6 97 173 3 0
0 linear 0 0 0.001 d14-jac 54.800502000000002 53.918275999999999 0 0 7.037916549943767 7.037894869661673 3.0805066707512405e-06 1 Converged OK 0 0 0 0 187 5 0
0 linear 0 0 0.001 seed-cold-jac 3.6216940000000002 2.5303010000000001 1.575032 0.90993400000000002 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 1 TopologyUnresolved GRADIENT_UNRELIABLE 1 80 6 97 174 3 0
0 linear 0 0 0.001 seed-warm-jac 1.718791 0.900918 0.0015479999999999999 0.86474399999999996 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 1 TopologyUnresolved GRADIENT_UNRELIABLE 1 80 6 97 174 3 0
0 linear 0 7 0.001 d14-value 53.827531999999998 53.430934000000001 0 0 7.1651437852467534 7.1651902970737442 6.4913596237319576e-06 1 Converged OK 0 0 0 0 107 5 0
0 linear 0 7 0.001 seed-cold-value 3.6601349999999999 2.358698 1.472607 0.84718199999999999 7.1651536238400499 7.1651902970737442 5.1182497845522025e-06 1 Converged OK 1 80 6 97 285 3 0
0 linear 0 7 0.001 seed-warm-value 2.082684 0.99130200000000002 0.11377 0.84379999999999999 7.1651536238400499 7.1651902970737442 5.1182497845522025e-06 1 Converged OK 1 80 6 97 285 3 0
0 linear 0 7 0.001 d14-jac 54.389752999999999 53.413856000000003 0 0 7.1651437852467534 7.1651902970737442 6.4913596237319576e-06 1 Converged OK 0 0 0 0 203 5 0
0 linear 0 7 0.001 seed-cold-jac 4.4039539999999997 2.4764810000000002 1.5604530000000001 0.88192400000000004 7.1651536238400499 7.1651902970737442 5.1182497845522025e-06 1 Converged OK 1 80 6 97 323 4 1
0 linear 0 7 0.001 seed-warm-jac 2.6390389999999999 0.88685099999999994 0.001183 0.84848400000000002 7.1651536238400499 7.1651902970737442 5.1182497845522025e-06 1 Converged OK 1 80 6 97 323 4 1
0 linear 0 15 0.001 d14-value 54.330392000000003 53.823400999999997 0 0 7.2540771206189403 7.2540663721087535 1.4817220625542731e-06 1 Converged OK 0 0 0 0 107 5 0
0 linear 0 15 0.001 seed-cold-value 3.7923460000000002 2.470494 1.495023 0.92949700000000002 7.2540773162363674 7.2540663721087535 1.5086886516521767e-06 1 Converged OK 1 80 6 98 301 3 0
0 linear 0 15 0.001 seed-warm-value 2.1217480000000002 1.004802 0.112081 0.85910299999999995 7.2540773162363674 7.2540663721087535 1.5086886516521767e-06 1 Converged OK 1 80 6 98 301 3 0
0 linear 0 15 0.001 d14-jac 54.333708999999999 53.436005000000002 0 0 7.2540771206189403 7.2540663721087535 1.4817220625542731e-06 1 Converged OK 0 0 0 0 187 5 0
0 linear 0 15 0.001 seed-cold-jac 4.3334720000000004 2.385389 1.479403 0.86355800000000005 7.2540773162363674 7.2540663721087535 1.5086886516521767e-06 1 Converged OK 1 80 6 98 339 4 1
0 linear 0 15 0.001 seed-warm-jac 2.675745 0.89406600000000003 0.0012199999999999999 0.85932299999999995 7.2540773162363674 7.2540663721087535 1.5086886516521767e-06 1 Converged OK 1 80 6 98 339 4 1
0 linear 0 23 0.001 d14-value 54.361362 53.783324999999998 0 0 7.2793538566257574 7.2792531935334868 1.382876643995023e-05 1 Converged OK 0 0 0 0 123 5 0
0 linear 0 23 0.001 seed-cold-value 6.9237849999999996 5.6371950000000002 1.5495319999999999 4.0425060000000004 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 98 277 3 0
0 linear 0 23 0.001 seed-warm-value 5.4063220000000003 4.2343960000000003 0.183003 4.0096470000000002 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 98 277 3 0
0 linear 0 23 0.001 d14-jac 54.862020000000001 53.807932999999998 0 0 7.2793538566257574 7.2792531935334868 1.382876643995023e-05 1 Converged OK 0 0 0 0 219 5 0
0 linear 0 23 0.001 seed-cold-jac 7.1906970000000001 5.6899660000000001 1.5326869999999999 4.1103019999999999 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 98 277 3 0
0 linear 0 23 0.001 seed-warm-jac 5.4244680000000001 4.0424329999999999 0.000843 4.0006170000000001 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 98 277 3 0
0 linear 0 0 0.0001 d14-value 54.235211999999997 53.672573 0 0 7.0379174403246445 7.037894869661673 3.2070190574750059e-06 1 Converged OK 0 0 0 0 139 5 0
0 linear 0 0 0.0001 seed-cold-value 3.0287099999999998 2.3182719999999999 1.395273 0.87503799999999998 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 80 6 97 174 3 0
0 linear 0 0 0.0001 seed-warm-value 2.7936540000000001 2.1535039999999999 1.248969 0.86261200000000005 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 80 6 97 174 3 0
0 linear 0 0 0.0001 d14-jac 56.665657000000003 55.469574000000001 0 0 7.0379174403246445 7.037894869661673 3.2070190574750059e-06 1 Converged OK 0 0 0 0 251 5 0
0 linear 0 0 0.0001 seed-cold-jac 3.477754 2.41445 1.495825 0.87400900000000004 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 80 6 97 174 3 0
0 linear 0 0 0.0001 seed-warm-jac 1.700601 0.90075700000000003 0.001207 0.86548800000000004 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 80 6 97 174 3 0
0 linear 0 7 0.0001 d14-value 54.516185 53.976773000000001 0 0 7.1651536137638754 7.1651902970737442 5.1196560520962065e-06 1 Converged OK 0 0 0 0 139 5 0
0 linear 0 7 0.0001 seed-cold-value 3.6477919999999999 2.3096329999999998 1.4386639999999999 0.83378399999999997 7.1651536248885366 7.1651902970737442 5.1181034539472385e-06 1 Converged OK 1 80 6 97 317 3 0
0 linear 0 7 0.0001 seed-warm-value 2.2369460000000001 0.99290599999999996 0.112426 0.84054700000000004 7.1651536248885366 7.1651902970737442 5.1181034539472385e-06 1 Converged OK 1 80 6 97 317 3 0
0 linear 0 7 0.0001 d14-jac 54.810679999999998 53.499772 0 0 7.1651536137638754 7.1651902970737442 5.1196560520962065e-06 1 Converged OK 0 0 0 0 251 5 0
0 linear 0 7 0.0001 seed-cold-jac 4.4705589999999997 2.412255 1.45634 0.91503500000000004 7.1651536248885366 7.1651902970737442 5.1181034539472385e-06 1 Converged OK 1 80 6 97 355 4 1
0 linear 0 7 0.0001 seed-warm-jac 2.7882549999999999 0.88951899999999995 0.00080900000000000004 0.84748900000000005 7.1651536248885366 7.1651902970737442 5.1181034539472385e-06 1 Converged OK 1 80 6 97 355 4 1
0 linear 0 15 0.0001 d14-value 54.175235000000001 53.590457999999998 0 0 7.2540774126046532 7.2540663721087535 1.5219733778805254e-06 1 Converged OK 0 0 0 0 155 5 0
0 linear 0 15 0.0001 seed-cold-value 5.0562209999999999 2.4214790000000002 1.5102800000000001 0.86770499999999995 7.2540773331190342 7.2540663721087535 1.5110159899965028e-06 1 Converged OK 1 80 6 98 587 4 1
0 linear 0 15 0.0001 seed-warm-value 3.392468 1.0172939999999999 0.124949 0.85821499999999995 7.2540773331190342 7.2540663721087535 1.5110159899965028e-06 1 Converged OK 1 80 6 98 587 4 1
0 linear 0 15 0.0001 d14-jac 55.457878999999998 53.863759999999999 0 0 7.2540774126046532 7.2540663721087535 1.5219733778805254e-06 1 Converged OK 0 0 0 0 315 5 0
0 linear 0 15 0.0001 seed-cold-jac 6.4048720000000001 2.4390849999999999 1.5240929999999999 0.87664399999999998 7.2540773331190342 7.2540663721087535 1.5110159899965028e-06 1 Converged OK 1 80 6 98 617 5 2
0 linear 0 15 0.0001 seed-warm-jac 4.3722979999999998 0.94737199999999999 0.001206 0.90792499999999998 7.2540773331190342 7.2540663721087535 1.5110159899965028e-06 1 Converged OK 1 80 6 98 617 5 2
0 linear 0 23 0.0001 d14-value 54.436511000000003 53.846505000000001 0 0 7.2793534086675269 7.2792531935334868 1.3767227403101309e-05 1 Converged OK 0 0 0 0 155 5 0
0 linear 0 23 0.0001 seed-cold-value 6.8512149999999998 5.6203820000000002 1.5419560000000001 4.0335710000000002 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 98 277 3 0
0 linear 0 23 0.0001 seed-warm-value 5.4676869999999997 4.3001820000000004 0.18459600000000001 4.0737550000000002 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 98 277 3 0
0 linear 0 23 0.0001 d14-jac 56.125162000000003 54.587769000000002 0 0 7.2793534086675269 7.2792531935334868 1.3767227403101309e-05 1 Converged OK 0 0 0 0 315 5 0
0 linear 0 23 0.0001 seed-cold-jac 7.2766659999999996 5.7190079999999996 1.611297 4.0642209999999999 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 98 277 3 0
0 linear 0 23 0.0001 seed-warm-jac 5.6254280000000003 4.1431469999999999 0.00085800000000000004 4.0986209999999996 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 98 277 3 0
0 linear 1 0 0.001 d14-value 1.364344 0.87553999999999998 0 0 589.77492952399029 589.76910771294774 9.8713394215029101e-06 1 Converged OK 0 0 0 0 137 7 0
0 linear 1 0 0.001 seed-cold-value 21.017699 5.803134 1.3323780000000001 4.4534279999999997 589.76757698411529 589.76910771294774 2.5954713674056131e-06 1 Converged OK 1 113 6 559 2001 9 6
0 linear 1 0 0.001 seed-warm-value 17.420000000000002 6.0266710000000003 1.323942 4.6785569999999996 589.76757698411529 589.76910771294774 2.5954713674056131e-06 1 Converged OK 1 113 6 559 2001 9 6
0 linear 1 0 0.001 d14-jac 3.05951 0.91515800000000003 0 0 589.77492952399029 589.76910771294774 9.8713394215029101e-06 1 Converged OK 0 0 0 0 377 7 0
0 linear 1 0 0.001 seed-cold-jac 22.055859999999999 5.7759099999999997 1.3265750000000001 4.4249799999999997 589.76757698411529 589.76910771294774 2.5954713674056131e-06 1 Converged OK 1 113 6 559 2151 10 7
0 linear 1 0 0.001 seed-warm-jac 19.31401 4.5899299999999998 0.0020040000000000001 4.563491 589.76757698411529 589.76910771294774 2.5954713674056131e-06 1 Converged OK 1 113 6 559 2151 10 7
0 linear 1 7 0.001 d14-value 1.1948049999999999 0.76464200000000004 0 0 593.09247514324659 593.08183624951698 1.7938323312822058e-05 1 Converged OK 0 0 0 0 121 7 0
0 linear 1 7 0.001 seed-cold-value 17.471236000000001 6.0245550000000003 1.435138 4.5627820000000003 593.08811060482913 593.08183624951698 1.0579240382441754e-05 1 Converged OK 1 113 6 559 2001 9 6
0 linear 1 7 0.001 seed-warm-value 13.398388000000001 4.4619410000000004 0.13080600000000001 4.3028339999999998 593.08811060482913 593.08183624951698 1.0579240382441754e-05 1 Converged OK 1 113 6 559 2001 9 6
0 linear 1 7 0.001 d14-jac 2.1215009999999999 0.767428 0 0 593.09247514324659 593.08183624951698 1.7938323312822058e-05 1 Converged OK 0 0 0 0 249 7 0
0 linear 1 7 0.001 seed-cold-jac 23.24737 6.0816999999999997 1.4859709999999999 4.5747859999999996 593.08811060482913 593.08183624951698 1.0579240382441754e-05 1 Converged OK 1 113 6 559 2151 10 7
0 linear 1 7 0.001 seed-warm-jac 18.115445999999999 4.3758710000000001 0.0017639999999999999 4.3418409999999996 593.08811060482913 593.08183624951698 1.0579240382441754e-05 1 Converged OK 1 113 6 559 2151 10 7
