case_id	d_bin_index	epoch_index	target	lane	v2_ms	probe_ms	delta_ms	v2_mu	probe_mu	scaled_mu_delta	v2_value_error	probe_value_error	v2_value_converged	probe_value_converged	v2_status	probe_status	v2_nodes	probe_nodes	v2_evaluations	probe_evaluations	v2_panels	probe_panels	v2_splits	probe_splits
9	2	7	0.001	warm	4.900818	5.035532	0.13471399999999978	7.777886422270644	7.777886422270644	0.0	0.0055985368940478621	0.0055985368940478621	1	1	OK	OK	97	97	97	97	7	7	0	0
149	1	0	0.0001	radial	0.363437	0.36084249999999995	-0.002594500000000055	439.83628148444905	439.83628148444905	0.0	0.034231177878338383	0.034231177878338383	1	1	OK	OK	114	114	114	114	6	6	0	0
149	1	0	0.001	radial	0.255198	0.293141	0.037943000000000005	439.8360798968717	439.8360798968717	0.0	0.32498471950953817	0.32498471950953817	1	1	OK	OK	82	82	82	82	6	6	0	0
149	1	15	0.0001	radial	0.29026949999999996	0.28605400000000003	-0.004215499999999928	311.89263248559104	311.89263248559104	0.0	0.030335542787348829	0.030335542787348829	1	1	OK	OK	98	98	98	98	6	6	0	0
149	1	15	0.001	radial	0.28707150000000003	0.2960895	0.00901799999999997	311.89263248559104	311.89263248559104	0.0	0.030335542787348829	0.030335542787348829	1	1	OK	OK	98	98	98	98	6	6	0	0
149	1	23	0.0001	radial	0.280702	0.28325999999999996	0.002557999999999949	242.48885214637858	242.48885214637858	0.0	0.021084566352783388	0.021084566352783388	1	1	OK	OK	98	98	98	98	6	6	0	0
149	1	23	0.001	radial	0.2851915	0.2903045	0.005113000000000034	242.48885214637858	242.48885214637858	0.0	0.021084566352783388	0.021084566352783388	1	1	OK	OK	98	98	98	98	6	6	0	0
149	1	7	0.0001	radial	0.3277545	0.3340865	0.006332000000000004	380.33221840871994	380.33221840871994	0.0	0.026580474944511382	0.026580474944511382	1	1	OK	OK	114	114	114	114	6	6	0	0
149	1	7	0.001	radial	0.2321825	0.23774800000000001	0.005565500000000001	380.3321179510988	380.3321179510988	0.0	0.35780559036149467	0.35780559036149467	1	1	OK	OK	82	82	82	82	6	6	0	0
9	2	0	0.0001	radial	0.472582	0.475684	0.0031019999999999937	10.095440834243291	10.095440834243291	0.0	0.00040338684387990941	0.00040338684387990941	1	1	OK	OK	138	138	138	138	6	6	0	0
9	2	0	0.001	radial	0.32138449999999996	0.321893	0.0005085000000000228	10.095440872700099	10.095440872700099	0.0	0.0071637301049094935	0.0071637301049094935	1	1	OK	OK	90	90	90	90	6	6	0	0
9	2	15	0.0001	radial	0.3875285	0.38575950000000003	-0.001768999999999965	5.1332020181265126	5.1332020181265126	0.0	0.00040958789470415337	0.00040958789470415337	1	1	OK	OK	123	123	123	123	5	5	0	0
9	2	15	0.001	radial	0.2756515	0.27625049999999995	0.0005989999999999607	5.133202120741542	5.133202120741542	0.0	0.0050369323497478236	0.0050369323497478236	1	1	OK	OK	83	83	83	83	5	5	0	0
9	2	23	0.0001	radial	0.212898	0.21184799999999998	-0.0010500000000000231	4.220551918422449	4.220551918422449	0.0	0.00038178030528326673	0.00038178030528326673	1	1	OK	OK	77	77	77	77	3	3	0	0
9	2	23	0.001	radial	0.17719649999999998	0.17750549999999998	0.0003090000000000037	4.220551918412217	4.220551918412217	0.0	0.0016503719004966595	0.0016503719004966595	1	1	OK	OK	61	61	61	61	3	3	0	0
9	2	7	0.0001	radial	0.6352059999999999	0.6353340000000001	0.000128000000000128	7.777886004418398	7.777886004418398	0.0	0.00040700567954328671	0.00040700567954328671	1	1	OK	OK	177	177	177	177	7	7	0	0
9	2	7	0.001	radial	0.4031595	0.403047	-0.00011250000000001537	7.777886422270644	7.777886422270644	0.0	0.0055985368940478621	0.0055985368940478621	1	1	OK	OK	97	97	97	97	7	7	0	0
