case_id	d_bin_index	epoch_index	target	lane	v2_ms	probe_ms	delta_ms	v2_mu	probe_mu	scaled_mu_delta	v2_value_error	probe_value_error	v2_value_converged	probe_value_converged	v2_status	probe_status	v2_nodes	probe_nodes	v2_evaluations	probe_evaluations	v2_panels	probe_panels	v2_splits	probe_splits
149	1	0	0.0001	cold	53.120261	53.027141	-0.09311999999999898	439.83628148444905	439.83628148444905	0.0	0.034231177878338383	0.034231177878338383	1	1	OK	OK	114	114	114	114	6	6	0	0
149	1	0	0.001	cold	52.952258	52.772501500000004	-0.17975649999999632	439.8360798968717	439.8360798968717	0.0	0.32498471950953817	0.32498471950953817	1	1	OK	OK	82	82	82	82	6	6	0	0
149	1	15	0.0001	cold	54.7864175	54.641310000000004	-0.14510749999999462	311.89263248559104	311.89263248559104	0.0	0.030335542787348829	0.030335542787348829	1	1	OK	OK	98	98	98	98	6	6	0	0
149	1	15	0.001	cold	54.764849999999996	54.624914000000004	-0.13993599999999162	311.89263248559104	311.89263248559104	0.0	0.030335542787348829	0.030335542787348829	1	1	OK	OK	98	98	98	98	6	6	0	0
149	1	23	0.0001	cold	0.8788895	0.871568	-0.007321499999999981	242.48885214637858	242.48885214637858	0.0	0.021084566352783388	0.021084566352783388	1	1	OK	OK	98	98	98	98	6	6	0	0
149	1	23	0.001	cold	0.8800760000000001	0.8826514999999999	0.002575499999999842	242.48885214637858	242.48885214637858	0.0	0.021084566352783388	0.021084566352783388	1	1	OK	OK	98	98	98	98	6	6	0	0
149	1	7	0.0001	cold	56.734539	56.576425	-0.15811399999999765	380.33221840871994	380.33221840871994	0.0	0.026580474944511382	0.026580474944511382	1	1	OK	OK	114	114	114	114	6	6	0	0
149	1	7	0.001	cold	56.632916	56.433897	-0.19901899999999983	380.3321179510988	380.3321179510988	0.0	0.35780559036149467	0.35780559036149467	1	1	OK	OK	82	82	82	82	6	6	0	0
9	2	0	0.0001	cold	1.344751	1.365161	0.02041000000000004	10.095440834243291	10.095440834243291	0.0	0.00040338684387990941	0.00040338684387990941	1	1	OK	OK	138	138	138	138	6	6	0	0
9	2	0	0.001	cold	1.2004329999999999	1.2100529999999998	0.009619999999999962	10.095440872700099	10.095440872700099	0.0	0.0071637301049094935	0.0071637301049094935	1	1	OK	OK	90	90	90	90	6	6	0	0
9	2	15	0.0001	cold	1.03078	1.019574	-0.01120600000000005	5.1332020181265126	5.1332020181265126	0.0	0.00040958789470415337	0.00040958789470415337	1	1	OK	OK	123	123	123	123	5	5	0	0
9	2	15	0.001	cold	0.9118949999999999	0.912187	0.00029200000000007	5.133202120741542	5.133202120741542	0.0	0.0050369323497478236	0.0050369323497478236	1	1	OK	OK	83	83	83	83	5	5	0	0
9	2	23	0.0001	cold	0.9034845	0.8976204999999999	-0.005864000000000091	4.220551918422449	4.220551918422449	0.0	0.00038178030528326673	0.00038178030528326673	1	1	OK	OK	77	77	77	77	3	3	0	0
9	2	23	0.001	cold	0.8686419999999999	0.8706125	0.001970500000000097	4.220551918412217	4.220551918412217	0.0	0.0016503719004966595	0.0016503719004966595	1	1	OK	OK	61	61	61	61	3	3	0	0
9	2	7	0.0001	cold	3.633722	3.6587215000000004	0.024999500000000285	7.777886004418398	7.777886004418398	0.0	0.00040700567954328671	0.00040700567954328671	1	1	OK	OK	177	177	177	177	7	7	0	0
9	2	7	0.001	cold	3.3589535	3.366961	0.008007499999999723	7.777886422270644	7.777886422270644	0.0	0.0055985368940478621	0.0055985368940478621	1	1	OK	OK	97	97	97	97	7	7	0	0
149	1	0	0.0001	warm	53.080816	52.897677	-0.18313899999999705	439.83628148444905	439.83628148444905	0.0	0.034231177878338383	0.034231177878338383	1	1	OK	OK	114	114	114	114	6	6	0	0
149	1	0	0.001	warm	52.9843275	52.783684	-0.2006434999999982	439.8360798968717	439.8360798968717	0.0	0.32498471950953817	0.32498471950953817	1	1	OK	OK	82	82	82	82	6	6	0	0
149	1	15	0.0001	warm	4.6053905	4.728915000000001	0.12352450000000026	311.8926324854873	311.8926324854873	0.0	0.030335542849396133	0.030335542849396133	1	1	OK	OK	98	98	98	98	6	6	0	0
149	1	15	0.001	warm	4.610109	4.744479500000001	0.13437050000000106	311.8926324854873	311.8926324854873	0.0	0.030335542849396133	0.030335542849396133	1	1	OK	OK	98	98	98	98	6	6	0	0
149	1	23	0.0001	warm	54.487252999999995	54.266574	-0.22067899999999696	242.48885214622607	242.48885214622607	0.0	0.021084566312648583	0.021084566312648583	1	1	OK	OK	98	98	98	98	6	6	0	0
149	1	23	0.001	warm	54.493544	54.236366000000004	-0.25717799999999613	242.48885214622607	242.48885214622607	0.0	0.021084566312648583	0.021084566312648583	1	1	OK	OK	98	98	98	98	6	6	0	0
149	1	7	0.0001	warm	56.5699125	56.388663	-0.18124949999999984	380.33221840871994	380.33221840871994	0.0	0.026580474944511382	0.026580474944511382	1	1	OK	OK	114	114	114	114	6	6	0	0
149	1	7	0.001	warm	56.333349	56.231236499999994	-0.10211250000000405	380.3321179510988	380.3321179510988	0.0	0.35780559036149467	0.35780559036149467	1	1	OK	OK	82	82	82	82	6	6	0	0
9	2	0	0.0001	warm	1.3286805	1.3341805	0.00550000000000006	10.095440834243291	10.095440834243291	0.0	0.00040338684387990941	0.00040338684387990941	1	1	OK	OK	138	138	138	138	6	6	0	0
9	2	0	0.001	warm	1.178728	1.1797995000000001	0.001071500000000114	10.095440872700099	10.095440872700099	0.0	0.0071637301049094935	0.0071637301049094935	1	1	OK	OK	90	90	90	90	6	6	0	0
9	2	15	0.0001	warm	1.1116465	1.112976	0.0013294999999999835	5.1332020181278635	5.1332020181278635	0.0	0.00040958788742367246	0.00040958788742367246	1	1	OK	OK	123	123	123	123	5	5	0	0
9	2	15	0.001	warm	0.992516	0.993939	0.001423000000000063	5.133202120740397	5.133202120740397	0.0	0.0050369323469623278	0.0050369323469623278	1	1	OK	OK	83	83	83	83	5	5	0	0
9	2	23	0.0001	warm	0.6907325	0.690258	-0.0004744999999999333	4.220551918422449	4.220551918422449	0.0	0.00038178030528326673	0.00038178030528326673	1	1	OK	OK	77	77	77	77	3	3	0	0
9	2	23	0.001	warm	0.6450285	0.6458305	0.0008019999999999694	4.220551918412217	4.220551918412217	0.0	0.0016503719004966595	0.0016503719004966595	1	1	OK	OK	61	61	61	61	3	3	0	0
9	2	7	0.0001	warm	5.201506	5.3611435	0.15963749999999965	7.777886004418398	7.777886004418398	0.0	0.00040700567954328671	0.00040700567954328671	1	1	OK	OK	177	177	177	177	7	7	0	0
