# V2 adaptive trajectory benchmark; value-only; radial-only topology prebuilt; full-cold D14/topology per epoch; full-warm L2 D14 warm seed; repeats median; n_r=adaptive
case_id configuration_id profile d_bin_index epoch_index trajectory_id trajectory_pos target s q rho x y time u X reference topology_status topology_cells topology_events cold_ms warm_ms radial_ms cold_topology_ms warm_topology_ms radial_topology_ms cold_adaptive_ms warm_adaptive_ms radial_adaptive_ms cold_setup_ms warm_setup_ms radial_setup_ms cold_physical_ms warm_physical_ms radial_physical_ms cold_estimator_ms warm_estimator_ms radial_estimator_ms cold_scheduler_ms warm_scheduler_ms radial_scheduler_ms cold_mu warm_mu radial_mu cold_error warm_error radial_error cold_value_converged warm_value_converged radial_value_converged cold_stop warm_stop radial_stop cold_status warm_status radial_status cold_nodes warm_nodes radial_nodes cold_evaluations warm_evaluations radial_evaluations cold_panels warm_panels radial_panels cold_splits warm_splits radial_splits warm_l1 warm_l2 warm_l3 warm_rescreen_fail warm_seed_used
0 0 linear 0 0 0 0 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0.5 -1.0576909932376057 7.037894869661673 OK 13 12 53.543574999999997 53.421154000000001 0.236785 53.252215 53.153646999999999 0 0.2913599999999974 0.26750700000000194 0.236785 0.011620999999999999 0.011582 0.016559000000000001 0.24758099999999988 0.22778000000000001 0.19640700000000003 0.0051470000000000005 0.0056220000000000003 0.0039280000000000001 0.0019170000000000001 0.00123 0.00088700000000000009 7.0379226907888537 7.0379226907888537 7.0379226907888537 0.006970917037953021 0.006970917037953021 0.006970917037953021 1 1 1 Converged Converged Converged OK OK OK 67 67 67 67 67 67 5 5 5 0 0 0 0 0 1 0 0
0 0 linear 0 7 0 1 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0.5 -1.0577120131363507 7.1651902970737442 OK 13 12 53.600735 53.225199000000003 0.27638400000000002 53.243853000000001 52.827021000000002 0 0.35688199999999881 0.39817800000000148 0.27638400000000002 0.011524 0.010517 0.010536999999999999 0.31225499999999995 0.35725399999999996 0.24206099999999992 0.0067710000000000001 0.0068540000000000007 0.0047709999999999992 0.001926 0.0012360000000000001 0.00098299999999999993 7.1651756850427599 7.1651756850427599 7.1651756850427599 0.0042243841136262337 0.0042243841136262337 0.0042243841136262337 1 1 1 Converged Converged Converged OK OK OK 83 83 83 83 83 83 5 5 5 0 0 0 0 1 0 0 1
0 0 linear 0 15 0 2 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0.5 -1.0577360358777737 7.2540663721087535 OK 13 12 53.659199999999998 53.663789000000001 0.31284099999999998 53.271296 53.201754999999999 0 0.38790399999999892 0.46203400000000272 0.31284099999999998 0.011761000000000001 0.010410000000000001 0.0091859999999999997 0.34327799999999997 0.41708799999999996 0.25764200000000009 0.0075040000000000003 0.0075420000000000001 0.0049269999999999991 0.001524 0.0021749999999999999 0.0011819999999999999 7.2540425509600803 7.2540425509600803 7.2540425509600803 0.0047351340955985475 0.0047351340955985475 0.0047351340955985475 1 1 1 Converged Converged Converged OK OK OK 91 91 91 91 91 91 5 5 5 0 0 0 0 1 0 0 1
0 0 linear 0 23 0 3 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0.5 -1.0577600586191964 7.2792531935334868 OK 13 12 53.671613000000001 53.516421000000001 0.31436799999999998 53.263807999999997 53.114283999999998 0 0.4078050000000033 0.4021370000000033 0.31436799999999998 0.011591000000000001 0.010529999999999999 0.010229 0.36121099999999995 0.36151699999999981 0.28105900000000006 0.0098759999999999994 0.0079140000000000009 0.0044320000000000002 0.0015880000000000002 0.001596 0.0011029999999999998 7.2793514851610421 7.2793514851610421 7.2793514851610421 0.0045131773167325605 0.0045131773167325605 0.0045131773167325605 1 1 1 Converged Converged Converged OK OK OK 91 91 91 91 91 91 5 5 5 0 0 0 0 1 0 0 1
0 0 linear 0 0 0 0 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0.5 -1.0576909932376057 7.037894869661673 OK 13 12 53.640310999999997 53.726667999999997 0.35810999999999998 53.225862999999997 53.275753999999999 0 0.41444800000000015 0.45091399999999737 0.35810999999999998 0.011816 0.011924000000000001 0.011075 0.35188600000000009 0.38554800000000006 0.30795800000000018 0.0093400000000000011 0.011912000000000001 0.0067450000000000001 0.0021250000000000002 0.0022040000000000002 0.0014009999999999999 7.037916549943767 7.037916549943767 7.037916549943767 0.00061097229468238959 0.00061097229468238959 0.00061097229468238959 1 1 1 Converged Converged Converged OK OK OK 107 107 107 107 107 107 5 5 5 0 0 0 0 0 1 0 0
0 0 linear 0 7 0 1 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0.5 -1.0577120131363507 7.1651902970737442 OK 13 12 53.522528999999999 53.373320999999997 0.38398100000000002 53.105227999999997 52.789658000000003 0 0.41730100000000192 0.58366299999999427 0.38398100000000002 0.011665999999999999 0.010342 0.0093559999999999997 0.36231099999999999 0.51142100000000024 0.33365200000000006 0.01123 0.01242 0.0067259999999999993 0.0021419999999999998 0.0017200000000000002 0.00132 7.1651536136369565 7.1651536136369565 7.1651536136369565 0.00032612592464768391 0.00032612592464768391 0.00032612592464768391 1 1 1 Converged Converged Converged OK OK OK 123 123 123 123 123 123 5 5 5 0 0 0 0 1 0 0 1
0 0 linear 0 15 0 2 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0.5 -1.0577360358777737 7.2540663721087535 OK 13 12 53.711801000000001 53.804099999999998 0.37676999999999999 53.278415000000003 53.219849000000004 0 0.43338599999999872 0.58425099999999475 0.37676999999999999 0.012062 0.010518 0.0090589999999999993 0.37844300000000003 0.53010199999999996 0.33631299999999997 0.011478000000000002 0.010933999999999999 0.0064100000000000008 0.0024499999999999999 0.0037669999999999999 0.001392 7.2540771215429523 7.2540771215429523 7.2540771215429523 0.00044980356117641239 0.00044980356117641239 0.00044980356117641239 1 1 1 Converged Converged Converged OK OK OK 123 123 123 123 123 123 5 5 5 0 0 0 0 1 0 0 1
0 0 linear 0 23 0 3 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0.5 -1.0577600586191964 7.2792531935334868 OK 13 12 53.791854999999998 53.730334999999997 0.3836 53.339785999999997 53.111097000000001 0 0.45206900000000161 0.61923799999999574 0.3836 0.011616 0.010555 0.0092510000000000005 0.40020100000000008 0.56157999999999986 0.34373999999999993 0.010279000000000002 0.013036000000000001 0.0060899999999999999 0.0026760000000000004 0.0018960000000000001 0.0013060000000000001 7.2793538566257574 7.2793538566257574 7.2793538566257574 0.00042741280698348368 0.00042741280698348368 0.00042741280698348368 1 1 1 Converged Converged Converged OK OK OK 123 123 123 123 123 123 5 5 5 0 0 0 0 1 0 0 1
0 0 linear 1 0 1 0 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0.5 0.10924686468716169 589.76910771294774 OK 15 15 1.063253 1.04688 0.32850699999999999 0.72529999999999994 0.70996899999999996 0 0.33795300000000006 0.33691100000000007 0.32850699999999999 0.012149999999999999 0.011820000000000001 0.011495 0.28827299999999989 0.28981200000000007 0.28197099999999986 0.0050600000000000003 0.0048050000000000002 0.0049809999999999993 0.001341 0.0012340000000000001 0.0012990000000000002 589.76731831372365 589.76731831372365 589.76731831372365 0.37759342414534541 0.37759342414534541 0.37759342414534541 1 1 1 Converged Converged Converged OK OK OK 105 105 105 105 105 105 7 7 7 0 0 0 0 0 1 0 0
0 0 linear 1 7 1 1 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025960253015999791 0.5 0.10922584478841664 593.08183624951698 OK 15 15 0.91452100000000003 0.82202600000000003 0.32146400000000003 0.59061399999999997 0.46318999999999999 0 0.32390700000000006 0.35883600000000004 0.32146400000000003 0.012539 0.012670000000000001 0.011730000000000001 0.28511300000000001 0.31935199999999986 0.28364199999999989 0.0051150000000000006 0.0056660000000000009 0.0052549999999999993 0.001255 0.0013110000000000001 0.0013680000000000001 593.09247526628167 593.09247526628167 593.09247526628167 0.32958847976937145 0.32958847976937145 0.32958847976937145 1 1 1 Converged Converged Converged OK OK OK 105 105 105 105 105 105 7 7 7 0 0 0 0 1 0 0 1
