case_id	configuration_id	profile	d_bin_index	epoch_index	rep	lane	max_scaled_root_delta	role_mismatches	physical_mismatches
1	1	linear	1	15	0	warm	9.788342716528104e-56	0	0
1	1	linear	1	23	0	cold	3.248625454427117e-46	0	0
1	1	linear	1	23	0	warm	8.00912672383992e-48	0	0
1	1	linear	2	0	0	cold	2.4736297663765908e-57	0	0
1	1	linear	2	0	0	warm	2.4736297663765908e-57	0	0
1	1	linear	2	7	0	cold	8.102162324144183e-36	0	0
1	1	linear	2	7	0	warm	1.6880451973690543e-21	0	0
1	1	linear	2	15	0	cold	4.470446128494474e-38	0	0
1	1	linear	2	15	0	warm	1.861882169571287e-41	0	0
1	1	linear	2	23	0	cold	1.864880004761629e-33	0	0
1	1	linear	2	23	0	warm	1.6231746516906422e-34	0	0
1	1	linear	3	0	0	cold	4.40180367010082e-41	0	0
1	1	linear	3	0	0	warm	4.40180367010082e-41	0	0
1	1	linear	3	7	0	cold	1.1384089254445619e-45	0	0
1	1	linear	3	7	0	warm	4.246842021849287e-48	0	0
1	1	linear	3	15	0	cold	4.482571038799607e-43	0	0
1	1	linear	3	15	0	warm	1.7785726375478426e-41	0	0
1	1	linear	3	23	0	cold	4.884818043959113e-44	0	0
1	1	linear	3	23	0	warm	7.457301175519058e-39	0	0
1	1	linear	4	0	0	cold	1.7554865070810157e-67	0	0
1	1	linear	4	0	0	warm	1.7554865070810157e-67	0	0
1	1	linear	4	7	0	cold	5.478454454651293e-67	0	0
1	1	linear	4	7	0	warm	8.804658944975295e-68	0	0
1	1	linear	4	15	0	cold	2.3415887901695837e-75	0	0
1	1	linear	4	15	0	warm	5.2839365282749375e-67	0	0
1	1	linear	4	23	0	cold	4.367597220313159e-67	0	0
1	1	linear	4	23	0	warm	3.574288117911591e-64	0	0
1	1	uniform	0	0	0	cold	2.4785665273468035e-44	0	0
1	1	uniform	0	0	0	warm	2.4785665273468035e-44	0	0
1	1	uniform	0	7	0	cold	3.109331593262903e-42	0	0
1	1	uniform	0	7	0	warm	4.9171243665267456e-42	0	0
1	1	uniform	0	15	0	cold	3.805113143081256e-40	0	0
1	1	uniform	0	15	0	warm	4.828172823446658e-43	0	0
1	1	uniform	0	23	0	cold	1.5045617187937086e-45	0	0
1	1	uniform	0	23	0	warm	5.780122374914575e-44	0	0
1	1	uniform	1	0	0	cold	2.916182109905125e-67	0	0
1	1	uniform	1	0	0	warm	2.916182109905125e-67	0	0
1	1	uniform	1	7	0	cold	3.0054106694184556e-41	0	0
1	1	uniform	1	7	0	warm	1.9121972526023697e-47	0	0
1	1	uniform	1	15	0	cold	2.8657902878903875e-45	0	0
1	1	uniform	1	15	0	warm	9.788342716528104e-56	0	0
1	1	uniform	1	23	0	cold	3.248625454427117e-46	0	0
1	1	uniform	1	23	0	warm	8.00912672383992e-48	0	0
1	1	uniform	2	0	0	cold	2.4736297663765908e-57	0	0
1	1	uniform	2	0	0	warm	2.4736297663765908e-57	0	0
1	1	uniform	2	7	0	cold	8.102162324144183e-36	0	0
1	1	uniform	2	7	0	warm	1.6880451973690543e-21	0	0
1	1	uniform	2	15	0	cold	4.470446128494474e-38	0	0
1	1	uniform	2	15	0	warm	1.861882169571287e-41	0	0
1	1	uniform	2	23	0	cold	1.864880004761629e-33	0	0
1	1	uniform	2	23	0	warm	1.6231746516906422e-34	0	0
1	1	uniform	3	0	0	cold	4.40180367010082e-41	0	0
1	1	uniform	3	0	0	warm	4.40180367010082e-41	0	0
1	1	uniform	3	7	0	cold	1.1384089254445619e-45	0	0
1	1	uniform	3	7	0	warm	4.246842021849287e-48	0	0
1	1	uniform	3	15	0	cold	4.482571038799607e-43	0	0
1	1	uniform	3	15	0	warm	1.7785726375478426e-41	0	0
1	1	uniform	3	23	0	cold	4.884818043959113e-44	0	0
1	1	uniform	3	23	0	warm	7.457301175519058e-39	0	0
1	1	uniform	4	0	0	cold	1.7554865070810157e-67	0	0
1	1	uniform	4	0	0	warm	1.7554865070810157e-67	0	0
1	1	uniform	4	7	0	cold	5.478454454651293e-67	0	0
1	1	uniform	4	7	0	warm	8.804658944975295e-68	0	0
1	1	uniform	4	15	0	cold	2.3415887901695837e-75	0	0
1	1	uniform	4	15	0	warm	5.2839365282749375e-67	0	0
1	1	uniform	4	23	0	cold	4.367597220313159e-67	0	0
1	1	uniform	4	23	0	warm	3.574288117911591e-64	0	0
2	2	linear	0	0	0	cold	9.25706248042163e-58	0	0
2	2	linear	0	0	0	warm	9.25706248042163e-58	0	0
2	2	linear	0	7	0	cold	1.3723616475298833e-58	0	0
2	2	linear	0	7	0	warm	1.9719761956020046e-58	0	0
2	2	linear	0	15	0	cold	2.1182124217243953e-59	0	0
2	2	linear	0	15	0	warm	2.7561261660496118e-61	0	0
2	2	linear	0	23	0	cold	1.5011787365409752e-60	0	0
2	2	linear	0	23	0	warm	1.9690084602058236e-59	0	0
2	2	linear	1	0	0	cold	1.4840779767424432e-58	0	0
2	2	linear	1	0	0	warm	1.4840779767424432e-58	0	0
2	2	linear	1	7	0	cold	4.056413223290529e-57	0	0
2	2	linear	1	7	0	warm	1.373969021427781e-57	0	0
2	2	linear	1	15	0	cold	2.4766606583210946e-57	0	0
2	2	linear	1	15	0	warm	1.1239924265437503e-55	0	0
2	2	linear	1	23	0	cold	9.180447275414766e-52	0	0
2	2	linear	1	23	0	warm	2.55565325277165e-55	0	0
2	2	linear	2	0	0	cold	7.235759303507546e-58	0	0
2	2	linear	2	0	0	warm	7.235759303507546e-58	0	0
2	2	linear	2	7	0	cold	6.2773964600039305e-58	0	0
2	2	linear	2	7	0	warm	4.357540774818925e-59	0	0
2	2	linear	2	15	0	cold	6.970920672117623e-58	0	0
2	2	linear	2	15	0	warm	1.980375190942507e-59	0	0
2	2	linear	2	23	0	cold	3.201048129676961e-56	0	0
2	2	linear	2	23	0	warm	1.2672366845477687e-57	0	0
2	2	linear	3	0	0	cold	1.175612480398329e-65	0	0
2	2	linear	3	0	0	warm	1.175612480398329e-65	0	0
2	2	linear	3	7	0	cold	8.904398906750918e-69	0	0
2	2	linear	3	7	0	warm	9.926604042710914e-69	0	0
2	2	linear	3	15	0	cold	5.378716668963157e-69	0	0
2	2	linear	3	15	0	warm	5.453439436605161e-69	0	0
2	2	linear	3	23	0	cold	1.3753963617495513e-69	0	0
2	2	linear	3	23	0	warm	1.2515767506596884e-71	0	0
2	2	linear	4	0	0	cold	1.3107221462752232e-58	0	0
2	2	linear	4	0	0	warm	1.3107221462752232e-58	0	0
2	2	linear	4	7	0	cold	2.256931479125084e-56	0	0
2	2	linear	4	7	0	warm	1.5482527302506248e-56	0	0
2	2	linear	4	15	0	cold	3.61148116735334e-57	0	0
2	2	linear	4	15	0	warm	3.095555286302861e-57	0	0
2	2	linear	4	23	0	cold	1.478620118133794e-57	0	0
2	2	linear	4	23	0	warm	7.414159248775034e-58	0	0
2	2	uniform	0	0	0	cold	9.25706248042163e-58	0	0
2	2	uniform	0	0	0	warm	9.25706248042163e-58	0	0
2	2	uniform	0	7	0	cold	1.3723616475298833e-58	0	0
2	2	uniform	0	7	0	warm	1.9719761956020046e-58	0	0
2	2	uniform	0	15	0	cold	2.1182124217243953e-59	0	0
2	2	uniform	0	15	0	warm	2.7561261660496118e-61	0	0
2	2	uniform	0	23	0	cold	1.5011787365409752e-60	0	0
2	2	uniform	0	23	0	warm	1.9690084602058236e-59	0	0
2	2	uniform	1	0	0	cold	1.4840779767424432e-58	0	0
2	2	uniform	1	0	0	warm	1.4840779767424432e-58	0	0
2	2	uniform	1	7	0	cold	4.056413223290529e-57	0	0
2	2	uniform	1	7	0	warm	1.373969021427781e-57	0	0
2	2	uniform	1	15	0	cold	2.4766606583210946e-57	0	0
2	2	uniform	1	15	0	warm	1.1239924265437503e-55	0	0
2	2	uniform	1	23	0	cold	9.180447275414766e-52	0	0
2	2	uniform	1	23	0	warm	2.55565325277165e-55	0	0
2	2	uniform	2	0	0	cold	7.235759303507546e-58	0	0
2	2	uniform	2	0	0	warm	7.235759303507546e-58	0	0
2	2	uniform	2	7	0	cold	6.2773964600039305e-58	0	0
2	2	uniform	2	7	0	warm	4.357540774818925e-59	0	0
2	2	uniform	2	15	0	cold	6.970920672117623e-58	0	0
2	2	uniform	2	15	0	warm	1.980375190942507e-59	0	0
2	2	uniform	2	23	0	cold	3.201048129676961e-56	0	0
2	2	uniform	2	23	0	warm	1.2672366845477687e-57	0	0
2	2	uniform	3	0	0	cold	1.175612480398329e-65	0	0
2	2	uniform	3	0	0	warm	1.175612480398329e-65	0	0
2	2	uniform	3	7	0	cold	8.904398906750918e-69	0	0
2	2	uniform	3	7	0	warm	9.926604042710914e-69	0	0
2	2	uniform	3	15	0	cold	5.378716668963157e-69	0	0
2	2	uniform	3	15	0	warm	5.453439436605161e-69	0	0
2	2	uniform	3	23	0	cold	1.3753963617495513e-69	0	0
2	2	uniform	3	23	0	warm	1.2515767506596884e-71	0	0
2	2	uniform	4	0	0	cold	1.3107221462752232e-58	0	0
2	2	uniform	4	0	0	warm	1.3107221462752232e-58	0	0
2	2	uniform	4	7	0	cold	2.256931479125084e-56	0	0
2	2	uniform	4	7	0	warm	1.5482527302506248e-56	0	0
2	2	uniform	4	15	0	cold	3.61148116735334e-57	0	0
2	2	uniform	4	15	0	warm	3.095555286302861e-57	0	0
2	2	uniform	4	23	0	cold	1.478620118133794e-57	0	0
2	2	uniform	4	23	0	warm	7.414159248775034e-58	0	0
3	3	linear	0	0	0	cold	1.4854185419469327e-42	0	0
3	3	linear	0	0	0	warm	1.4854185419469327e-42	0	0
3	3	linear	0	7	0	cold	1.0734848493318823e-53	0	0
3	3	linear	0	7	0	warm	1.2548823450764583e-52	0	0
3	3	linear	0	15	0	cold	1.8740984355470805e-36	0	0
3	3	linear	0	15	0	warm	8.709463145217682e-38	0	0
3	3	linear	0	23	0	cold	4.095944226106707e-39	0	0
3	3	linear	0	23	0	warm	1.0298424702484042e-38	0	0
3	3	linear	1	0	0	cold	5.979397965475019e-37	0	0
3	3	linear	1	0	0	warm	5.979397965475019e-37	0	0
3	3	linear	1	7	0	cold	3.0442848972731844e-38	0	0
3	3	linear	1	7	0	warm	6.831398198625629e-37	0	0
3	3	linear	1	15	0	cold	2.7745887735073934e-38	0	0
