rounds panel cell depth level slot R jac weight grad cold fd fdhalf value coldvalue reliable a b
0 0 1 0 3 1 0.56263150333905654 0.00077304666068831243 0.1779646809620499 6.3367537412035535 6.336753741203613 6.3367538380633635 6.3367538380604493 0.0010421979625776269 0.0010421979625776367 1 0.55440951894073376 0.56266096077992589
0 0 1 0 3 2 0.56223196392863728 0.0028775189219353405 0.2476190476190476 5.7268161823533204 5.7268161823533799 5.7268162063542389 5.7268161977733083 0.014425135667482981 0.014425135667483132 1 0.55440951894073376 0.56266096077992589
0 0 1 0 3 3 0.56086860165589525 0.0053446320983787246 0.39346389046652147 3.6528946926268673 3.6528946926269046 3.6528946965060833 3.6528946964823485 0.049587097894440775 0.049587097894441282 1 0.55440951894073376 0.56266096077992589
0 0 1 0 3 4 0.55853523986032982 0.006480667265882362 0.36190476190476195 0.12987639063646469 0.12987639063646597 0.12987638780795061 0.12987639419709818 0.072465247120756929 0.07246524712075765 1 0.55440951894073376 0.56266096077992589
0 0 1 0 3 5 0.5562018780647644 0.0053446320983787238 0.39346389046652136 -3.3598849789578522 -3.3598849789578855 -3.3598849763710517 -3.3598849711256311 0.048988780187232121 0.0489887801872326 1 0.55440951894073376 0.56266096077992589
0 0 1 0 3 6 0.55483851579202248 0.0028775189219353405 0.24761904761904757 -5.3835877163550698 -5.3835877163551231 -5.3835877302775907 -5.3835877190003432 0.014150348394376327 0.014150348394376469 1 0.55440951894073376 0.56266096077992589
0 0 1 0 3 7 0.55443897638160311 0.00077304666068831298 0.17796468096204993 -5.9745054882616468 -5.9745054882617064 -5.974505593888189 -5.9745054859065849 0.0010202217164439092 0.0010202217164439194 1 0.55440951894073376 0.56266096077992589
0 1 5 0 4 1 0.84960890996532568 0.0061314674088350229 0.045211840092107561 14.105207286682894 14.105207286682894 14.105207248749425 14.105207284249344 5.4922865545717681 5.4922865545717681 1 0.83746378957463308 0.84972672439230312
0 1 5 0 4 2 0.8492599942267508 0.0061314674088350229 0.067639194288249882 14.18925781145702 14.18925781145702 14.189257785932478 14.189257857381861 5.3981077996210907 5.3981077996210907 1 0.83746378957463308 0.84972672439230312
0 1 5 0 4 3 0.8486933858127379 0.0061314674088350229 0.1167486898367929 14.331394945789384 14.331394945789384 14.331394921938546 14.331394841775825 5.2432652735625851 5.2432652735625851 1 0.83746378957463308 0.84972672439230312
0 1 5 0 4 4 0.8479308591668796 0.0061314674088350229 0.13111333111333112 14.538573796121588 14.538573796121588 14.538573810463935 14.538573777353246 5.0310127230153654 5.0310127230153654 1 0.83746378957463308 0.84972672439230312
0 1 5 0 4 5 0.84700171776054667 0.0061314674088350229 0.17101580153660526 14.82784956353807 14.82784956353807 14.827849558377098 14.827849516553069 4.7659302550121803 4.7659302550121803 1 0.83746378957463308 0.84972672439230312
0 1 5 0 4 6 0.84594166797691572 0.0061314674088350229 0.17363064698159136 15.232528250307144 15.232528250307144 15.232528268901897 15.232528254960554 4.4537367735434277 4.4537367735434277 1 0.83746378957463308 0.84972672439230312
0 1 5 0 4 7 0.84479144693468911 0.0061314674088350229 0.20035700186782759 15.808788032943042 15.808788032943042 15.808788071113746 15.808787978752351 4.1008885362484282 4.1008885362484282 1 0.83746378957463308 0.84972672439230312
0 1 5 0 4 8 0.84359525698346816 0.0061314674088350229 0.18856698856698861 16.643867231129811 16.643867231129811 16.643867226073851 16.643867274868551 3.7140352112470278 3.7140352112470278 1 0.83746378957463308 0.84972672439230312
0 1 5 0 4 9 0.8423990670322471 0.0061314674088350229 0.20035700186782765 17.870641983111327 17.870641983111327 17.87064193550108 17.870641977325107 3.2994911934923912 3.2994911934923912 1 0.83746378957463308 0.84972672439230312
0 1 5 0 4 10 0.84124884599002048 0.0061314674088350229 0.17363064698159128 19.700074584911043 19.700074584911043 19.700074613260945 19.70007463243029 2.8628719032623389 2.8628719032623389 1 0.83746378957463308 0.84972672439230312
