case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic cycle_skipped
0 linear 0 0 58.159362000000002 7.0379226907888537 1 67 56.953761999999998 0.042948 0.21566300000000005 0.0070530000000000002 0.0017730000000000001 0.011055000000000001 0.020447 0.198797 0.350406 56.029735000000002 0.110654 3.1000000000000001e-05 0.065394999999999995 0.010074 0.0082570000000000022 0.14494100000000001 0.031128000000000006 0.008263000000000003 0 0 0 0 0 0 0 0 0 0 56.735146 56.91995 0.0096220000000000003 0.012104 0.014367999999999999 0.00081300000000000003 0.044623000000000003 0
0 linear 0 7 53.468361000000002 7.165175685042759 1 83 53.041457000000001 0.01163 0.3657689999999999 0.0067209999999999995 0.0023250000000000002 0.0086230000000000005 0.023775000000000001 0.056764000000000002 0.26353199999999999 52.511679999999998 0.092813000000000007 2.5999999999999998e-05 0.016365000000000001 0.001918 0.0046490000000000012 0.26618600000000003 0.047297999999999986 0.012223000000000005 0 1 15 15 0 0 0 0 0 0 52.957884 53.030383 0.0066270000000000001 0.0070390000000000001 0.012211 7.1000000000000005e-05 0.039480000000000001 0
0 linear 0 15 53.474919 7.2540425509600803 1 91 53.049377 0.011479 0.38105499999999976 0.006915000000000001 0.0015349999999999999 0.0032680000000000001 0.010155000000000001 0.051893000000000002 0.30082999999999999 52.461675999999997 0.088982000000000006 2.0000000000000002e-05 0.079753999999999992 0.0017440000000000001 0.0038060000000000004 0.27399500000000004 0.052505000000000031 0.011795000000000007 0 2 13 13 0 0 0 0 0 0 52.927134000000002 53.042425000000001 0.0016819999999999999 0.0055120000000000004 0.012702999999999999 4.5000000000000003e-05 0.040355000000000002 0
0 linear 0 23 55.994053000000001 7.2793514851610421 1 91 55.545009999999998 0.011695000000000001 0.40471999999999991 0.0076819999999999996 0.0027459999999999997 0.0044590000000000003 0.010149 0.051552000000000001 0.26013900000000001 55.027408000000001 0.092671000000000003 2.1999999999999999e-05 0.048746999999999999 0.001696 0.0039240000000000004 0.28553699999999993 0.051091999999999985 0.014171000000000001 0 3 13 13 0 0 0 0 0 0 55.452883 55.537906 0.0016789999999999999 0.0056389999999999999 0.012324 5.1999999999999997e-05 0.039151999999999999 0
0 linear 1 0 1.0507169999999999 589.76731831372365 1 105 0.67005099999999995 0.012739 0.3098169999999999 0.0069410000000000001 0.0015319999999999999 0.0033649999999999999 0.0096659999999999992 0.18381900000000001 0.13114799999999999 0 0.0083510000000000008 0.001456 0.251108 0.002013 0.0040070000000000001 0.16091000000000003 0.078350000000000045 0.01742500000000001 0 0 0 0 0.004228 1 0 0 14 0 0.36525400000000002 0.66090700000000002 0.0011950000000000001 0.0036670000000000001 0.015660999999999998 0.0035300000000000002 0.032721 0
0 linear 1 7 0.75970000000000004 593.09247526628167 1 105 0.39379599999999998 0.012814000000000001 0.32439600000000002 0.0061450000000000003 0.0015899999999999998 0.0030599999999999998 0.0091760000000000001 0.052038000000000001 0.148233 0 0.0035990000000000002 0.001101 0.10744799999999999 0.001253 0.0037659999999999994 0.16850100000000004 0.076576000000000075 0.017503000000000005 0 1 19 19 0.0029859999999999999 1 0 0 14 0 0.242562 0.38723999999999997 0.0014549999999999999 0.0036180000000000001 0.014436999999999998 0.0013359999999999999 0.030102 0
0 linear 1 15 0.991282 596.53003682974679 1 128 0.487956 0.012547000000000001 0.44183999999999996 0.0074519999999999986 0.0016470000000000002 0.002823 0.0085819999999999994 0.051971999999999997 0.127578 0 0.003532 0.001023 0.22496299999999997 0.0010579999999999999 0.003738 0.22597399999999998 0.10173900000000002 0.023240000000000021 0 2 19 19 0.0028909999999999999 1 0 0 14 0 0.22115599999999999 0.48103299999999999 0.001317 0.0031819999999999999 0.013993999999999999 0.0011540000000000001 0.030217000000000001 0
0 linear 1 23 0.82020899999999997 599.54254534181996 1 128 0.33646799999999999 0.012770999999999999 0.43706299999999998 0.0077580000000000001 0.0015430000000000001 0.0026090000000000002 0.0084860000000000005 0.051906000000000001 0.13059999999999999 0 0.0035860000000000002 0.0010510000000000001 0.071550000000000002 0.0010560000000000001 0.0038470000000000006 0.22444100000000008 0.10026100000000014 0.022869999999999991 0 3 19 19 0.0029529999999999999 1 0 0 14 0 0.222605 0.32993800000000001 0.001354 0.0036979999999999999 0.014687000000000002 0.001433 0.028042000000000001 0
0 linear 2 0 37.632030999999998 2.3667291596036724 1 61 37.390915999999997 0.010295 0.20295699999999994 0.0075440000000000004 0.001003 0.0031610000000000002 0.0096989999999999993 0.17904800000000001 0.33740500000000001 36.689544000000005 0.085606999999999989 2.6999999999999999e-05 0.041549000000000003 0.0017329999999999999 0.0038449999999999999 0.13663299999999998 0.029597000000000012 0.0074190000000000002 0 0 0 0 0 0 0 0 0 0 37.306182999999997 37.382029000000003 0.00088099999999999995 0.0054219999999999997 0.012239 3.8000000000000002e-05 0.033666000000000001 0
0 linear 2 7 51.361083999999998 2.4102109454225378 1 61 51.057031000000002 0.011303000000000001 0.26579999999999998 0.0074320000000000002 0.0010190000000000002 0.0032039999999999998 0.010036 0.055708000000000001 0.26469199999999998 50.584645000000002 0.083493999999999999 2.8e-05 0.0099889999999999979 0.0016230000000000001 0.0039359999999999994 0.19077700000000003 0.032901000000000007 0.0093999999999999969 0 1 16 13 0 0 0 0 0 0 51.003754000000001 51.049881999999997 0.001709 0.0054809999999999998 0.0123 5.3999999999999998e-05 0.032962999999999999 0
