case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos
0 linear 0 0 58.779473000000003 7.0379226907888537 1 67 57.646037 0.037693999999999998 0.219504 0.0059640000000000006 0.0013320000000000001 0.0088419999999999992 0.019456999999999999 0.19461999999999999 0.34837000000000001 56.662006999999996 0.103437 3.4e-05 0.066463999999999995 0.0090270000000000003 0.073031999999999986 0.14654599999999998 0.031707000000000013 0.010837000000000003 0 0
0 linear 0 7 53.480943000000003 7.1651756850427599 1 83 53.006520999999999 0.010607 0.40935200000000016 0.0066499999999999997 0.0014590000000000002 0.0086339999999999993 0.027361 0.056052999999999999 0.26282100000000003 52.418442999999996 0.088301000000000004 3.4e-05 0.016886000000000002 0.0021410000000000001 0.049152999999999995 0.31117399999999995 0.045205000000000002 0.014572999999999996 0 1
0 linear 0 15 53.595874999999999 7.2540425509600803 1 91 53.157991000000003 0.010839 0.39057900000000007 0.0079330000000000008 0.0015100000000000001 0.0033440000000000002 0.012435999999999999 0.049556000000000003 0.30595299999999997 52.495636000000005 0.087364999999999998 2.5999999999999998e-05 0.082571999999999993 0.0018940000000000001 0.052566999999999996 0.28377800000000014 0.05276599999999998 0.014983999999999997 0 2
0 linear 0 23 53.671964000000003 7.2793514851610421 1 91 53.173929000000001 0.010531 0.44813600000000003 0.010500000000000001 0.0016519999999999998 0.0033519999999999999 0.012348 0.049176999999999998 0.25840200000000002 52.598447999999998 0.087331999999999993 2.5000000000000001e-05 0.050120999999999999 0.0017229999999999999 0.048279999999999997 0.32899699999999987 0.049669000000000012 0.016819000000000001 0 3
0 linear 1 0 1.1540079999999999 589.76731831372365 1 105 0.75686799999999999 0.011715 0.32047100000000017 0.0076099999999999996 0.001735 0.0033549999999999999 0.012193000000000001 0.178927 0.130218 0 0.027202 0.0011130000000000001 0.25298900000000002 0.001101 0.054883000000000001 0.16228100000000001 0.082303000000000057 0.023444999999999994 0 0
0 linear 1 7 0.892374 593.09247526628167 1 105 0.49286099999999999 0.013113 0.35048099999999993 0.0069830000000000005 0.0014730000000000001 0.0033159999999999999 0.011575 0.051524 0.14942900000000001 0 0.027059 0.00088999999999999995 0.10491200000000001 0.0011770000000000001 0.055541000000000007 0.18494000000000005 0.080076000000000036 0.023480999999999998 0 1
0 linear 1 15 1.136781 596.53003682974679 1 128 0.59273200000000004 0.012951000000000001 0.46957700000000008 0.011564000000000001 0.0016659999999999999 0.0031970000000000002 0.010871 0.051103000000000003 0.12945499999999999 0 0.025967 0.00084400000000000002 0.226109 0.0011039999999999999 0.058169000000000005 0.24558400000000002 0.103215 0.030802999999999966 0 2
0 linear 1 23 0.94143500000000002 599.54254534181996 1 128 0.42557600000000001 0.012659999999999999 0.46256099999999972 0.0073009999999999993 0.001575 0.0029719999999999998 0.010942 0.05135 0.128833 0 0.026654000000000001 0.00084599999999999996 0.071969000000000005 0.0010870000000000001 0.047171000000000005 0.24135699999999993 0.10102000000000005 0.030717999999999968 0 3
0 linear 2 0 37.778148999999999 2.3667291596036724 1 61 37.520111999999997 0.010026999999999999 0.21025500000000005 0.012198000000000001 0.0011550000000000002 0.0030769999999999999 0.011923 0.17593300000000001 0.33640399999999998 36.753957999999997 0.082777000000000003 2.6999999999999999e-05 0.04204900000000001 0.0017960000000000001 0.050673000000000003 0.13802600000000001 0.032535000000000001 0.0098039999999999967 0 0
0 linear 2 7 51.441197000000003 2.4102109454225378 1 61 51.134729999999998 0.010149999999999999 0.26797399999999999 0.0054020000000000006 0.00096000000000000002 0.0032620000000000001 0.012260999999999999 0.052624999999999998 0.266289 50.592357999999997 0.087104999999999988 2.9e-05 0.010073 0.0015790000000000001 0.050510999999999986 0.202129 0.030428000000000007 0.0096589999999999992 0 1
0 linear 2 15 51.676372999999998 2.4659804224859272 1 61 51.377079999999999 0.010647999999999999 0.26060599999999995 0.0053949999999999996 0.00092400000000000013 0.004535 0.012475999999999999 0.052768000000000002 0.32038100000000003 50.770864000000003 0.085860999999999993 2.6999999999999999e-05 0.010357999999999999 0.0015590000000000001 0.057726999999999994 0.19015199999999999 0.035301999999999993 0.0096570000000000059 0 2
0 linear 2 23 53.836599999999997 2.5300557252343201 1 61 53.455928999999998 0.015932000000000002 0.32384599999999991 0.0077530000000000003 0.00147 0.0044289999999999998 0.015049999999999999 0.052173999999999998 0.26688499999999998 52.869139999999994 0.090319999999999998 0.000115 0.013559 0.0032039999999999998 0.059081000000000002 0.24668799999999999 0.031382000000000014 0.011184000000000001 0 3
0 linear 3 0 0.79883000000000004 488.05716329461848 1 83 0.595051 0.015322000000000001 0.15385199999999996 0.0059080000000000001 0.001322 0.0033839999999999999 0.013011999999999999 0.18068000000000001 0.116798 0 0.029288999999999999 0.001632 0.11322099999999999 0.00067299999999999999 0.035960000000000006 0.080333999999999975 0.034666000000000002 0.012531000000000004 0 0
0 linear 3 7 0.84565699999999999 497.79296944733449 1 83 0.52285099999999995 0.017499000000000001 0.27160400000000001 0.0057990000000000003 0.001261 0.0030999999999999999 0.010807000000000001 0.051289000000000001 0.095255999999999993 0 0.026064 0.00093499999999999996 0.20341300000000004 0.00070600000000000003 0.040013 0.200928 0.033869000000000024 0.012546000000000002 0 1
0 linear 3 15 0.85168500000000003 510.01575430523633 1 83 0.53181100000000003 0.014762000000000001 0.26628499999999999 0.0054400000000000004 0.0011199999999999999 0.0029229999999999998 0.0099909999999999999 0.051166000000000003 0.094779000000000002 0 0.025933999999999999 0.00079100000000000004 0.23018900000000003 0.00067100000000000005 0.028556000000000002 0.19503900000000005 0.033864000000000019 0.012565000000000002 0 2
0 linear 3 23 0.82976499999999997 523.73782250076636 1 99 0.445969 0.014300999999999999 0.32769899999999991 0.0063629999999999997 0.001196 0.0024949999999999998 0.0093930000000000003 0.051091999999999999 0.095195000000000002 0 0.024754000000000002 0.00082100000000000001 0.14006600000000002 0.00073300000000000004 0.036358000000000001 0.2445709999999999 0.039874000000000007 0.015109000000000004 0 3
0 linear 4 0 0.597028 2.6196476657497758 1 52 0.41935899999999998 0.011154000000000001 0.147507 0.0031649999999999998 0.00086800000000000006 0.0030339999999999998 0.011726 0.17979000000000001 0.076748999999999998 0 0.026848 0.00079900000000000001 0.00062500000000000001 0.0013669999999999999 0.038541000000000006 0.097449999999999981 0.022854999999999997 0.0076200000000000026 0 0
0 linear 4 7 0.51500500000000005 2.5174331937752905 1 52 0.280999 0.010831 0.20357199999999998 0.0032550000000000001 0.00093599999999999998 0.0028349999999999998 0.010822 0.050889999999999998 0.066129999999999994 0 0.026182 0.00084400000000000002 0.00059099999999999995 0.0011659999999999999 0.046304000000000005 0.15216999999999997 0.024073000000000001 0.0076330000000000026 0 1
0 linear 4 15 0.59236800000000001 2.4212389482950818 1 68 0.28737099999999999 0.010215 0.27112399999999992 0.0041879999999999999 0.00078299999999999995 0.002813 0.010747 0.051158000000000002 0.075465000000000004 0 0.026786000000000001 0.00082200000000000003 0.00059299999999999999 0.0011069999999999999 0.043364000000000007 0.20401099999999994 0.032170999999999991 0.010018000000000001 0 2
0 linear 4 23 0.56615400000000005 2.3408509317784856 1 61 0.28382800000000002 0.010298 0.24669599999999992 0.0042750000000000002 0.00080900000000000004 0.0025639999999999999 0.0095130000000000006 0.051083000000000003 0.075119000000000005 0 0.026075000000000001 0.000803 0.00059000000000000003 0.0010510000000000001 0.038151999999999998 0.18772400000000003 0.028542000000000001 0.0090610000000000031 0 3
0 uniform 0 0 53.498272 6.8139867820913782 1 67 53.217436999999997 0.010411999999999999 0.24295599999999995 0.0044580000000000002 0.0011260000000000003 0.0024420000000000002 0.0092779999999999998 0.18019499999999999 0.33626600000000001 52.430236999999998 0.085646 3.4999999999999997e-05 0.058222000000000003 0.0017979999999999999 0.051185000000000008 0.19322599999999995 0.034360000000000009 0 0 0
