case_id configuration_id profile d_bin_index epoch_index topology_status topology_cells empty_cells arc_cells full_cells degenerate_cells physical_events
2 2 uniform 4 15 OK 13 10 3 0 0 6
2 2 uniform 4 23 OK 13 10 3 0 0 6
3 3 linear 0 0 OK 13 6 7 0 0 6
3 3 linear 0 7 OK 13 6 7 0 0 6
3 3 linear 0 15 OK 13 6 7 0 0 6
3 3 linear 0 23 OK 13 6 7 0 0 6
3 3 linear 1 0 OK 12 7 5 0 0 4
3 3 linear 1 7 OK 12 6 6 0 0 4
3 3 linear 1 15 OK 12 6 6 0 0 4
3 3 linear 1 23 OK 12 6 6 0 0 4
3 3 linear 2 0 OK 13 6 7 0 0 6
3 3 linear 2 7 OK 13 6 7 0 0 6
3 3 linear 2 15 OK 13 7 6 0 0 6
3 3 linear 2 23 OK 13 7 6 0 0 6
3 3 linear 3 0 OK 13 7 6 0 0 6
3 3 linear 3 7 OK 13 7 6 0 0 6
3 3 linear 3 15 OK 13 7 6 0 0 6
3 3 linear 3 23 OK 13 7 6 0 0 6
3 3 linear 4 0 OK 13 9 4 0 0 6
3 3 linear 4 7 OK 13 9 4 0 0 6
3 3 linear 4 15 OK 13 9 4 0 0 6
3 3 linear 4 23 OK 13 9 4 0 0 6
3 3 uniform 0 0 OK 13 6 7 0 0 6
3 3 uniform 0 7 OK 13 6 7 0 0 6
3 3 uniform 0 15 OK 13 6 7 0 0 6
3 3 uniform 0 23 OK 13 6 7 0 0 6
3 3 uniform 1 0 OK 12 7 5 0 0 4
3 3 uniform 1 7 OK 12 6 6 0 0 4
3 3 uniform 1 15 OK 12 6 6 0 0 4
3 3 uniform 1 23 OK 12 6 6 0 0 4
3 3 uniform 2 0 OK 13 6 7 0 0 6
3 3 uniform 2 7 OK 13 6 7 0 0 6
3 3 uniform 2 15 OK 13 7 6 0 0 6
3 3 uniform 2 23 OK 13 7 6 0 0 6
3 3 uniform 3 0 OK 13 7 6 0 0 6
3 3 uniform 3 7 OK 13 7 6 0 0 6
3 3 uniform 3 15 OK 13 7 6 0 0 6
3 3 uniform 3 23 OK 13 7 6 0 0 6
3 3 uniform 4 0 OK 13 9 4 0 0 6
3 3 uniform 4 7 OK 13 9 4 0 0 6
3 3 uniform 4 15 OK 13 9 4 0 0 6
3 3 uniform 4 23 OK 13 9 4 0 0 6
4 4 linear 0 0 OK 13 6 7 0 0 8
4 4 linear 0 7 OK 13 6 7 0 0 8
4 4 linear 0 15 OK 13 6 7 0 0 8
4 4 linear 0 23 OK 13 6 7 0 0 8
4 4 linear 1 0 OK 14 9 5 0 0 7
4 4 linear 1 7 OK 14 9 5 0 0 6
4 4 linear 1 15 OK 14 9 5 0 0 6
4 4 linear 1 23 OK 14 9 5 0 0 8
