9 linear 2 7 5.470597280025246e-05 768 0 0 0 0 0 896
9 uniform 2 7 5.470597280025246e-05 768 0 0 0 0 0 896
92 linear 0 0 3.1430126951461966e-05 1408 0 0 0 0 0 1792
92 linear 0 7 3.1430126951461966e-05 1408 0 0 0 0 0 1792
92 linear 0 15 3.1430126951461966e-05 1408 0 0 0 0 0 1792
92 linear 0 23 3.1430126951461966e-05 1408 0 0 0 0 0 1792
92 uniform 0 0 3.1430126951461966e-05 1408 0 0 0 0 0 1792
92 uniform 0 7 3.1430126951461966e-05 1408 0 0 0 0 0 1792
92 uniform 0 15 3.1430126951461966e-05 1408 0 0 0 0 0 1792
92 uniform 0 23 3.1430126951461966e-05 1408 0 0 0 0 0 1792
