sample	physical_oracle	physical0	physical2	physical4
317	6	0	0	0
318	6	0	0	0
319	6	0	0	0
320	8	0	0	0
321	8	0	0	0
322	8	0	0	0
323	8	0	0	0
324	8	0	0	0
325	8	0	0	0
326	8	0	0	0
327	8	0	0	0
328	6	0	0	2
329	6	0	0	2
330	6	0	0	2
331	6	0	0	2
332	10	0	0	1
333	10	0	0	1
334	10	0	0	1
335	10	0	0	1
336	6	0	0	3
337	6	0	0	3
338	6	0	0	3
339	6	0	0	3
340	8	0	0	0
341	8	0	0	0
342	8	0	0	0
343	8	0	0	0
344	8	0	0	0
345	8	0	0	0
346	8	0	0	0
347	8	0	0	0
348	6	0	0	2
349	6	0	0	2
350	6	0	0	2
351	6	0	0	2
352	10	0	0	1
353	10	0	0	1
354	10	0	0	1
355	10	0	0	1
356	6	0	0	3
357	6	0	0	3
358	6	0	0	3
359	6	0	0	3
360	10	6	7	9
361	10	6	7	9
362	10	6	7	9
363	10	6	7	9
364	8	1	1	1
365	8	1	1	1
366	8	1	1	1
367	8	1	1	1
368	8	0	1	1
369	10	0	1	1
370	8	0	1	1
371	6	0	1	1
372	6	0	0	0
373	6	0	0	0
374	6	0	0	0
375	6	0	0	0
376	6	0	1	1
377	6	0	1	1
378	6	0	1	1
379	6	0	1	1
380	10	6	7	9
381	10	6	7	9
382	10	6	7	9
383	10	6	7	9
384	8	1	1	1
385	8	1	1	1
386	8	1	1	1
387	8	1	1	1
388	8	0	1	1
389	10	0	1	1
390	8	0	1	1
391	6	0	1	1
392	6	0	0	0
393	6	0	0	0
394	6	0	0	0
395	6	0	0	0
396	6	0	1	1
397	6	0	1	1
398	6	0	1	1
399	6	0	1	1
400	6	4	6	6
401	6	4	6	6
402	6	4	6	6
403	6	4	6	6
404	8	5	5	5
405	8	5	5	5
406	8	5	5	5
407	8	5	5	5
408	6	0	0	0
409	6	0	0	0
410	6	0	0	0
411	6	0	0	0
412	10	0	0	0
413	10	0	0	0
414	10	0	0	0
415	10	0	0	0
416	10	0	0	0
417	10	0	0	0
418	10	0	0	0
419	10	0	0	0
420	6	4	6	6
421	6	4	6	6
422	6	4	6	6
423	6	4	6	6
424	8	5	5	5
425	8	5	5	5
426	8	5	5	5
427	8	5	5	5
428	6	0	0	0
429	6	0	0	0
430	6	0	0	0
431	6	0	0	0
432	10	0	0	0
433	10	0	0	0
434	10	0	0	0
435	10	0	0	0
436	10	0	0	0
437	10	0	0	0
438	10	0	0	0
439	10	0	0	0
440	10	0	3	6
441	8	0	4	5
442	8	0	4	7
443	8	0	1	4
444	6	0	4	6
445	6	2	4	6
446	10	0	6	10
447	10	0	5	10
448	4	0	2	3
449	6	0	2	3
450	6	0	2	5
451	6	0	3	5
452	6	0	2	4
453	6	0	2	4
454	6	0	2	3
455	6	0	2	4
456	6	1	4	6
457	6	1	5	6
458	6	1	6	6
459	6	1	6	6
460	10	0	3	6
461	8	0	4	5
462	8	0	4	7
463	8	0	1	4
464	6	0	4	6
465	6	2	4	6
466	10	0	6	10
467	10	0	5	10
468	4	0	2	3
469	6	0	2	3
470	6	0	2	5
471	6	0	3	5
472	6	0	2	4
473	6	0	2	4
474	6	0	2	3
475	6	0	2	4
476	6	1	4	6
477	6	1	5	6
478	6	1	6	6
479	6	1	6	6
480	8	0	0	1
481	8	0	0	1
482	8	0	0	1
483	8	0	0	1
484	8	0	0	0
485	8	0	0	0
486	8	0	0	0
487	8	0	0	0
488	8	0	2	2
489	10	0	2	2
490	10	0	2	2
491	10	0	2	2
492	6	0	0	2
493	6	0	0	2
494	6	0	0	2
495	6	0	0	2
496	10	0	2	2
497	10	0	2	2
498	10	0	2	2
499	10	0	2	2
500	8	0	0	1
501	8	0	0	1
502	8	0	0	1
503	8	0	0	1
504	8	0	0	0
505	8	0	0	0
506	8	0	0	0
507	8	0	0	0
508	8	0	2	2
509	10	0	2	2
510	10	0	2	2
511	10	0	2	2
512	6	0	0	2
513	6	0	0	2
514	6	0	0	2
515	6	0	0	2
516	10	0	2	2
517	10	0	2	2
518	10	0	2	2
519	10	0	2	2
520	8	0	2	3
521	8	0	3	5
522	8	0	3	5
523	8	0	3	6
524	6	0	4	6
525	6	0	4	6
526	6	0	5	6
527	6	0	5	6
528	6	0	2	5
529	4	0	2	3
530	4	0	2	3
531	4	0	2	3
532	6	0	2	2
533	6	0	2	2
534	6	0	2	2
535	6	0	2	2
536	8	0	3	4
537	8	0	4	5
538	8	0	3	4
539	6	0	3	5
540	8	0	2	3
541	8	0	3	5
542	8	0	3	5
543	8	0	3	6
544	6	0	4	6
545	6	0	4	6
546	6	0	5	6
547	6	0	5	6
548	6	0	2	5
549	4	0	2	3
550	4	0	2	3
551	4	0	2	3
552	6	0	2	2
553	6	0	2	2
554	6	0	2	2
555	6	0	2	2
556	8	0	3	4
557	8	0	4	5
558	8	0	3	4
559	6	0	3	5
560	8	0	0	1
561	8	0	0	1
562	8	0	0	1
563	8	0	0	1
564	8	2	2	2
565	8	2	2	2
566	8	2	2	2
567	8	2	2	2
568	10	0	0	0
569	10	0	0	0
570	10	0	0	0
571	10	0	0	0
572	10	0	1	3
573	10	0	1	3
574	10	0	1	3
575	10	0	1	3
576	6	2	2	2
577	6	2	2	2
578	6	2	2	2
579	6	2	2	2
580	8	0	0	1
581	8	0	0	1
582	8	0	0	1
583	8	0	0	1
584	8	2	2	2
585	8	2	2	2
586	8	2	2	2
587	8	2	2	2
588	10	0	0	0
589	10	0	0	0
590	10	0	0	0
591	10	0	0	0
592	10	0	1	3
593	10	0	1	3
594	10	0	1	3
595	10	0	1	3
596	6	2	2	2
597	6	2	2	2
598	6	2	2	2
599	6	2	2	2
600	4	2	1	2
601	4	2	1	2
602	4	2	1	2
603	4	2	1	2
604	4	2	1	2
605	4	2	1	2
606	4	2	1	2
607	4	2	1	2
608	6	2	1	2
609	6	2	1	2
610	6	2	1	2
611	6	2	1	2
612	6	2	1	2
613	6	2	1	2
614	6	2	1	2
615	6	2	1	2
616	6	2	1	2
617	6	2	1	2
618	6	2	1	2
619	6	2	1	2
620	4	2	1	2
621	4	2	1	2
622	4	2	1	2
623	4	2	1	2
624	4	2	1	2
625	4	2	1	2
626	4	2	1	2
627	4	2	1	2
628	6	2	1	2
629	6	2	1	2
630	6	2	1	2
631	6	2	1	2
632	6	2	1	2
633	6	2	1	2
634	6	2	1	2
635	6	2	1	2
636	6	2	1	2
637	6	2	1	2
638	6	2	1	2
639	6	2	1	2
640	8	0	0	0
641	8	0	0	0
642	8	0	0	0
643	8	0	0	0
644	8	0	0	0
645	8	0	0	0
646	8	0	0	0
647	8	0	0	0
648	10	0	0	0
649	8	0	0	0
650	8	0	0	0
651	8	0	0	0
652	10	0	0	0
653	10	0	0	0
654	10	0	0	0
655	10	0	0	0
656	6	0	2	2
657	6	0	2	2
658	6	0	2	2
659	6	0	2	2
660	8	0	0	0
661	8	0	0	0
662	8	0	0	0
663	8	0	0	0
664	8	0	0	0
665	8	0	0	0
666	8	0	0	0
667	8	0	0	0
668	10	0	0	0
669	8	0	0	0
670	8	0	0	0
671	8	0	0	0
672	10	0	0	0
673	10	0	0	0
674	10	0	0	0
675	10	0	0	0
676	6	0	2	2
677	6	0	2	2
678	6	0	2	2
679	6	0	2	2
680	4	0	0	0
681	4	0	0	0
682	4	0	0	2
683	4	0	0	2
684	4	0	0	2
685	4	0	0	2
686	6	0	0	2
687	6	0	0	2
688	6	0	0	0
689	6	0	0	0
690	4	0	0	0
691	4	0	0	0
692	6	0	0	0
693	6	0	0	0
694	6	0	0	0
695	6	0	0	0
696	6	0	0	0
697	6	0	0	0
698	6	0	0	0
699	6	0	0	0
700	4	0	0	0
701	4	0	0	0
702	4	0	0	2
703	4	0	0	2
704	4	0	0	2
705	4	0	0	2
706	6	0	0	2
707	6	0	0	2
708	6	0	0	0
709	6	0	0	0
710	4	0	0	0
711	4	0	0	0
712	6	0	0	0
713	6	0	0	0
714	6	0	0	0
715	6	0	0	0
716	6	0	0	0
717	6	0	0	0
718	6	0	0	0
719	6	0	0	0
720	8	0	0	1
721	8	0	0	1
722	8	0	0	1
723	8	0	0	0
724	8	0	0	0
725	8	0	0	0
726	8	0	0	0
727	8	0	0	0
728	8	0	0	0
729	8	0	0	0
730	6	0	0	0
731	6	0	0	0
732	6	0	2	2
733	6	0	2	2
734	6	0	2	2
735	6	0	2	2
736	6	0	2	2
737	6	0	2	2
738	6	0	2	2
739	6	0	2	2
740	8	0	0	1
741	8	0	0	1
742	8	0	0	1
743	8	0	0	0
744	8	0	0	0
745	8	0	0	0
746	8	0	0	0
747	8	0	0	0
748	8	0	0	0
749	8	0	0	0
750	6	0	0	0
751	6	0	0	0
752	6	0	2	2
753	6	0	2	2
754	6	0	2	2
755	6	0	2	2
756	6	0	2	2
757	6	0	2	2
758	6	0	2	2
759	6	0	2	2
760	8	0	0	0
761	8	0	0	0
762	8	0	0	0
763	8	0	0	0
764	6	0	0	0
765	6	0	0	0
766	6	0	0	0
767	6	0	0	0
768	6	0	0	0
769	8	0	0	0
770	8	0	0	0
771	8	0	0	0
772	6	0	0	0
773	6	0	0	0
774	6	0	0	0
775	6	0	0	0
776	6	0	0	0
777	6	0	0	0
778	6	0	0	0
779	6	0	0	0
780	8	0	0	0
781	8	0	0	0
782	8	0	0	0
783	8	0	0	0
784	6	0	0	0
785	6	0	0	0
786	6	0	0	0
787	6	0	0	0
788	6	0	0	0
789	8	0	0	0
790	8	0	0	0
791	8	0	0	0
792	6	0	0	0
793	6	0	0	0
794	6	0	0	0
795	6	0	0	0
796	6	0	0	0
