case_id configuration_id profile d_bin_index epoch_index lane stage candidate_converged candidate_finite scalar_certificate residual ambiguous_roots oracle_tier candidate_positive oracle_positive candidate_physical oracle_physical candidate_real_soft oracle_real_soft candidate_complex_soft oracle_complex_soft positive_radius_maxdiff soft_radius_maxdiff candidate_cells oracle_cells candidate_topology_status oracle_topology_status rtol candidate_stop oracle_stop candidate_value_converged oracle_value_converged candidate_mu oracle_mu mu_absdiff local_attempts local_successes local_max_shift event_build_ms positive_certificate positive_count positive_certificate_ms positive_reason exact_positive_certificate exact_positive_count exact_positive_ms
149 149 linear 0 15 cold d14real_local 1 1 1 6.8184065416836436e-26 0 0 8 8 8 8 0 0 3 3 0 0 14 14 0 0 0.001 0 0 1 1 181.02924339811815 181.02924339811815 0 8 8 0 0.12099799999999999 0 0 0 Unattempted 0 -1 0
149 149 linear 0 15 cold d14real_local 1 1 1 6.8184065416836436e-26 0 0 8 8 8 8 0 0 3 3 0 0 14 14 0 0 0.0001 0 0 1 1 181.02924338911365 181.02924338911365 0 8 8 0 0.12099799999999999 0 0 0 Unattempted 0 -1 0
149 149 linear 0 15 cold d14real_nosoft 1 1 1 6.8184065416836436e-26 0 0 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.001 0 0 1 1 181.02924338819102 181.02924339811815 9.9271346698515117e-09 0 0 0 0.0084980000000000003 0 0 0 Unattempted 0 -1 0
149 149 linear 0 15 cold d14real_nosoft 1 1 1 6.8184065416836436e-26 0 0 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.0001 0 0 1 1 181.02924339009527 181.02924338911365 9.8162900030729361e-10 0 0 0 0.0084980000000000003 0 0 0 Unattempted 0 -1 0
149 149 linear 0 15 cold oracle_nosoft 1 1 1 inf 0 0 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.001 0 0 1 1 181.02924338819102 181.02924339811815 9.9271346698515117e-09 0 0 0 0.0072680000000000002 0 0 0 Unattempted 0 -1 0
149 149 linear 0 15 cold oracle_nosoft 1 1 1 inf 0 0 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.0001 0 0 1 1 181.02924339009527 181.02924338911365 9.8162900030729361e-10 0 0 0 0.0072680000000000002 0 0 0 Unattempted 0 -1 0
149 149 linear 0 23 cold d14real 1 1 1 1.2542874070761177e-26 0 0 8 8 8 8 0 0 3 3 0 0 14 14 0 0 0.001 0 0 1 1 200.47255438318976 200.47255438318976 0 0 0 0 0.0082229999999999994 0 0 0 Unattempted 0 -1 0
149 149 linear 0 23 cold d14real 1 1 1 1.2542874070761177e-26 0 0 8 8 8 8 0 0 3 3 0 0 14 14 0 0 0.0001 0 0 1 1 200.47255436249691 200.47255436249691 0 0 0 0 0.0082229999999999994 0 0 0 Unattempted 0 -1 0
149 149 linear 0 23 cold d14real_local 1 1 1 1.2542874070761177e-26 0 0 8 8 8 8 0 0 3 3 0 0 14 14 0 0 0.001 0 0 1 1 200.47255438318976 200.47255438318976 0 8 8 0 0.119337 0 0 0 Unattempted 0 -1 0
149 149 linear 0 23 cold d14real_local 1 1 1 1.2542874070761177e-26 0 0 8 8 8 8 0 0 3 3 0 0 14 14 0 0 0.0001 0 0 1 1 200.47255436249691 200.47255436249691 0 8 8 0 0.119337 0 0 0 Unattempted 0 -1 0
149 149 linear 0 23 cold d14real_nosoft 1 1 1 1.2542874070761177e-26 0 0 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.001 0 0 1 1 200.47255436517318 200.47255438318976 1.8016578451351961e-08 0 0 0 0.0083979999999999992 0 0 0 Unattempted 0 -1 0
149 149 linear 0 23 cold d14real_nosoft 1 1 1 1.2542874070761177e-26 0 0 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.0001 0 0 1 1 200.47255436708011 200.47255436249691 4.583199597618659e-09 0 0 0 0.0083979999999999992 0 0 0 Unattempted 0 -1 0
149 149 linear 0 23 cold oracle_nosoft 1 1 1 inf 0 0 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.001 0 0 1 1 200.47255436517318 200.47255438318976 1.8016578451351961e-08 0 0 0 0.007228 0 0 0 Unattempted 0 -1 0
149 149 linear 0 23 cold oracle_nosoft 1 1 1 inf 0 0 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.0001 0 0 1 1 200.47255436708011 200.47255436249691 4.583199597618659e-09 0 0 0 0.007228 0 0 0 Unattempted 0 -1 0
149 149 linear 1 0 cold d14real 0 1 1 8.8659779807499065e-26 0 2 8 8 8 8 0 0 3 3 1.9206858326015208e-14 1.2323475573339238e-14 14 14 0 0 0.001 0 0 1 1 432.16153041640115 432.16153041610693 2.9422153602354228e-10 0 0 0 0.010203 0 0 0 Unattempted 0 -1 0
