case_id	configuration_id	profile	d_bin_index	epoch_index	trajectory_id	trajectory_pos	target	s	q	rho	x	y	time	u	X	reference	topology_status	topology_cells	topology_events	cold_ms	warm_ms	radial_ms	cold_topology_ms	warm_topology_ms	radial_topology_ms	cold_adaptive_ms	warm_adaptive_ms	radial_adaptive_ms	cold_setup_ms	warm_setup_ms	radial_setup_ms	cold_physical_ms	warm_physical_ms	radial_physical_ms	cold_estimator_ms	warm_estimator_ms	radial_estimator_ms	cold_scheduler_ms	warm_scheduler_ms	radial_scheduler_ms	cold_mu	warm_mu	radial_mu	cold_error	warm_error	radial_error	cold_value_converged	warm_value_converged	radial_value_converged	cold_stop	warm_stop	radial_stop	cold_status	warm_status	radial_status	cold_nodes	warm_nodes	radial_nodes	cold_evaluations	warm_evaluations	radial_evaluations	cold_panels	warm_panels	radial_panels	cold_splits	warm_splits	radial_splits	warm_l1	warm_l2	warm_l3	warm_rescreen_fail	warm_seed_used	err	ab	qb
115	115	linear	2	15	1152	2	0.0001	1.9599718681909375	0.0007606575340568715	0.0004224285403319365	0.0016332206677331243	0.00024733848153663933	0.0016589337093185466	0.5	-0.00016919951877536715	1581.2061363808323	OK	16	15	0.811552	0.755033	0.398742	0.413605	0.257878	0	0.39794700000000005	0.49715499999999996	0.398742	0.014288	0.014273	0.014818	0.3335229999999999	0.43266100000000013	0.3359099999999999	0.012484	0.012539999999999999	0.011487	0.002264	0.0023959999999999997	0.002189	1580.8617871495037	1580.8617871495037	1580.8617871495037	0.07799816754103911	0.07799816754103911	0.07799816754103911	1	1	1	Converged	Converged	Converged	OK	OK	OK	191	191	191	191	191	191	9	9	9	0	0	0	0	1	0	0	1	0.0002177763059513227	7	2
115	115	linear	2	7	1152	1	0.0001	1.9599718681909375	0.0007606575340568715	0.0004224285403319365	0.0016332206677331243	0.00024733848153663933	0.0016001610428375815	0.5	-0.000110426852294402	1936.1101048538053	OK	15	14	0.866178	0.813741	0.430002	0.445403	0.284443	0	0.420775	0.529298	0.430002	0.010578	0.010459	0.011298	0.3701830000000001	0.48020099999999993	0.3798110000000001	0.011663000000000001	0.01102	0.010996	0.002549	0.002352	0.0023040000000000005	1935.997969821465	1935.997969821465	1935.997969821465	0.08665004325503305	0.08665004325503305	0.08665004325503305	1	1	1	Converged	Converged	Converged	OK	OK	OK	205	205	205	205	205	205	11	11	11	0	0	0	0	1	0	0	1	5.7917693864206754e-05	7	2
107	107	linear	2	15	1072	2	0.0001	0.8825260517021432	0.0008788373269010176	0.00029821630033484864	0.0006448802926425237	-0.00027428527485888634	0.000663032589184645	0.5	0.00011188322207363608	1413.3967139363713	OK	17	16	0.867116	0.792504	0.374666	0.487349	0.326615	0	0.379767	0.465889	0.374666	0.017784	0.018182	0.017144	0.32011400000000007	0.4048359999999998	0.3160229999999998	0.009787999999999998	0.010425	0.009826000000000001	0.002065	0.002098	0.001923	1413.3758682622565	1413.3758682622565	1413.3758682622565	0.07347979142634584	0.07347979142634584	0.07347979142634584	1	1	1	Converged	Converged	Converged	OK	OK	OK	174	174	174	174	174	174	10	10	10	0	0	0	0	1	0	0	1	1.4748636323558273e-05	7	2
107	107	linear	0	23	1070	3	0.0001	0.8825260517021432	0.0008788373269010176	0.00029821630033484864	0.0006637577238134693	0.0010693888754377899	0.000723400983880439	0.5	5.151482737784203e-05	852.0317158215566	OK	14	13	0.44713	0.351031	0.12062	0.323548	0.181704	0	0.12358200000000003	0.16932699999999998	0.12062	0.012782	0.012785	0.012161	0.09323499999999998	0.139155	0.091892	0.00409	0.004064999999999999	0.003652	0.0010479999999999999	0.001033	0.000988	852.0390419376747	852.0390419376747	852.0390419376747	0.034970912652163656	0.034970912652163656	0.034970912652163656	1	1	1	Converged	Converged	Converged	OK	OK	OK	83	83	83	83	83	83	5	5	5	0	0	0	0	1	0	0	1	8.598407761128968e-06	7	2
107	107	linear	0	0	1070	0	0.0001	0.8825260517021432	0.0008788373269010176	0.00029821630033484864	0.0006637577238134693	0.0010693888754377899	0.0006041144637464995	0.5	0.00017080134751178155	1225.395957946548	OK	14	13	0.504127	0.503507	0.164192	0.340738	0.339167	0	0.163389	0.16434000000000004	0.164192	0.013364	0.013799	0.013948	0.12619199999999994	0.12639	0.126015	0.004915000000000001	0.005131	0.005089	0.0012399999999999998	0.001332	0.001314	1225.4037420157088	1225.4037420157088	1225.4037420157088	0.09429475403084071	0.09429475403084071	0.09429475403084071	1	1	1	Converged	Converged	Converged	OK	OK	OK	105	105	105	105	105	105	7	7	7	0	0	0	0	0	1	0	0	6.352288915545401e-06	7	2
107	107	linear	0	15	1070	2	0.0001	0.8825260517021432	0.0008788373269010176	0.00029821630033484864	0.0006637577238134693	0.0010693888754377899	0.0006819100203555906	0.5	9.300579090269052e-05	987.095834924321	OK	14	13	0.362465	0.258887	0.129514	0.229959	0.080308	0	0.13250599999999998	0.178579	0.129514	0.012619	0.0127	0.012171	0.10147600000000002	0.148246	0.10004299999999999	0.004365	0.003972	0.003967	0.001123	0.001029	0.001006	987.1015464807577	987.1015464807577	987.1015464807577	0.07754359460803331	0.07754359460803331	0.07754359460803331	1	1	1	Converged	Converged	Converged	OK	OK	OK	90	90	90	90	90	90	6	6	6	0	0	0	0	1	0	0	1	5.78622281111052e-06	7	2
143	143	linear	2	23	1432	3	0.0001	0.41270856575091047	0.0009681368609995699	0.000503016527276904	-0.00035119090745754057	0.0007127981497783124	-0.00025058760200215974	0.5	0.0006497595243040244	1364.7603318679808	OK	13	12	0.366616	0.286942	0.128814	0.234722	0.069887	0	0.131894	0.21705499999999997	0.128814	0.009853	0.009926	0.009488	0.10203999999999995	0.18734899999999996	0.10024	0.0043890000000000005	0.004428	0.004143	0.0010240000000000002	0.0010340000000000002	0.0010229999999999998	1364.7551887322898	1364.7551887322898	1364.7551887322898	0.0021487548297571112	0.0021487548297571112	0.0021487548297571112	1	1	1	Converged	Converged	Converged	OK	OK	OK	91	91	91	91	91	91	5	5	5	0	0	0	0	1	0	0	1	3.7685266569553733e-06	7	2
107	107	linear	0	7	1070	1	0.0001	0.8825260517021432	0.0008788373269010176	0.00029821630033484864	0.0006637577238134693	0.0010693888754377899	0.000640419056830742	0.5	0.0001344967544275391	1117.493054929411	OK	14	13	0.481896	0.383211	0.143634	0.336153	0.183876	0	0.145743	0.199335	0.143634	0.012793	0.012716	0.012248	0.11315499999999998	0.16789199999999993	0.11263299999999998	0.00468	0.004325	0.004495999999999999	0.0012850000000000001	0.0011279999999999999	0.0011580000000000002	1117.4968202711366	1117.4968202711366	1117.4968202711366	0.057802579185517886	0.057802579185517886	0.057802579185517886	1	1	1	Converged	Converged	Converged	OK	OK	OK	98	98	98	98	98	98	6	6	6	0	0	0	0	1	0	0	1	3.3694542520557036e-06	7	2
53	53	linear	0	0	530	0	0.0001	2.216731123352057	0.0007791027737739722	0.0004346869391228278	0.0008704845528609241	0.00011722518092120303	0.0007835471650363585	0.5	0.0009421696910889666	2051.9788350791396	OK	17	16	0.887702	0.87798	0.378042	0.497591	0.499128	0	0.390111	0.37885199999999997	0.378042	0.015016	0.014964	0.014827	0.32654999999999995	0.3173479999999999	0.3166780000000001	0.010636	0.009607000000000001	0.009898	0.0018239999999999999	0.001832	0.0018099999999999998	2051.985009905359	2051.985009905359	2051.985009905359	0.15423815615309486	0.15423815615309486	0.15423815615309486	1	1	1	Converged	Converged	Converged	OK	OK	OK	175	175	175	175	175	175	9	9	9	0	0	0	0	0	1	0	0	3.009205608694998e-06	7	2
107	107	linear	2	7	1072	1	0.0001	0.8825260517021432	0.0008788373269010176	0.00029821630033484864	0.0006448802926425237	-0.00027428527485888634	0.0006215416256597964	0.5	0.00015337418559848467	1867.226883294103	OK	15	14	0.708666	0.629747	0.263237	0.438466	0.278231	0	0.2702	0.35151599999999994	0.263237	0.012611	0.012827	0.012097	0.22784400000000005	0.3078029999999999	0.221473	0.006943	0.007684	0.007097000000000001	0.001246	0.001337	0.0012360000000000001	1867.2226255218332	1867.2226255218332	1867.2226255218332	0.17990838089143943	0.17990838089143943	0.17990838089143943	1	1	1	Converged	Converged	Converged	OK	OK	OK	128	128	128	128	128	128	8	8	8	0	0	0	0	1	0	0	1	2.2802650860853646e-06	7	2
