# current V2 input; unique geometry/profile rows from merged_final; VBM references are RelTol=1e-6; xs=-time,barycentric=true
# case_id configuration_id profile d_bin_index epoch_index s q rho x y time u X reference
53 53 linear 0 0 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 0.00087048455286092407 0.00011722518092120303 0.00078354716503635849 0.5 0.00094216969108896662 2051.9788350791396
53 53 linear 0 7 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 0.00087048455286092407 0.00011722518092120303 0.00083646557501652885 0.5 0.00088925128110879626 2205.0609034681656
53 53 linear 0 15 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 0.00087048455286092407 0.00011722518092120303 0.00089694375785100925 0.5 0.00082877309827431586 2412.4399238717074
53 53 linear 0 23 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 0.00087048455286092407 0.00011722518092120303 0.00095742194068548965 0.5 0.00076829491543983547 2674.2187826930508
53 53 linear 1 0 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 0.001620795013282396 -0.00026257107374961765 0.0015338576254578305 0.5 0.00019185923066749461 3699.2655071633749
53 53 linear 1 7 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 0.001620795013282396 -0.00026257107374961765 0.0015867760354380009 0.5 0.00013894082068732425 3556.9126936817056
53 53 linear 1 15 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 0.001620795013282396 -0.00026257107374961765 0.0016472542182724812 0.5 7.8462637852843957e-05 3343.7621826711279
53 53 linear 1 23 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 0.001620795013282396 -0.00026257107374961765 0.0017077324011069614 0.5 1.7984455018363668e-05 3076.5860513373391
53 53 linear 2 0 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 -1.7638064900250106 -0.01034005829687736 -1.7638934274128351 0.5 1.7656191442689604 7.8857750339824664
53 53 linear 2 7 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 -1.7638064900250106 -0.01034005829687736 -1.7638405090028551 0.5 1.7655662258589804 5.807574796574972
53 53 linear 2 15 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 -1.7638064900250106 -0.01034005829687736 -1.7637800308200204 0.5 1.7655057476761458 5.186602098908355
53 53 linear 2 23 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 -1.7638064900250106 -0.01034005829687736 -1.763719552637186 0.5 1.7654452694933114 4.7879151151539334
53 53 linear 3 0 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 -1.7598093834371538 -0.0045633750922040705 -1.7598963208249783 0.5 1.7616220376811036 2.0463471895265144
53 53 linear 3 7 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 -1.7598093834371538 -0.0045633750922040705 -1.7598434024149983 0.5 1.7615691192711236 2.0431996800890011
53 53 linear 3 15 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 -1.7598093834371538 -0.0045633750922040705 -1.7597829242321636 0.5 1.761508641088289 2.0396665359919872
53 53 linear 3 23 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 -1.7598093834371538 -0.0045633750922040705 -1.7597224460493293 0.5 1.7614481629054546 2.0362007756606517
53 53 linear 4 0 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 -1.7632781209314967 -0.0094757443700008437 -1.7633650583193212 0.5 1.7650907751754465 3.3021611547022771
53 53 linear 4 7 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 -1.7632781209314967 -0.0094757443700008437 -1.7633121399093412 0.5 1.7650378567654665 3.2362450260164533
53 53 linear 4 15 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 -1.7632781209314967 -0.0094757443700008437 -1.7632516617265066 0.5 1.7649773785826319 3.1670824965263189
53 53 linear 4 23 2.2167311233520568 0.00077910277377397225 0.00043468693912282778 -1.7632781209314967 -0.0094757443700008437 -1.7631911835436722 0.5 1.7649169003997975 3.1036198294127892
