row profile bin epoch event_index X Y rho q a radius topology old_decision old_p4_steps old_probe_ms fast_screen fast_screen_ms p4_interval_lo p4_interval_hi p3_interval_lo p3_interval_hi p3_qf_gate_hi d14_gap overlap_budget fast_reject_old_accept
0 linear 1 0 6 0.12183033646279352 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.87159054427436455 OK no_coincident_d14_event 3 0.027182000000000001 no_d14_overlap 0.0092530000000000008 0.87159054427436111 0.871590544274368 nan nan nan 2.7073373498609499e-07 8.0727325938045959e-14 0
0 linear 1 0 8 0.12183033646279352 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.87169913607016059 OK no_coincident_d14_event 3 0.013374 no_d14_overlap 0.0051630000000000001 0.87169913607015714 0.87169913607016403 nan nan nan 6.3187083010340928e-08 8.0730418201343229e-14 0
0 linear 1 7 6 0.12185135636153857 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.87158003661749839 OK no_coincident_d14_event 3 0.014298 no_d14_overlap 0.0054669999999999996 0.87158003661749495 0.87158003661750183 nan nan nan 2.9831210135444763e-07 8.0727026508651396e-14 0
0 linear 1 7 8 0.12185135636153857 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.8716886272482256 OK no_coincident_d14_event 3 0.011564 no_d14_overlap 0.004849 0.87168862724822216 0.87168862724822904 nan nan nan 7.728096440562382e-08 8.0730119122087658e-14 0
0 linear 1 15 6 0.12187537910296148 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.87156802800484612 OK no_coincident_d14_event 3 0.012633 no_d14_overlap 0.0054260000000000003 0.87156802800484268 0.87156802800484956 nan nan nan 3.3138569566215637e-07 8.0726684263343875e-14 0
0 linear 1 15 8 0.12187537910296148 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.87167661730406565 OK no_coincident_d14_event 3 0.011582 no_d14_overlap 0.0049639999999999997 0.87167661730406221 0.87167661730406909 nan nan nan 9.5158407265039102e-08 8.0729777270836847e-14 0
0 linear 1 23 6 0.1218994018443844 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.87155601953944972 OK no_coincident_d14_event 3 0.012671999999999999 no_d14_overlap 0.0052480000000000001 0.87155601953944628 0.87155601953945316 nan nan nan 3.6610077891463533e-07 8.0726341975567668e-14 0
0 linear 1 23 8 0.1218994018443844 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.8716646075071609 OK no_coincident_d14_event 3 0.011539000000000001 no_d14_overlap 0.0048869999999999999 0.87166460750715746 0.87166460750716435 nan nan nan 1.1493801377326918e-07 8.072943536970867e-14 0
0 uniform 1 0 6 0.12183033646279352 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.87159054427436455 OK no_coincident_d14_event 3 0.017343000000000001 no_d14_overlap 0.0074070000000000004 0.87159054427436111 0.871590544274368 nan nan nan 2.7073373498609499e-07 8.0727325938045959e-14 0
0 uniform 1 0 8 0.12183033646279352 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.87169913607016059 OK no_coincident_d14_event 3 0.013098 no_d14_overlap 0.0062849999999999998 0.87169913607015714 0.87169913607016403 nan nan nan 6.3187083010340928e-08 8.0730418201343229e-14 0
