name,u,policy,warm,rtol,stop,value_stop,gradient_stop,value_converged,mu,value_error,nodes,evaluations,event_count,refinement_count,topology_ms,setup_ms,physics_ms,estimator_ms,scheduler_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,event_topology_reuses,event_radius_reuses,event_direct_qf_failures
rand033,0,None,0,0.001,Converged,Converged,Converged,1,30.385545837825433,0.020144436012027818,126,126,8,16,0.902806,0.061808000000000002,0.18851700000000016,0.0073959999999999998,0.0023600000000000001,8,0,0,0,0,0,0,0
rand033,0,None,0,0.0001,Converged,Converged,Converged,1,30.385426755202722,0.0014642169024251101,166,166,8,19,0.86516700000000002,0.044449000000000002,0.24477499999999991,0.0091230000000000009,0.0024599999999999999,8,0,0,0,0,0,0,0
rand033,0,None,1,0.001,Converged,Converged,Converged,1,30.320526339462795,0.019709670573981819,126,126,8,16,0.366012,0.030186000000000001,0.18888599999999994,0.0053180000000000007,0.0015220000000000001,8,0,0,0,0,0,0,0
rand033,0,None,1,0.0001,Converged,Converged,Converged,1,30.320408382691024,0.0014683874273911371,166,166,8,19,0.36439899999999997,0.029454999999999999,0.24456100000000006,0.0066709999999999998,0.0018349999999999998,8,0,0,0,0,0,0,0
rand033,0,ValueFirst,0,0.001,Converged,Converged,BudgetExceeded,1,30.385545837825433,0.020144436012027818,190,190,8,19,0.78286,0.028143000000000001,0.2734919999999999,0.053984999999999998,0.0081670000000000006,8,0,0,0,0,0,0,0
rand033,0,ValueFirst,0,0.0001,Converged,Converged,BudgetExceeded,1,30.385426755202722,0.0014642169024251101,238,238,8,22,0.82602799999999998,0.039358999999999998,0.40904299999999999,0.075990000000000002,0.0081920000000000014,8,0,0,0,0,0,0,0
rand033,0,ValueFirst,1,0.001,Converged,Converged,BudgetExceeded,1,30.320526339462795,0.019709670573981819,190,190,8,19,0.35754999999999998,0.026863000000000001,0.29075499999999993,0.049559999999999993,0.0058090000000000008,8,0,0,0,0,0,0,0
rand033,0,ValueFirst,1,0.0001,Converged,Converged,BudgetExceeded,1,30.320408382691024,0.0014683874273911371,238,238,8,22,0.36463699999999999,0.02682,0.37286999999999992,0.065483,0.007783,8,0,0,0,0,0,0,0
rand033,0.5,None,0,0.001,Converged,Converged,Converged,1,31.514303523854004,0.017609381180358832,126,126,8,16,0.97897999999999996,0.031683999999999997,0.27902900000000003,0.008199999999999999,0.0024900000000000005,8,0,0,0,0,0,0,0
rand033,0.5,None,0,0.0001,Converged,Converged,Converged,1,31.514232885565121,0.0011865111751735821,166,166,8,19,0.80402600000000002,0.032614999999999998,0.32263400000000009,0.0091729999999999989,0.002431,8,0,0,0,0,0,0,0
rand033,0.5,None,1,0.001,Converged,Converged,Converged,1,31.450052479057081,0.017684428168287705,126,126,8,16,0.35117300000000001,0.026588000000000001,0.26352799999999998,0.0054020000000000006,0.0016010000000000002,8,0,0,0,0,0,0,0
rand033,0.5,None,1,0.0001,Converged,Converged,Converged,1,31.449982528016111,0.0011818299379095824,166,166,8,19,0.35802499999999998,0.026359,0.31722199999999978,0.0072579999999999997,0.0019449999999999999,8,0,0,0,0,0,0,0
rand033,0.5,ValueFirst,0,0.001,Converged,Converged,BudgetExceeded,1,31.514303523854004,0.017609381180358635,190,190,8,19,0.76463499999999995,0.027182999999999999,0.45716999999999985,0.055442000000000005,0.0090279999999999996,8,0,0,0,0,0,0,0
rand033,0.5,ValueFirst,0,0.0001,Converged,Converged,BudgetExceeded,1,31.514232885565121,0.0011865111751734529,238,238,8,22,0.78204799999999997,0.035475,0.55489199999999983,0.068572000000000008,0.0092790000000000008,8,0,0,0,0,0,0,0
rand033,0.5,ValueFirst,1,0.001,Converged,Converged,BudgetExceeded,1,31.450052479057081,0.017684428168287764,190,190,8,19,0.36390600000000001,0.029384,0.46805499999999983,0.045911,0.007175,8,0,0,0,0,0,0,0
rand033,0.5,ValueFirst,1,0.0001,Converged,Converged,BudgetExceeded,1,31.449982528016111,0.00118182993790959,238,238,8,22,0.35801100000000002,0.026922000000000001,0.61813299999999949,0.071435999999999999,0.0098049999999999995,8,0,0,0,0,0,0,0
