name,u,policy,warm,rtol,stop,value_stop,gradient_stop,value_converged,mu,value_error,nodes,evaluations,event_count,refinement_count,topology_ms,setup_ms,physics_ms,estimator_ms,scheduler_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,event_topology_reuses,event_radius_reuses,event_direct_qf_failures
paper_highA,0,None,0,0.001,Converged,Converged,Converged,1,12363.403508001509,7.8671041017566052,231,231,8,18,17.250948000000001,0.070374999999999993,0.45677199999999996,0.024558000000000003,0.002562,8,3,3,0,0,0,0,0
paper_highA,0,None,0,0.0001,Converged,Converged,Converged,1,12363.402164718744,0.37493600587233117,263,263,8,21,16.409656999999999,0.03823,0.5088900000000004,0.027571000000000002,0.0034629999999999999,8,3,3,0,0,0,0,0
paper_highA,0,None,1,0.001,Converged,Converged,Converged,1,12254.514935585661,8.1125097970861866,231,231,8,18,0.54595199999999999,0.029019,0.62569499999999978,0.021003999999999998,0.001895,8,3,3,0,0,0,0,0
paper_highA,0,None,1,0.0001,Converged,Converged,Converged,1,12254.513556073354,1.2162223161427899,255,255,8,20,0.57015499999999997,0.028736000000000001,0.69016100000000002,0.021376999999999997,0.002398,8,3,3,0,0,0,0,0
paper_highA,0,ValueFirst,0,0.001,Converged,Converged,BudgetExceeded,1,12363.403508001509,7.8671041017566052,399,399,8,21,15.681665000000001,0.044430999999999998,0.83019399999999932,0.34181000000000006,0.010318000000000001,8,3,3,0,0,0,0,0
paper_highA,0,ValueFirst,0,0.0001,Converged,Converged,EventLocationLimited,1,12363.402164718744,0.37493600587233117,423,423,8,23,15.802168999999999,0.038553999999999998,0.95991099999999963,0.37345799999999996,0.011960999999999999,8,3,3,0,0,0,0,0
paper_highA,0,ValueFirst,1,0.001,Converged,Converged,BudgetExceeded,1,12254.514935585661,8.1125097970861866,373,373,8,21,0.56536500000000001,0.034432999999999998,1.0633029999999997,0.32290599999999997,0.0090920000000000011,8,3,3,0,0,0,0,0
paper_highA,0,ValueFirst,1,0.0001,Converged,Converged,BudgetExceeded,1,12254.513556073354,1.2162223161427899,397,397,8,23,0.55374800000000002,0.030114999999999999,1.1671469999999997,0.32325300000000007,0.009495,8,3,3,0,0,0,0,0
paper_highA,0.5,None,0,0.001,Converged,Converged,Converged,1,12152.919086256446,8.7711865846241714,231,231,8,18,16.167203000000001,0.042194000000000002,0.60397899999999993,0.024837000000000001,0.0026779999999999998,8,3,3,0,0,0,0,0
paper_highA,0.5,None,0,0.0001,Converged,Converged,Converged,1,12152.917783914627,0.90722489946551887,263,263,8,21,15.758357999999999,0.045106,0.77961000000000025,0.029876,0.003143,8,3,3,0,0,0,0,0
paper_highA,0.5,None,1,0.001,Converged,Converged,Converged,1,12035.296321527643,9.0048176193321154,231,231,8,18,0.53651199999999999,0.027928000000000001,0.76901500000000034,0.020967,0.0019559999999999998,8,3,3,0,0,0,0,0
paper_highA,0.5,None,1,0.0001,Converged,Converged,Converged,1,12035.295005889388,0.90298980571675269,263,263,8,21,0.53381299999999998,0.027688000000000001,0.86117800000000111,0.022897000000000001,0.0025769999999999994,8,3,3,0,0,0,0,0
paper_highA,0.5,ValueFirst,0,0.001,Converged,Converged,BudgetExceeded,1,12152.919086256446,8.7711865846240702,407,407,8,21,15.717109000000001,0.045540999999999998,1.4548980000000002,0.35412699999999991,0.011467,8,3,3,0,0,0,0,0
paper_highA,0.5,ValueFirst,0,0.0001,Converged,Converged,BudgetExceeded,1,12152.917783914627,0.90722489946541196,439,439,8,24,15.734465999999999,0.044368999999999999,1.5125260000000007,0.37183599999999994,0.012809000000000003,8,3,3,0,0,0,0,0
paper_highA,0.5,ValueFirst,1,0.001,TopologyUnresolved,Converged,TopologyUnresolved,1,12035.296321527643,9.0048176193320462,359,359,8,18,0.56479100000000004,0.031764000000000001,1.5643969999999989,0.11598000000000001,0.0070709999999999992,8,3,3,0,0,0,0,0
paper_highA,0.5,ValueFirst,1,0.0001,TopologyUnresolved,Converged,TopologyUnresolved,1,12035.295005889388,0.90298980571667764,391,391,8,21,0.58353299999999997,0.033737999999999997,1.7804140000000004,0.12900400000000001,0.0090200000000000002,8,3,3,0,0,0,0,0
