name panel kind x g dg fd base_us derivative_us ref64 ref128 q15
plan15 2 3 0.92387953251128674 0.0031915269710996973 -0.083352081469103362 -0.083352081446685405 1.6890000000000001 1.625 0.19385075296829252 0.1938507529682926 0.19385075262386262
plan15 2 3 0.70710678118654757 0.043501476354614682 -0.27071572025029372 -0.27071572022106805 1.387 0.16200000000000001 0.19385075296829252 0.1938507529682926 0.19385075262386262
plan15 2 3 0.38268343236508984 0.14232510412928429 -0.27820615950116273 -0.27820615945833849 1.284 0.121 0.19385075296829252 0.1938507529682926 0.19385075262386262
plan15 2 3 0 0.19275874591032358 0.041542293814653221 0.041542293793828122 1.3009999999999999 0.111 0.19385075296829252 0.1938507529682926 0.19385075262386262
plan15 2 3 -0.38268343236508973 0.12176472454816999 0.28200178711116836 0.28200178706985768 1.2589999999999999 0.114 0.19385075296829252 0.1938507529682926 0.19385075262386262
plan15 2 3 -0.70710678118654746 0.033904711718342299 0.21775542028939593 0.21775542027382963 1.3799999999999999 0.11600000000000001 0.19385075296829252 0.1938507529682926 0.19385075262386262
plan15 2 3 -0.92387953251128674 0.0024191939234200852 0.063312197877394033 0.063312197851571328 1.48 0.23400000000000001 0.19385075296829252 0.1938507529682926 0.19385075262386262
plan15 4 1 0.92387953251128674 1.1552106928393526 1.3363047953802285 1.3363047951964191 1.3 0.30399999999999999 0.79162409588447269 0.79162409588447291 0.79162410506744607
plan15 4 1 0.70710678118654757 0.88326363346400394 1.159997613799677 1.1599976137532941 1.381 0.33400000000000002 0.79162409588447269 0.79162409588447291 0.79162410506744607
plan15 4 1 0.38268343236508984 0.55561153012951581 0.86638123543181011 0.86638123546478585 1.4930000000000001 0.30499999999999999 0.79162409588447269 0.79162409588447291 0.79162410506744607
plan15 4 1 0 0.28052824303693785 0.58160346229856152 0.58160346229629845 1.2130000000000001 0.27600000000000002 0.79162409588447269 0.79162409588447291 0.79162410506744607
plan15 4 1 -0.38268343236508973 0.10459808725717359 0.34325614908484275 0.34325614907196317 1.645 0.48699999999999999 0.79162409588447269 0.79162409588447291 0.79162410506744607
plan15 4 1 -0.70710678118654746 0.023316149344141217 0.1596594493508624 0.15965944931261439 1.3879999999999999 0.40999999999999998 0.79162409588447269 0.79162409588447291 0.79162410506744607
plan15 4 1 -0.92387953251128674 0.0015707600606440989 0.041278124379319339 0.041278124425351594 22.155999999999999 0.315 0.79162409588447269 0.79162409588447291 0.79162410506744607
plan15 5 0 0.92387953251128674 0.75416121934756875 -0.097956928156381545 -0.09795692818559408 1.3140000000000001 0.13200000000000001 1.4775504609982142 1.4775504609982155 1.4775504610794008
plan15 5 0 0.70710678118654757 0.76969276159542777 -0.047247787584810859 -0.047247787576809579 1.3580000000000001 0.14000000000000001 1.4775504609982142 1.4775504609982155 1.4775504610794008
plan15 5 0 0.38268343236508984 0.77524530175120554 0.0099097033653875906 0.0099097033745554342 1.542 0.29899999999999999 1.4775504609982142 1.4775504609982155 1.4775504610794008
plan15 5 0 0 0.76129829633508106 0.061393100941249973 0.061393100914131075 1.6539999999999999 0.30099999999999999 1.4775504609982142 1.4775504609982155 1.4775504610794008
