polynomial_l1_sample	polynomial_l1_upper	name	panel	kind	q7	hermite	q15	reference	reference_uncertainty	estimate	error7	errorH	error15	fd_max_scaled	base_us	derivative_us
0.0005197098513048885	0.05329964963198429	plan15	2	3	0.19383587619221104	0.1938507697008802	0.1938507526238626	0.1938507529682926	1.1102230246251565e-16	1.4893508669150402e-05	1.487677608155713e-05	1.673258759327112e-08	3.444300122890098e-10	3.350343709821137e-11	9.780000000000001	2.483
0.0002628310775890637	0.023850966211812947	plan15	4	1	0.7916458162020249	0.791623324662101	0.791624105067446	0.7916240958844729	3.3306690738754696e-16	2.2491539923952253e-05	2.1720317551987556e-05	7.712223719646971e-07	9.182973048638132e-09	7.867527067242409e-11	30.576	2.4309999999999996
5.212058962487807e-06	0.0013306316255480577	plan15	5	0	1.4775499033574984	1.4775504557384556	1.4775504610794008	1.4775504609982155	1.3322676295501878e-15	5.523809571972293e-07	5.576407171581366e-07	5.259759960907218e-09	8.11852807203195e-11	3.000344993751688e-11	9.91	1.222
9.658830228140029e-09	8.238012851238992e-07	plan15	6	0	0.3182553447765741	0.31825534490586926	0.3182553449058961	0.3182553449058964	3.3306690738754696e-16	1.2929518566906495e-10	1.2932233062201703e-10	2.7144952952085077e-14	3.3306690738754696e-16	1.4968356817369693e-11	9.119000000000002	0.8049999999999999
0.0011912805966234805	0.1279207913802633	plan15	7	2	1.1096704796360544	1.1092715955965506	1.1092952959884783	1.1092964978207314	1.5543122344752192e-15	0.00039888403950372187	0.000373981815322999	2.4902224180722854e-05	1.2018322530504832e-06	1.944564716627732e-10	7.984	1.3889999999999996
8.748220589858928e-05	0.011051176485832821	plan15	8	3	0.26242108384001156	0.26242646760350113	0.2624264708898009	0.2624264708900532	0.0	5.383763489574811e-06	5.387050041660846e-06	3.2865520860347885e-09	2.522981823460668e-13	3.726842995049534e-11	44.588	3.0650000000000004
0.004380367750918028	0.43860996945513375	plan15	9	3	1.73052346072301	1.7303967923600907	1.730393529214305	1.73039340807778	2.220446049250313e-16	0.00012666836291930217	0.00013005264522991666	3.384282310614495e-06	1.2113652481104964e-07	1.1004571506642183e-10	8.157	1.0449999999999997
0.00012799150617781382	0.0181986730472946	plan15	13	3	0.136532422510382	0.13655632578547014	0.1365563281241212	0.1365563281045723	1.942890293094024e-16	2.3903275088138498e-05	2.3905594190298807e-05	2.319102160308617e-09	1.9548890284326603e-11	6.414730151048475e-11	8.972	0.8569999999999999
4.7182339046902515e-05	0.007232385845546349	resonant	2	3	0.048818703426479565	0.04882721386872887	0.048827213851893	0.0488272138509055	0.0	8.510442249302919e-06	8.510424425935137e-06	1.7823367781666377e-11	9.875017470406533e-13	2.6555274979373194e-11	8.961	0.8929999999999997
1.4250108935066226e-14	1.275014439699468e-12	resonant	6	1	0.001982378972970598	0.001982378972970394	0.0019823789729702	0.0019823789729697	0.0	2.0426368929626904e-16	8.981530796869919e-16	6.938893903907228e-16	5.000340419503146e-16	8.009992730208772e-11	73.47	0.9319999999999999
