name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,event_topology_reuses,event_radius_reuses,event_direct_qf_failures,first_value_pass_nodes,first_gradient_error_pass_nodes,first_gradient_contract_nodes,gradient_error_pass_mask,gradient_contract_mask,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
rand012,0.0,1,0,1.0e-03,1,0,EventLocationLimited,3.8285679577583691,0.0016022183,62,62,44,0,0.909736,0.759976,0.006785,0.000019,0.001086,0.004679,0.000878,0,4,4,0,0,4,4,0,46,0,0,27,27,0.102077,0.018917,0.001883,0.982138,3.8285679577646032,0,0,1.0905541e-12,1.6180753e-14,1.7002257e-15,13.519116734682935,0.68932997481677982,0.037859615506319777,-21.158667506514107,0.00053944174973664504,0.00083411794,4.2574367e-05,0.00083664288,0.00095368486,8.2193188e-09
rand012,0.0,1,0,1.0e-03,0,0,EventLocationLimited,3.828567957758366,0.0016022183,62,106,0,0,1.005952,0.770532,0.007319,0.000022,0.000826,0.005916,0.000438,0,4,4,0,0,4,4,0,75,0,0,27,27,0.176167,0.014129,0.001395,0.960251,3.8285679577646032,0,0,1.0964939e-12,1.6180753e-14,1.7002257e-15,13.519116731911474,0.68932997467530543,0.037859613441619366,-21.158667507447902,0.00053944174972713821,0.00083411458,4.2574203e-05,0.00083664145,0.00095368375,8.2193177e-09
rand012,0.0,1,0,1.0e-04,1,0,EventLocationLimited,3.8285679577646254,2.2258343e-09,62,62,44,0,0.901671,0.763351,0.006003,0.000019,0.000832,0.004656,0.000388,0,4,4,0,0,4,4,0,62,0,0,27,27,0.101874,0.011607,0.001355,0.946351,3.8285679577646032,0,0,1.0829631e-12,8.8544812e-15,1.7002257e-15,13.519116734682935,0.68932997481677982,0.037859615506319777,-21.158667506514107,0.00053944174973664504,0.00083411794,4.2574367e-05,0.00083664288,0.00095368486,8.2193188e-09
rand012,0.0,1,0,1.0e-04,0,0,EventLocationLimited,3.828567957764621,2.2258349e-09,62,106,0,0,0.975952,0.759142,0.006065,0.000022,0.000791,0.004701,0.000442,0,4,4,0,0,4,4,0,106,0,0,27,27,0.170421,0.010501,0.001231,0.976825,3.8285679577646032,0,0,1.0895764e-12,8.8544812e-15,1.7002257e-15,13.519116731911474,0.68932997467530543,0.037859613441619366,-21.158667507447902,0.00053944174972713821,0.00083411458,4.2574203e-05,0.00083664145,0.00095368375,8.2193177e-09
rand012,0.0,1,0,1.0e-05,1,0,EventLocationLimited,3.8285679577646254,2.2258343e-09,62,62,44,0,0.897401,0.760657,0.005928,0.000021,0.000733,0.004688,0.000366,0,4,4,0,0,4,4,0,62,0,0,16,16,0.101722,0.010245,0.001279,0.948098,3.8285679577646032,0,0,1.0829631e-12,8.8544812e-15,1.7002257e-15,13.519116734682935,0.68932997481677982,0.037859615506319777,-21.158667506514107,0.00053944174973664504,0.00083411794,4.2574367e-05,0.00083664288,0.00095368486,8.2193188e-09
rand012,0.0,1,0,1.0e-05,0,0,EventLocationLimited,3.828567957764621,2.2258349e-09,62,106,0,0,0.981917,0.766031,0.005855,0.000019,0.000699,0.004624,0.000397,0,4,4,0,0,4,4,0,106,0,0,16,16,0.170512,0.010315,0.001256,0.972633,3.8285679577646032,0,0,1.0895764e-12,8.8544812e-15,1.7002257e-15,13.519116731911474,0.68932997467530543,0.037859613441619366,-21.158667507447902,0.00053944174972713821,0.00083411458,4.2574203e-05,0.00083664145,0.00095368375,8.2193177e-09
rand012,0.0,1,0,1.0e-06,1,0,EventLocationLimited,3.8285679577646254,2.2258343e-09,62,62,44,0,0.890914,0.755200,0.005789,0.000021,0.000719,0.004588,0.000346,0,4,4,0,0,4,4,0,62,0,0,16,16,0.101846,0.010056,0.001222,0.944466,3.8285679577646032,0,0,1.0829631e-12,8.8544812e-15,1.7002257e-15,13.519116734682935,0.68932997481677982,0.037859615506319777,-21.158667506514107,0.00053944174973664504,0.00083411794,4.2574367e-05,0.00083664288,0.00095368486,8.2193188e-09
rand012,0.0,1,0,1.0e-06,0,0,EventLocationLimited,3.828567957764621,2.2258349e-09,62,106,0,0,0.972073,0.757212,0.005951,0.000019,0.000751,0.004700,0.000384,0,4,4,0,0,4,4,0,106,0,0,16,16,0.170187,0.010022,0.001181,0.949404,3.8285679577646032,0,0,1.0895764e-12,8.8544812e-15,1.7002257e-15,13.519116731911474,0.68932997467530543,0.037859613441619366,-21.158667507447902,0.00053944174972713821,0.00083411458,4.2574203e-05,0.00083664145,0.00095368375,8.2193177e-09
rand012,0.0,1,0,1.0e-08,1,0,EventLocationLimited,3.8285679577646254,2.2258343e-09,62,62,44,0,0.929029,0.768785,0.007012,0.000021,0.000775,0.005722,0.000389,0,4,4,0,0,4,4,0,62,0,0,16,16,0.123994,0.010438,0.001278,0.949418,3.8285679577646032,0,0,1.0829631e-12,8.8544812e-15,1.7002257e-15,13.519116734682935,0.68932997481677982,0.037859615506319777,-21.158667506514107,0.00053944174973664504,0.00083411794,4.2574367e-05,0.00083664288,0.00095368486,8.2193188e-09
rand012,0.0,1,0,1.0e-08,0,0,EventLocationLimited,3.828567957764621,2.2258349e-09,62,106,0,0,0.972293,0.757779,0.005946,0.000022,0.000837,0.004597,0.000378,0,4,4,0,0,4,4,0,106,0,0,16,16,0.170182,0.009971,0.001155,0.944560,3.8285679577646032,0,0,1.0895764e-12,8.8544812e-15,1.7002257e-15,13.519116731911474,0.68932997467530543,0.037859613441619366,-21.158667507447902,0.00053944174972713821,0.00083411458,4.2574203e-05,0.00083664145,0.00095368375,8.2193177e-09
rand012,0.0,1,1,1.0e-03,1,0,EventLocationLimited,3.8289528328644344,0.0016024383,62,62,44,0,0.777488,0.621938,0.006093,0.000027,0.000767,0.004696,0.000418,0,4,4,0,0,4,4,0,46,0,0,27,27,0.120915,0.010381,0.001390,0.891153,3.8289528328705824,0,0,1.1007667e-12,1.6182516e-14,1.7003966e-15,13.522055574011056,0.68955296362789242,0.037871465340476362,-21.163710764578148,0.00053958709259012275,0.00083423907,4.2585084e-05,0.00083673267,0.00095388732,8.2214295e-09
rand012,0.0,1,1,1.0e-03,0,0,EventLocationLimited,3.8289528328644318,0.0016024383,62,106,0,0,0.872388,0.626529,0.006000,0.000021,0.000759,0.004627,0.000387,0,4,4,0,0,4,4,0,75,0,0,27,27,0.198653,0.011219,0.001188,0.889691,3.8289528328705824,0,0,1.0975213e-12,1.6182516e-14,1.7003966e-15,13.522055572375439,0.68955296354437423,0.037871461909569248,-21.163710766178987,0.00053958709259311472,0.00083422604,4.2584419e-05,0.00083671462,0.00095387759,8.2213737e-09
rand012,0.0,1,1,1.0e-04,1,0,EventLocationLimited,3.8289528328706472,2.2262952e-09,62,62,44,0,0.769830,0.617229,0.005939,0.000020,0.000794,0.004582,0.000411,0,4,4,0,0,4,4,0,62,0,0,27,27,0.117222,0.011108,0.001285,0.893153,3.8289528328705824,0,0,1.0964263e-12,8.8553643e-15,1.7003966e-15,13.522055574011056,0.68955296362789242,0.037871465340476362,-21.163710764578148,0.00053958709259012275,0.00083423907,4.2585084e-05,0.00083673267,0.00095388732,8.2214295e-09
rand012,0.0,1,1,1.0e-04,0,0,EventLocationLimited,3.8289528328706455,2.2262945e-09,62,106,0,0,0.865204,0.620442,0.005995,0.000019,0.000848,0.004615,0.000413,0,4,4,0,0,4,4,0,106,0,0,27,27,0.198623,0.010654,0.001205,0.886695,3.8289528328705824,0,0,1.0928952e-12,8.8553643e-15,1.7003966e-15,13.522055572375439,0.68955296354437423,0.037871461909569248,-21.163710766178987,0.00053958709259311472,0.00083422604,4.2584419e-05,0.00083671462,0.00095387759,8.2213737e-09
rand012,0.0,1,1,1.0e-05,1,0,EventLocationLimited,3.8289528328706472,2.2262952e-09,62,62,44,0,0.776338,0.620731,0.005945,0.000020,0.000744,0.004653,0.000416,0,4,4,0,0,4,4,0,62,0,0,16,16,0.120596,0.010965,0.001198,0.911816,3.8289528328705824,0,0,1.0964263e-12,8.8553643e-15,1.7003966e-15,13.522055574011056,0.68955296362789242,0.037871465340476362,-21.163710764578148,0.00053958709259012275,0.00083423907,4.2585084e-05,0.00083673267,0.00095388732,8.2214295e-09
rand012,0.0,1,1,1.0e-05,0,0,EventLocationLimited,3.8289528328706455,2.2262945e-09,62,106,0,0,0.863329,0.619133,0.005961,0.000026,0.000732,0.004675,0.000413,0,4,4,0,0,4,4,0,106,0,0,16,16,0.198715,0.010433,0.001163,0.911942,3.8289528328705824,0,0,1.0928952e-12,8.8553643e-15,1.7003966e-15,13.522055572375439,0.68955296354437423,0.037871461909569248,-21.163710766178987,0.00053958709259311472,0.00083422604,4.2584419e-05,0.00083671462,0.00095387759,8.2213737e-09
rand012,0.0,1,1,1.0e-06,1,0,EventLocationLimited,3.8289528328706472,2.2262952e-09,62,62,44,0,0.769645,0.616924,0.005979,0.000019,0.000717,0.004603,0.000384,0,4,4,0,0,4,4,0,62,0,0,16,16,0.117927,0.010862,0.001214,0.882622,3.8289528328705824,0,0,1.0964263e-12,8.8553643e-15,1.7003966e-15,13.522055574011056,0.68955296362789242,0.037871465340476362,-21.163710764578148,0.00053958709259012275,0.00083423907,4.2585084e-05,0.00083673267,0.00095388732,8.2214295e-09
rand012,0.0,1,1,1.0e-06,0,0,EventLocationLimited,3.8289528328706455,2.2262945e-09,62,106,0,0,0.875502,0.619411,0.011877,0.000020,0.000753,0.010616,0.000378,0,4,4,0,0,4,4,0,106,0,0,16,16,0.203932,0.010547,0.001176,0.883400,3.8289528328705824,0,0,1.0928952e-12,8.8553643e-15,1.7003966e-15,13.522055572375439,0.68955296354437423,0.037871461909569248,-21.163710766178987,0.00053958709259311472,0.00083422604,4.2584419e-05,0.00083671462,0.00095387759,8.2213737e-09
rand012,0.0,1,1,1.0e-08,1,0,EventLocationLimited,3.8289528328706472,2.2262952e-09,62,62,44,0,0.768042,0.616593,0.005970,0.000019,0.000747,0.004633,0.000375,0,4,4,0,0,4,4,0,62,0,0,16,16,0.117196,0.010286,0.001195,0.915907,3.8289528328705824,0,0,1.0964263e-12,8.8553643e-15,1.7003966e-15,13.522055574011056,0.68955296362789242,0.037871465340476362,-21.163710764578148,0.00053958709259012275,0.00083423907,4.2585084e-05,0.00083673267,0.00095388732,8.2214295e-09
rand012,0.0,1,1,1.0e-08,0,0,EventLocationLimited,3.8289528328706455,2.2262945e-09,62,106,0,0,0.861399,0.614327,0.006017,0.000021,0.000748,0.004613,0.000400,0,4,4,0,0,4,4,0,106,0,0,16,16,0.198930,0.010108,0.001167,0.885578,3.8289528328705824,0,0,1.0928952e-12,8.8553643e-15,1.7003966e-15,13.522055572375439,0.68955296354437423,0.037871461909569248,-21.163710766178987,0.00053958709259311472,0.00083422604,4.2584419e-05,0.00083671462,0.00095387759,8.2213737e-09
rand012,0.5,0,0,1.0e-03,1,0,Converged,3.8285636470169924,5.4692582e-08,62,62,44,0,0.906068,0.761358,0.006619,0.000021,0.001059,0.004662,0.000760,0,4,4,0,0,4,4,0,62,14,14,0,0,0.112196,0.005185,0.000978,0.901222,3.8285635497023613,0,2.0630207e-16,1.2995557e-12,5.3442491e-15,1.7002238e-15,0,0,0,0,0,0,0,0,0,0
