name,u,jac,warm,repeat,mode,mu,status,stop,evaluations,whole_ms,topology_ms
plan15,0.5,1,0,0,adaptive_affine,6.1205154790060332,0,BudgetExceeded,23572,401.197875,0.313852
plan15,0.5,1,0,0,adaptive_fold,6.120501628854238,8,TopologyUnresolved,2498,12.353100,0.514541
plan15,0.5,1,0,1,adaptive_fold,6.120501628854238,8,TopologyUnresolved,2498,10.937638,0.430295
plan15,0.5,1,0,1,adaptive_affine,6.1205154790060332,0,BudgetExceeded,23572,395.488949,0.440461
plan15,0.5,1,0,1,mapped_fixed63,6.1205016227172315,0,fixed_resolution,504,1.544001,0.422808
plan15,0.5,1,0,2,mapped_fixed63,6.1205016227172315,0,fixed_resolution,504,1.440951,0.337790
plan15,0.5,1,0,2,adaptive_affine,6.1205154790060332,0,BudgetExceeded,23572,384.449150,0.324076
plan15,0.5,1,0,2,adaptive_fold,6.120501628854238,8,TopologyUnresolved,2498,11.966671,0.425157
plan15,0.5,1,1,0,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.421944,0.221931
plan15,0.5,1,1,0,adaptive_affine,6.1294693764924384,0,BudgetExceeded,23572,375.998892,0.217786
plan15,0.5,1,1,0,adaptive_fold,6.129455477263571,8,TopologyUnresolved,2284,10.814986,0.224051
plan15,0.5,1,1,1,adaptive_fold,6.129455477263571,8,TopologyUnresolved,2284,9.824693,0.225989
plan15,0.5,1,1,1,adaptive_affine,6.1294693764924384,0,BudgetExceeded,23572,375.411382,0.223787
plan15,0.5,1,1,1,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.453817,0.236022
plan15,0.5,1,1,2,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.393666,0.207277
plan15,0.5,1,1,2,adaptive_affine,6.1294693764924384,0,BudgetExceeded,23572,380.831116,0.206685
plan15,0.5,1,1,2,adaptive_fold,6.129455477263571,8,TopologyUnresolved,2284,10.930635,0.231204
resonant,0,0,0,0,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,3.048924,0.610803
resonant,0,0,0,0,adaptive_affine,13.73012362785169,0,Converged,239,0.814160,0.452869
resonant,0,0,0,0,adaptive_fold,13.730116144653453,0,Converged,151,0.722061,0.443316
resonant,0,0,0,1,adaptive_fold,13.730116144653453,0,Converged,151,0.709767,0.436612
resonant,0,0,0,1,adaptive_affine,13.73012362785169,0,Converged,239,0.770732,0.434893
resonant,0,0,0,1,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,2.884925,0.441282
resonant,0,0,0,2,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,2.826405,0.445403
resonant,0,0,0,2,adaptive_affine,13.73012362785169,0,Converged,239,0.773386,0.438621
resonant,0,0,0,2,adaptive_fold,13.730116144653453,0,Converged,151,0.712673,0.431127
resonant,0,0,1,0,mapped_fixed63,13.807807455844564,0,fixed_resolution,567,2.870873,0.409457
resonant,0,0,1,0,adaptive_affine,13.807823245948168,0,Converged,239,0.767656,0.411596
resonant,0,0,1,0,adaptive_fold,13.807807472466953,0,Converged,143,0.667030,0.398708
resonant,0,0,1,1,adaptive_fold,13.807807472466953,0,Converged,143,0.660653,0.395993
resonant,0,0,1,1,adaptive_affine,13.807823245948168,0,Converged,239,0.747286,0.395137
resonant,0,0,1,1,mapped_fixed63,13.807807455844564,0,fixed_resolution,567,2.830434,0.395746
resonant,0,0,1,2,mapped_fixed63,13.807807455844564,0,fixed_resolution,567,2.847035,0.408573
resonant,0,0,1,2,adaptive_affine,13.807823245948168,0,Converged,239,0.758412,0.405294
resonant,0,0,1,2,adaptive_fold,13.807807472466953,0,Converged,143,0.662639,0.395275
resonant,0,1,0,0,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,2.883533,0.439334
resonant,0,1,0,0,adaptive_affine,13.73012362785169,0,BudgetExceeded,20213,269.390897,0.437865
resonant,0,1,0,0,adaptive_fold,13.730116144653453,0,EventLocationLimited,3536,17.553828,0.592601
resonant,0,1,0,1,adaptive_fold,13.730116144653453,0,EventLocationLimited,3536,16.374170,0.576044
resonant,0,1,0,1,adaptive_affine,13.73012362785169,0,BudgetExceeded,20213,269.378212,0.489111
resonant,0,1,0,1,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,3.094599,0.584501
resonant,0,1,0,2,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,2.979590,0.472207
resonant,0,1,0,2,adaptive_affine,13.73012362785169,0,BudgetExceeded,20213,270.690227,0.465052
resonant,0,1,0,2,adaptive_fold,13.730116144653453,0,EventLocationLimited,3536,17.614686,0.563439
resonant,0,1,1,0,mapped_fixed63,13.807807455844564,0,fixed_resolution,567,2.944637,0.423588
resonant,0,1,1,0,adaptive_affine,13.807823245948168,0,BudgetExceeded,20689,341.693040,0.426035
resonant,0,1,1,0,adaptive_fold,13.807807472466953,0,Converged,3488,20.323102,0.419285
resonant,0,1,1,1,adaptive_fold,13.807807472466953,0,Converged,3488,19.015835,0.420926
resonant,0,1,1,1,adaptive_affine,13.807823245948168,0,BudgetExceeded,20689,347.086801,0.427958
resonant,0,1,1,1,mapped_fixed63,13.807807455844564,0,fixed_resolution,567,2.966478,0.429951
resonant,0,1,1,2,mapped_fixed63,13.807807455844564,0,fixed_resolution,567,2.937123,0.415812
resonant,0,1,1,2,adaptive_affine,13.807823245948168,0,BudgetExceeded,20689,360.844772,0.402327
resonant,0,1,1,2,adaptive_fold,13.807807472466953,0,Converged,3488,20.629088,0.429845
resonant,0.5,0,0,0,mapped_fixed63,13.87748142439931,0,fixed_resolution,567,3.347769,0.631645
resonant,0.5,0,0,0,adaptive_affine,13.877501916664137,0,Converged,223,0.988791,0.462043
resonant,0.5,0,0,0,adaptive_fold,13.877481553095594,0,Converged,159,0.828710,0.450020
resonant,0.5,0,0,1,adaptive_fold,13.877481553095594,0,Converged,159,0.807214,0.441037
resonant,0.5,0,0,1,adaptive_affine,13.877501916664137,0,Converged,223,0.914449,0.434571
resonant,0.5,0,0,1,mapped_fixed63,13.87748142439931,0,fixed_resolution,567,3.101340,0.434362
resonant,0.5,0,0,2,mapped_fixed63,13.87748142439931,0,fixed_resolution,567,3.137619,0.433657
resonant,0.5,0,0,2,adaptive_affine,13.877501916664137,0,Converged,223,0.923774,0.449267
resonant,0.5,0,0,2,adaptive_fold,13.877481553095594,0,Converged,159,0.809714,0.435602
resonant,0.5,0,1,0,mapped_fixed63,13.960820115729112,0,fixed_resolution,567,3.165310,0.416058
resonant,0.5,0,1,0,adaptive_affine,13.960845423589753,0,Converged,223,0.889402,0.400303
resonant,0.5,0,1,0,adaptive_fold,13.960820125801241,0,Converged,159,0.788646,0.404202
resonant,0.5,0,1,1,adaptive_fold,13.960820125801241,0,Converged,159,0.787137,0.403973
resonant,0.5,0,1,1,adaptive_affine,13.960845423589753,0,Converged,223,0.895161,0.399612
resonant,0.5,0,1,1,mapped_fixed63,13.960820115729112,0,fixed_resolution,567,3.154170,0.400359
resonant,0.5,0,1,2,mapped_fixed63,13.960820115729112,0,fixed_resolution,567,3.118536,0.402485
resonant,0.5,0,1,2,adaptive_affine,13.960845423589753,0,Converged,223,0.900312,0.408995
resonant,0.5,0,1,2,adaptive_fold,13.960820125801241,0,Converged,159,0.780545,0.395201
resonant,0.5,1,0,0,mapped_fixed63,13.87748142439931,0,fixed_resolution,567,3.461577,0.441275
resonant,0.5,1,0,0,adaptive_affine,13.877501916664137,0,BudgetExceeded,20937,362.713125,0.436020
resonant,0.5,1,0,0,adaptive_fold,13.877481553095594,0,InnerAccuracyLimited,351,2.149837,0.651704
resonant,0.5,1,0,1,adaptive_fold,13.877481553095594,0,InnerAccuracyLimited,351,1.724123,0.468669
resonant,0.5,1,0,1,adaptive_affine,13.877501916664137,0,BudgetExceeded,20937,360.248260,0.454356
resonant,0.5,1,0,1,mapped_fixed63,13.87748142439931,0,fixed_resolution,567,3.838704,0.693949
resonant,0.5,1,0,2,mapped_fixed63,13.87748142439931,0,fixed_resolution,567,3.512578,0.451757
resonant,0.5,1,0,2,adaptive_affine,13.877501916664137,0,BudgetExceeded,20937,362.806052,0.451179
resonant,0.5,1,0,2,adaptive_fold,13.877481553095594,0,InnerAccuracyLimited,351,2.053622,0.636749
resonant,0.5,1,1,0,mapped_fixed63,13.960820115729112,0,fixed_resolution,567,3.535464,0.432645
resonant,0.5,1,1,0,adaptive_affine,13.960845423589751,0,BudgetExceeded,20913,368.085969,0.409567
resonant,0.5,1,1,0,adaptive_fold,13.960820125801241,0,InnerAccuracyLimited,231,1.375869,0.443204
resonant,0.5,1,1,1,adaptive_fold,13.960820125801241,0,InnerAccuracyLimited,231,1.190836,0.409876
resonant,0.5,1,1,1,adaptive_affine,13.960845423589751,0,BudgetExceeded,20913,363.049876,0.408757
resonant,0.5,1,1,1,mapped_fixed63,13.960820115729112,0,fixed_resolution,567,3.606789,0.426180
resonant,0.5,1,1,2,mapped_fixed63,13.960820115729112,0,fixed_resolution,567,3.539024,0.415732
resonant,0.5,1,1,2,adaptive_affine,13.960845423589751,0,BudgetExceeded,20913,371.501823,0.429085
resonant,0.5,1,1,2,adaptive_fold,13.960820125801241,0,InnerAccuracyLimited,231,1.341225,0.430782
close-binary,0,0,0,0,mapped_fixed63,8.1331871251541461,0,fixed_resolution,504,2.121301,0.653707
close-binary,0,0,0,0,adaptive_affine,8.133196747460433,0,Converged,368,1.220974,0.644379
close-binary,0,0,0,0,adaptive_fold,8.1331871350959748,0,Converged,136,0.929884,0.654463
close-binary,0,0,0,1,adaptive_fold,8.1331871350959748,0,Converged,136,0.879340,0.650159
close-binary,0,0,0,1,adaptive_affine,8.133196747460433,0,Converged,368,1.173368,0.632431
close-binary,0,0,0,1,mapped_fixed63,8.1331871251541461,0,fixed_resolution,504,2.314112,0.697042
close-binary,0,0,0,2,mapped_fixed63,8.1331871251541461,0,fixed_resolution,504,2.318495,0.697106
close-binary,0,0,0,2,adaptive_affine,8.133196747460433,0,Converged,368,1.240447,0.698594
close-binary,0,0,0,2,adaptive_fold,8.1331871350959748,0,Converged,136,0.951151,0.704048
close-binary,0,0,1,0,mapped_fixed63,8.087490714643284,0,fixed_resolution,504,1.987482,0.637152
close-binary,0,0,1,0,adaptive_affine,8.0875004855809269,0,Converged,368,1.208194,0.626291
close-binary,0,0,1,0,adaptive_fold,8.0874907246957335,0,Converged,136,0.838710,0.591277
close-binary,0,0,1,1,adaptive_fold,8.0874907246957335,0,Converged,136,0.831855,0.572528
close-binary,0,0,1,1,adaptive_affine,8.0875004855809269,0,Converged,368,1.087050,0.570062
close-binary,0,0,1,1,mapped_fixed63,8.087490714643284,0,fixed_resolution,504,1.778743,0.566238
close-binary,0,0,1,2,mapped_fixed63,8.087490714643284,0,fixed_resolution,504,1.779400,0.559254
close-binary,0,0,1,2,adaptive_affine,8.0875004855809269,0,Converged,368,1.093003,0.564608
close-binary,0,0,1,2,adaptive_fold,8.0874907246957335,0,Converged,136,0.811156,0.560020
close-binary,0,1,0,0,mapped_fixed63,8.1331871251541461,0,fixed_resolution,504,2.129167,0.624158
close-binary,0,1,0,0,adaptive_affine,8.133196747460433,0,BudgetExceeded,16908,247.304950,0.648913
