name,u,policy,warm,rtol,repeat,stop,value_stop,gradient_stop,value_converged,mu,value_error,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,nodes,evaluations,event_double_checks,event_dd_checks,event_dd_accepts,qf_family_constructions,event_qf_refinements,event_topology_reuses,event_radius_reuses,event_direct_qf_failures,gq0,gq1,gq2,gq3,gq4,gr0,gr1,gr2,gr3,gr4
rand016,0.5,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,1.6351744279066036,2.0969268e-05,1.940212,1.102135,0.015918,0.000022,0.009183,0.005674,0.000907,188,188,0,4,4,0,0,4,4,0,ToleranceMet,ToleranceMet,FiniteUncertified,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,BudgetExceeded,ToleranceMet,ToleranceMet
rand016,0.5,ValueFirst,1,1.0e-03,0,Converged,Converged,BudgetExceeded,1,1.6356052375094714,0.00023661294,1.690106,0.928779,0.013826,0.000086,0.007997,0.004803,0.000839,180,180,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,ToleranceMet,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,ToleranceMet
rand016,0.5,ValueFirst,1,1.0e-04,0,Converged,Converged,BudgetExceeded,1,1.6356049853413732,2.0972762e-05,1.622025,0.836117,0.017050,0.000032,0.009695,0.005748,0.001450,188,188,0,4,4,0,0,4,4,0,ToleranceMet,ToleranceMet,FiniteUncertified,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,BudgetExceeded,ToleranceMet,ToleranceMet
rand017,0.0,None,0,1.0e-03,0,Converged,Converged,Converged,1,5.3729762894509872,1.8790015e-07,0.850909,0.737749,0.017072,0.000021,0.009883,0.005470,0.001569,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand017,0.0,None,0,1.0e-04,0,Converged,Converged,Converged,1,5.3729762894509872,1.8790015e-07,0.875512,0.775077,0.014082,0.000021,0.008288,0.004980,0.000674,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand017,0.0,None,1,1.0e-03,0,Converged,Converged,Converged,1,5.3783557998026295,1.8852059e-07,0.742123,0.631959,0.014260,0.000023,0.008455,0.005221,0.000446,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand017,0.0,None,1,1.0e-04,0,Converged,Converged,Converged,1,5.3783557998026295,1.8852059e-07,0.921942,0.774216,0.018112,0.000029,0.010521,0.006876,0.000530,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand017,0.0,Strict,0,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,5.3729762894509872,1.8790015e-07,17.299665,0.950987,0.017694,0.000024,0.009898,0.006409,0.001193,3247,3247,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
rand017,0.0,Strict,0,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,5.3729762894509872,1.8790015e-07,12.779792,0.685314,0.017162,0.000050,0.010241,0.005642,0.000954,3247,3247,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
rand017,0.0,Strict,1,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,5.3783557998026295,1.8852059e-07,16.576709,0.836068,0.023330,0.000064,0.014224,0.007755,0.001058,2993,2993,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
rand017,0.0,Strict,1,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,5.3783557998026295,1.8852059e-07,13.978889,0.556046,0.015466,0.000064,0.009315,0.005162,0.000730,2993,2993,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
rand017,0.0,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,5.3729762894509872,1.8790015e-07,1.511335,0.680610,0.018026,0.000050,0.010601,0.005652,0.001513,286,286,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
rand017,0.0,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,5.3729762894509872,1.8790015e-07,1.287028,0.669329,0.014995,0.000020,0.009200,0.004973,0.000647,286,286,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
rand017,0.0,ValueFirst,1,1.0e-03,0,Converged,Converged,Converged,1,5.3783557998026295,1.8852059e-07,1.229711,0.541377,0.013082,0.000021,0.007943,0.004512,0.000506,286,286,0,4,4,0,0,4,4,0,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet
rand017,0.0,ValueFirst,1,1.0e-04,0,Converged,Converged,Converged,1,5.3783557998026295,1.8852059e-07,1.209206,0.543843,0.012775,0.000028,0.007652,0.004550,0.000428,286,286,0,4,4,0,0,4,4,0,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet
rand017,0.5,None,0,1.0e-03,0,Converged,Converged,Converged,1,5.3706242487534901,1.8575414e-07,0.765685,0.655398,0.013335,0.000024,0.007909,0.004476,0.000813,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand017,0.5,None,0,1.0e-04,0,Converged,Converged,Converged,1,5.3706242487534901,1.8575414e-07,0.752413,0.650095,0.012212,0.000018,0.007189,0.004499,0.000400,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand017,0.5,None,1,1.0e-03,0,Converged,Converged,Converged,1,5.3759965113404675,1.8671812e-07,0.640498,0.531798,0.011971,0.000024,0.006962,0.004493,0.000388,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand017,0.5,None,1,1.0e-04,0,Converged,Converged,Converged,1,5.3759965113404675,1.8671812e-07,0.641258,0.527960,0.011823,0.000019,0.006886,0.004427,0.000380,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand017,0.5,Strict,0,1.0e-03,0,TopologyUnresolved,Converged,TopologyUnresolved,1,5.3706242487534901,1.8575414e-07,9.965400,0.639853,0.012165,0.000019,0.006829,0.004461,0.000741,1954,1954,0,4,4,0,0,4,4,0,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
rand017,0.5,Strict,0,1.0e-04,0,TopologyUnresolved,Converged,TopologyUnresolved,1,5.3706242487534901,1.8575414e-07,6.808503,0.679697,0.017298,0.000058,0.010274,0.005770,0.000988,1954,1954,0,4,4,0,0,4,4,0,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
rand017,0.5,Strict,1,1.0e-03,0,TopologyUnresolved,Converged,TopologyUnresolved,1,5.3759965113404675,1.8671812e-07,9.056243,0.572020,0.016768,0.000054,0.009981,0.005700,0.000826,2224,2224,0,4,4,0,0,4,4,0,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
