lane	row	case	u	mu_reference	policy	topology_status	topology_events	topology_cells	chart_events	projective_promotions	event_identity_unchanged	cell_plan_unchanged	value_converged	value_stop	mu	value_error	numerical_status	stop	wall_ms	grad_x	grad_y	grad_rho	grad_q	grad_a	quality_x	quality_y	quality_rho	quality_q	quality_a	gradient_a_error	nodes	panels	splits
projective_fold	10	cusp-approach	0.5	0.01469972194172442	ValueFirst	0	10	11	0	0	1	1	1	Converged	1.5002754656949193	6.544951091186257e-05	0	Converged	0.39407399999999998	-1.0244981709672247	0.66945847731103436	0.026162854341140483	0.41533330116257189	0.24072922515756381	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	1.3737643434687832e-06	124	4	0
projective_fold	11	on-axis-off	0	0.015436185989528894	None	0	18	15	2	2	1	1	1	Converged	3.8270936381831029	0.00033999878491487528	0	Converged	0.68176800000000004	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	99	5	0
projective_fold	11	on-axis-off	0	0.015436185989528894	ValueFirst	0	18	15	2	2	1	1	1	Converged	3.8270936381831029	0.00033999878491487045	0	Converged	0.84324399999999999	1.1670984136360469	1.0804850038586028e-11	0.80406240152746367	-0.56133369702939884	-6.2228943908399668	FiniteUncertified	ToleranceMet	FiniteUncertified	FiniteUncertified	ToleranceMet	0.00071379280160153481	171	5	0
projective_fold	12	on-axis-off	0.5	0.015398329123854637	None	0	18	15	2	2	1	1	1	Converged	3.8254981954427651	0.00025106691625304776	0	Converged	0.718364	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	115	5	0
projective_fold	12	on-axis-off	0.5	0.015398329123854637	ValueFirst	0	18	15	2	2	1	1	1	Converged	3.8254981954427651	0.00025106691625303952	0	Converged	1.2299020000000001	1.1574829409588743	-1.9043782912665288e-11	0.73837839721765397	-0.55747230842522411	-6.2089551217951477	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	6.8021684578172853e-06	235	5	0
projective_fold	13	R=sqrt(m0)	0	0.015043985971715301	None	0	12	13	0	0	1	1	1	Converged	1.3878220326641879	0.00012356241979830681	0	Converged	0.23064499999999999	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	68	4	0
projective_fold	13	R=sqrt(m0)	0	0.015043985971715301	ValueFirst	0	12	13	0	0	1	1	1	Converged	1.3878220326641879	0.00012356241979831359	0	Converged	0.34631499999999998	0.11690247439263249	-1.0212674964615853	0.013995870856612788	-0.19883829515585727	-0.17111952525778598	ToleranceMet	ToleranceMet	FiniteUncertified	ToleranceMet	ToleranceMet	3.1447296041366522e-06	140	4	0
projective_fold	14	R=sqrt(m0)	0.5	0.015003966982476413	None	0	12	13	0	0	1	1	1	Converged	1.3878052400657834	9.6984914697240672e-05	0	Converged	0.251473	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	84	4	0
projective_fold	14	R=sqrt(m0)	0.5	0.015003966982476413	ValueFirst	0	12	13	0	0	1	1	1	Converged	1.3878052400657834	9.6984914697696606e-05	0	Converged	0.42554599999999998	0.11687948094518438	-1.0212061431639365	0.012875737191995647	-0.19882936008977994	-0.17110865029064243	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	1.9049000269630149e-06	140	4	0
projective_fold	15	tiny-rho	0	0.015078365162480623	None	0	14	15	0	0	1	1	1	Converged	38.337679647339648	0.0037248851665542407	0	Converged	0.445909	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	106	6	0
