lane	policy	topology_status	event_count	cell_count	value_converged	value_stop	mu	value_error	numerical_status	stop	grad_a	grad_a_quality	grad_a_reason	grad_a_error	grad_a_converged	nodes	panels	splits	projective_map_cells	map_cell5_left	map_cell7_left	map_cell7_right
projective_fold	None	0	16	14	1	Converged	31.943882703752212	0.00013594219144659022	0	Converged	0	NotRequested	NotRequested	0	0	91	5	0	2	1	1	1
projective_fold	ValueFirst	0	16	14	1	Converged	31.943882703752212	0.00013594219144650641	0	Converged	-2.4046891773126045	ToleranceMet	ToleranceMet	0.0022855318439422038	1	139	5	0	2	1	1	1
