name,u,policy,warm,rtol,repeat,stop,value_stop,gradient_stop,value_converged,mu,value_error,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,nodes,evaluations,event_double_checks,event_dd_checks,event_dd_accepts,qf_family_constructions,event_qf_refinements,gq0,gq1,gq2,gq3,gq4,gr0,gr1,gr2,gr3,gr4
plan15,0.5,Strict,0,1.0e-03,0,TopologyUnresolved,Converged,TopologyUnresolved,1,6.1205006645589828,0.0043222585,11.859120,0.287919,11.570124,0.000027,0.001549,0.417543,0.002519,2490,2490,8,0,0,1,8,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
plan15,0.5,Strict,0,1.0e-04,0,TopologyUnresolved,Converged,TopologyUnresolved,1,6.1205016288542371,0.00042465197,8.920156,0.319388,8.578225,0.000108,0.002331,0.448292,0.003238,2490,2490,8,0,0,1,8,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
plan15,0.5,Strict,1,1.0e-03,0,TopologyUnresolved,Converged,TopologyUnresolved,1,6.1294544594355331,0.0043589451,8.543643,0.211381,7.954209,0.000034,0.003010,0.444760,0.003654,2141,2141,8,0,0,1,8,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
plan15,0.5,Strict,1,1.0e-04,0,TopologyUnresolved,Converged,TopologyUnresolved,1,6.1294554772635701,0.00044604833,7.938025,0.189655,7.731299,0.000051,0.001546,0.442044,0.002067,2141,2141,8,0,0,1,8,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
plan15,0.5,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,6.1205006645589828,0.0043222585,1.271515,0.331008,0.939544,0.000046,0.002451,0.449751,0.003357,176,176,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.5,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,6.1205016288542371,0.00042465197,1.328303,0.294664,1.031713,0.000025,0.001416,0.431589,0.001753,216,216,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.5,ValueFirst,1,1.0e-03,0,Converged,Converged,BudgetExceeded,1,6.1294544594355331,0.0043589451,1.076379,0.173069,0.901114,0.000025,0.001375,0.439251,0.001727,176,176,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.5,ValueFirst,1,1.0e-04,0,Converged,Converged,BudgetExceeded,1,6.1294554772635701,0.00044604833,1.221768,0.178446,1.040988,0.000026,0.001379,0.432445,0.001742,232,232,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.0,None,0,1.0e-03,0,Converged,Converged,Converged,1,13.730120074185391,0.010819484,1.162113,0.409904,0.751533,0.000019,0.001935,0.527215,0.003869,119,119,8,3,3,1,5,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.0,None,0,1.0e-04,0,Converged,Converged,Converged,1,13.730116144653451,0.00071444952,1.192854,0.407698,0.783972,0.000018,0.001491,0.519340,0.001882,151,151,8,3,3,1,5,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.0,None,1,1.0e-03,0,Converged,Converged,Converged,1,13.807811515694054,0.011128461,1.121951,0.371104,0.749533,0.000025,0.001444,0.533504,0.001996,119,119,8,2,2,1,6,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.0,None,1,1.0e-04,0,Converged,Converged,Converged,1,13.807807472466951,0.0012349007,1.141498,0.372180,0.768083,0.000025,0.001423,0.516661,0.001826,143,143,8,2,2,1,6,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.0,Strict,0,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,13.730120074185391,0.010819484,8.005404,0.422267,7.582184,0.000019,0.001708,0.523712,0.003082,2154,2154,8,3,3,1,5,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
resonant,0.0,Strict,0,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,13.730116144653451,0.00071444952,6.271176,0.430302,5.825583,0.000050,0.001890,0.536798,0.002577,2154,2154,8,3,3,1,5,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
resonant,0.0,Strict,1,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,13.807811515694054,0.011128461,7.746810,0.451505,7.082360,0.000112,0.002955,0.581669,0.005635,2138,2138,8,2,2,1,6,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
resonant,0.0,Strict,1,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,13.807807472466951,0.0012349007,7.344908,0.401011,6.927937,0.000049,0.001621,0.538248,0.002461,2138,2138,8,2,2,1,6,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
resonant,0.0,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,13.730120074185391,0.010819484,1.317710,0.425267,0.890977,0.000049,0.002768,0.539377,0.005550,151,151,8,3,3,1,5,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.0,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,13.730116144653451,0.00071444952,1.356465,0.419546,0.935623,0.000031,0.001512,0.512004,0.001918,207,207,8,3,3,1,5,FiniteUncertified,ToleranceMet,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,ToleranceMet,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.0,ValueFirst,1,1.0e-03,0,Converged,Converged,BudgetExceeded,1,13.807811515694054,0.011128461,1.223444,0.371249,0.850005,0.000038,0.001451,0.522017,0.001968,159,159,8,2,2,1,6,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.0,ValueFirst,1,1.0e-04,0,Converged,Converged,BudgetExceeded,1,13.807807472466951,0.0012349007,1.309197,0.376615,0.930995,0.000038,0.001414,0.535816,0.001958,199,199,8,2,2,1,6,FiniteUncertified,ToleranceMet,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,ToleranceMet,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.5,None,0,1.0e-03,0,Converged,Converged,Converged,1,13.877484232546381,0.012850366,1.201102,0.409897,0.790570,0.000025,0.001605,0.517126,0.003120,103,103,8,3,3,1,5,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.5,None,0,1.0e-04,0,Converged,Converged,Converged,1,13.877481553095594,0.001385955,1.291582,0.405045,0.885383,0.000019,0.001343,0.509445,0.001763,159,159,8,3,3,1,5,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.5,None,1,1.0e-03,0,Converged,Converged,Converged,1,13.960822824509574,0.012731107,1.150546,0.370013,0.779385,0.000025,0.001458,0.522947,0.001754,103,103,8,2,2,1,6,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.5,None,1,1.0e-04,0,Converged,Converged,Converged,1,13.960820125801241,0.0011646163,1.250166,0.372077,0.876862,0.000025,0.001353,0.512171,0.001708,159,159,8,2,2,1,6,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.5,Strict,0,1.0e-03,0,InnerAccuracyLimited,Converged,InnerAccuracyLimited,1,13.877484232546381,0.012850366,2.193343,0.406860,1.785879,0.000024,0.001721,0.505991,0.002827,351,351,8,3,3,1,5,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited
