name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,first_value_pass_nodes,first_gradient_error_pass_nodes,first_gradient_contract_nodes,gradient_error_pass_mask,gradient_contract_mask,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,0,1,1.0e-05,0,0,Converged,6.026774081799493,5.769977e-05,208,347,0,0,1.047941,0.173339,0.871710,0.000022,0.001318,0.435583,0.001726,8,0,0,8,1,347,56,56,140724603453440,0,1465649003,0.012384,0.002840,0.498155,6.027232,0,0,4.5039204e-14,1.1247279e-14,2.6764253e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-06,1,0,Converged,6.0267740818625244,2.6054181e-06,264,264,192,0,0.941969,0.172911,0.766825,0.000021,0.001314,0.427434,0.001643,8,0,0,8,1,264,56,56,140724603453440,0,3766651958,0.017154,0.002998,0.495229,6.027232,0,0,4.5151872e-14,1.1247251e-14,2.6764253e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-06,0,0,Converged,6.0267740818625244,2.6054181e-06,264,456,0,0,1.121028,0.172360,0.945248,0.000022,0.001385,0.418273,0.001652,8,0,0,8,1,456,56,56,140724603453440,0,2693528611,0.016952,0.002973,0.494966,6.027232,0,0,4.5152549e-14,1.1247251e-14,2.6764253e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-08,1,0,Converged,6.026774081862742,2.2032671e-08,328,328,254,0,1.029874,0.172890,0.854358,0.000022,0.001333,0.439628,0.001597,8,0,0,8,1,328,56,56,140724603453440,0,1630300863,0.022423,0.003338,0.493052,6.027232,0,0,4.5440645e-14,1.1208874e-14,2.6764253e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-08,0,0,Converged,6.026774081862742,2.2032672e-08,328,582,0,0,1.271726,0.172079,1.095574,0.000022,0.001300,0.427599,0.001718,8,0,0,8,1,582,56,56,140724603453440,0,3896944088,0.022119,0.003506,0.492550,6.027232,0,0,4.5494588e-14,1.1208874e-14,2.6764253e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.0,1,0,1.0e-03,1,0,EventLocationLimited,6.0199516089053375,0.005839888,3219,3219,2948,10,18.093668,0.288932,17.803421,0.000022,0.001597,0.431005,0.002568,8,0,0,8,1,120,0,0,140724603453471,0,3454115798,2.841170,0.065042,1.225944,6.020410,0,0,4.5229249e-14,1.1394538e-14,2.6733956e-15,3.3596464e-322,5.5616784577950291,-17.137986485627586,-10.351485558545091,-4.9880854905097802,1.23848787756261,2.7961699e-06,4.1143385e-06,5.3011978e-06,2.3450278e-06,1.4685853e-06
plan15,0.0,1,0,1.0e-03,0,0,EventLocationLimited,6.0199516089053375,0.005839888,3219,6167,0,10,34.363778,0.295904,34.045003,0.000274,0.002253,0.453511,0.005439,8,0,0,8,1,177,0,0,140724603453471,0,2280936877,2.851090,0.065463,1.225183,6.020410,0,0,4.5199011e-14,1.1394538e-14,2.6733956e-15,3.3596464e-322,5.5616784577952556,-17.137986485626985,-10.351485558544939,-4.9880854905093335,1.2384878775627937,2.7962008e-06,4.1143591e-06,5.301235e-06,2.3450402e-06,1.4685894e-06
plan15,0.0,1,0,1.0e-04,1,0,EventLocationLimited,6.0199533596044921,0.00031935832,3219,3219,2948,10,10.125661,0.292639,9.788413,0.000180,0.003033,0.479263,0.006454,8,0,0,8,1,176,0,0,140724603453471,0,1462900208,2.818254,0.051853,1.214431,6.020410,0,0,4.5120924e-14,1.1311239e-14,2.6733963e-15,3.3596464e-322,5.5616784577950291,-17.137986485627586,-10.351485558545091,-4.9880854905097802,1.23848787756261,2.7961699e-06,4.1143385e-06,5.3011978e-06,2.3450278e-06,1.4685853e-06
plan15,0.0,1,0,1.0e-04,0,0,EventLocationLimited,6.0199533596044921,0.00031935832,3219,6167,0,10,15.903366,0.304903,15.578204,0.000167,0.002298,0.446857,0.003557,8,0,0,8,1,285,0,0,140724603453471,0,4222124655,2.846613,0.049604,1.244268,6.020410,0,0,4.5139032e-14,1.1311239e-14,2.6733963e-15,3.3596464e-322,5.5616784577952556,-17.137986485626985,-10.351485558544939,-4.9880854905093335,1.2384878775627937,2.7962008e-06,4.1143591e-06,5.301235e-06,2.3450402e-06,1.4685894e-06
plan15,0.0,1,0,1.0e-05,1,0,EventLocationLimited,6.0199533595851955,5.8400462e-05,3219,3219,2948,10,10.050289,0.291899,9.688849,0.000159,0.002477,0.453437,0.005518,8,0,0,8,1,208,0,0,140724603453471,0,2881545099,2.819646,0.048334,1.193651,6.020410,0,0,4.5300374e-14,1.1179161e-14,2.6733963e-15,3.3596464e-322,5.5616784577950291,-17.137986485627586,-10.351485558545091,-4.9880854905097802,1.23848787756261,2.7961699e-06,4.1143385e-06,5.3011978e-06,2.3450278e-06,1.4685853e-06
plan15,0.0,1,0,1.0e-05,0,0,EventLocationLimited,6.0199533595851955,5.8400462e-05,3219,6167,0,10,15.964945,0.289024,15.653480,0.000130,0.002496,0.447087,0.003531,8,0,0,8,1,347,0,0,140724603453471,0,1485440198,2.831338,0.048311,1.217057,6.020410,0,0,4.5318481e-14,1.1179161e-14,2.6733963e-15,3.3596464e-322,5.5616784577952556,-17.137986485626985,-10.351485558544939,-4.9880854905093335,1.2384878775627937,2.7962008e-06,4.1143591e-06,5.301235e-06,2.3450402e-06,1.4685894e-06
plan15,0.0,1,0,1.0e-06,1,0,EventLocationLimited,6.0199533596497696,2.6306329e-06,3219,3219,2948,10,10.051302,0.290886,9.691853,0.000209,0.002967,0.460144,0.005539,8,0,0,8,1,264,0,0,140724603453455,0,1020896546,2.799125,0.048040,1.188551,6.020410,0,0,4.5468618e-14,1.1179139e-14,2.6733963e-15,3.3596464e-322,5.5616784577950291,-17.137986485627586,-10.351485558545091,-4.9880854905097802,1.23848787756261,2.7961699e-06,4.1143385e-06,5.3011978e-06,2.3450278e-06,1.4685853e-06
plan15,0.0,1,0,1.0e-06,0,0,EventLocationLimited,6.0199533596497696,2.6306329e-06,3219,6167,0,10,15.839221,0.296720,15.518854,0.000126,0.002722,0.446577,0.003701,8,0,0,8,1,456,0,0,140724603453455,0,3041249163,2.847816,0.049807,1.238977,6.020410,0,0,4.5492697e-14,1.1179139e-14,2.6733963e-15,3.3596464e-322,5.5616784577952556,-17.137986485626985,-10.351485558544939,-4.9880854905093335,1.2384878775627937,2.7962008e-06,4.1143591e-06,5.301235e-06,2.3450402e-06,1.4685894e-06
plan15,0.0,1,0,1.0e-08,1,0,EventLocationLimited,6.019953359650013,2.3952302e-08,344,344,269,0,1.388739,0.298160,1.016338,0.000137,0.002431,0.451676,0.005227,8,0,0,8,1,328,0,0,140724603453440,0,1283954701,0.117705,0.010966,1.148061,6.020410,0,0,4.559778e-14,1.1130644e-14,2.6733963e-15,3.3596464e-322,5.5616784624538091,-17.137986488941657,-10.351485564261569,-4.9880854846179776,1.2384878952837681,2.1559867e-06,2.7264315e-06,3.530108e-06,1.777577e-06,1.1350705e-06
plan15,0.0,1,0,1.0e-08,0,0,EventLocationLimited,6.019953359650013,2.3952302e-08,344,613,0,0,1.580405,0.287438,1.289603,0.000163,0.001499,0.447863,0.002107,8,0,0,8,1,582,0,0,140724603453440,0,1785606883,0.124727,0.010154,1.147870,6.020410,0,0,4.5565265e-14,1.1130644e-14,2.6733963e-15,3.3596464e-322,5.5616784624540312,-17.137986488941053,-10.351485564261409,-4.988085484617538,1.2384878952839309,2.1560176e-06,2.7264521e-06,3.5301451e-06,1.7775894e-06,1.1350745e-06
