rep policy target u epoch mode xs ys rho q a wall_ms topology_ms mu value_error value_converged value_stop stop status nodes evaluations panels splits events cells topology_status chart_events projective_folds g0 g0_error g0_quality g0_reason g1 g1_error g1_quality g1_reason g2 g2_error g2_quality g2_reason g3 g3_error g3_quality g3_reason g4 g4_error g4_quality g4_reason
0 ValueFirst 0.001 0 0 full-cold 0.12 -9.9999999999999995e-07 0.02 0.5 1 1.600398 0.65232999999999997 31.944397215721676 0.022403688186267912 1 Converged Converged OK 336 336 7 0 15 14 OK 2 0 123.10735316061192 84.882125196054261 FiniteUncertified BudgetExceeded 0.061787318892838262 0.027507917375825055 FiniteUncertified BudgetExceeded -1206.7405903961055 86.508658184353379 FiniteUncertified BudgetExceeded -42.732438039757547 24.940774644346881 FiniteUncertified BudgetExceeded -2.8704987807453954 9.2080354370574629 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 0 full-warm 0.12 -9.9999999999999995e-07 0.02 0.5 1 1.598894 0.64531499999999997 31.944397215721676 0.022403688186267912 1 Converged Converged OK 336 336 7 0 15 14 OK 2 0 123.10735316061192 84.882125196054261 FiniteUncertified BudgetExceeded 0.061787318892838262 0.027507917375825055 FiniteUncertified BudgetExceeded -1206.7405903961055 86.508658184353379 FiniteUncertified BudgetExceeded -42.732438039757547 24.940774644346881 FiniteUncertified BudgetExceeded -2.8704987807453954 9.2080354370574629 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 0 radial-only 0.12 -9.9999999999999995e-07 0.02 0.5 1 0.98221800000000004 0 31.944397215721676 0.022403688186267912 1 Converged Converged OK 336 336 7 0 15 14 OK 2 0 123.10735316061192 84.882125196054261 FiniteUncertified BudgetExceeded 0.061787318892838262 0.027507917375825055 FiniteUncertified BudgetExceeded -1206.7405903961055 86.508658184353379 FiniteUncertified BudgetExceeded -42.732438039757547 24.940774644346881 FiniteUncertified BudgetExceeded -2.8704987807453954 9.2080354370574629 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 1 full-cold 0.12 0 0.02 0.5 1 0.92403100000000005 0.58484499999999995 31.943878200535419 0.03029737778857387 1 Converged Converged OK 123 123 5 0 16 14 OK 2 2 127.76800770276863 0.013069100469871918 ToleranceMet ToleranceMet 4.416716940860868e-10 8.8674697563815455e-09 ToleranceMet ToleranceMet -1196.5290425000394 0.082304768009168847 ToleranceMet ToleranceMet -41.35993568764578 0.0062892684043028965 ToleranceMet ToleranceMet -2.4046891773379935 0.0039472895289234368 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 1 full-warm 0.12 0 0.02 0.5 1 0.52860399999999996 0.473634 0 inf 0 EventLocationLimited EventLocationLimited GRADIENT_UNRELIABLE 0 0 0 0 16 14 OK 2 2 0 0 Invalid EventLocationLimited 0 0 Invalid EventLocationLimited 0 0 Invalid EventLocationLimited 0 0 Invalid EventLocationLimited 0 0 Invalid EventLocationLimited
0 ValueFirst 0.001 0 1 radial-only 0.12 0 0.02 0.5 1 0.33685900000000002 0 31.943878200535419 0.03029737778857387 1 Converged Converged OK 123 123 5 0 16 14 OK 2 2 127.76800770276863 0.013069100469871918 ToleranceMet ToleranceMet 4.416716940860868e-10 8.8674697563815455e-09 ToleranceMet ToleranceMet -1196.5290425000394 0.082304768009168847 ToleranceMet ToleranceMet -41.35993568764578 0.0062892684043028965 ToleranceMet ToleranceMet -2.4046891773379935 0.0039472895289234368 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 2 full-cold 0.12 9.9999999999999995e-07 0.02 0.5 1 1.4395420000000001 0.55358099999999999 31.944397215721676 0.022403688186287091 1 Converged Converged OK 336 336 7 0 15 14 OK 2 0 123.10735316353596 84.882125193208594 FiniteUncertified BudgetExceeded -0.06178732561146863 0.027507911845635145 FiniteUncertified BudgetExceeded -1206.7405903895506 86.508658178042552 FiniteUncertified BudgetExceeded -42.732438041765114 24.940774642415242 FiniteUncertified BudgetExceeded -2.8704987812871035 9.2080354365302899 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 2 full-warm 0.12 9.9999999999999995e-07 0.02 0.5 1 1.3914200000000001 0.47540199999999999 31.944397215721676 0.022403688186287091 1 Converged Converged OK 336 336 7 0 15 14 OK 2 0 123.10735316353596 84.882125193208594 FiniteUncertified BudgetExceeded -0.06178732561146863 0.027507911845635145 FiniteUncertified BudgetExceeded -1206.7405903895506 86.508658178042552 FiniteUncertified BudgetExceeded -42.732438041765114 24.940774642415242 FiniteUncertified BudgetExceeded -2.8704987812871035 9.2080354365302899 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 2 radial-only 0.12 9.9999999999999995e-07 0.02 0.5 1 0.93144400000000005 0 31.944397215721676 0.022403688186287091 1 Converged Converged OK 336 336 7 0 15 14 OK 2 0 123.10735316353596 84.882125193208594 FiniteUncertified BudgetExceeded -0.06178732561146863 0.027507911845635145 FiniteUncertified BudgetExceeded -1206.7405903895506 86.508658178042552 FiniteUncertified BudgetExceeded -42.732438041765114 24.940774642415242 FiniteUncertified BudgetExceeded -2.8704987812871035 9.2080354365302899 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 3 full-cold 0.12 0 0.02 0.5 1 0.91582600000000003 0.58087 31.943878200535419 0.03029737778857387 1 Converged Converged OK 123 123 5 0 16 14 OK 2 2 127.76800770276863 0.013069100469871918 ToleranceMet ToleranceMet 4.416716940860868e-10 8.8674697563815455e-09 ToleranceMet ToleranceMet -1196.5290425000394 0.082304768009168847 ToleranceMet ToleranceMet -41.35993568764578 0.0062892684043028965 ToleranceMet ToleranceMet -2.4046891773379935 0.0039472895289234368 FiniteUncertified BudgetExceeded
