case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid
0 linear 0 0 54.555795000000003 7.0379226907888537 1 67 53.343238999999997 0.033473999999999997 0.22800799999999988 0.0076720000000000017 0.0019789999999999999 0.0094120000000000002 0.019075999999999999 0.18799099999999999 0.34452500000000003 52.47513 0.10387200000000001 2.8e-05 0.060163000000000001 0.0062649999999999997 0.0074850000000000012 0.15413500000000002 0.032673000000000008 0.0089390000000000008 0 0 0 0 0 0 0 0 0 0 53.152206999999997 53.317540999999999 0.011276 0.0066160000000000004 0.012799999999999999 0.00068300000000000001 0.039988000000000003 0 0 0 0 0
0 linear 0 7 53.302394999999997 7.165175685042759 1 83 52.878048999999997 0.010962 0.36041400000000007 0.0074980000000000003 0.0015690000000000001 0.0035920000000000001 0.014038 0.019480999999999998 0.37293799999999999 52.295787000000004 0.089871999999999994 2.6999999999999999e-05 0.016298 0.0027980000000000001 0.0049260000000000007 0.26068100000000005 0.047611999999999967 0.011102000000000006 0 1 15 15 0 0 0 0 0 0 52.803646000000001 52.864246999999999 0.003656 0.0061060000000000003 0.012473 0.00027999999999999998 0.039968999999999998 2 1 16 0.00115407797797932 2
0 linear 0 15 53.404544999999999 7.2540425509600803 1 91 53.049146 0.011299 0.31328099999999998 0.0072849999999999998 0.001505 0.0031519999999999999 0.010411 0.0098890000000000002 0.26031900000000002 52.546126000000001 0.089381000000000002 2.5999999999999998e-05 0.079590000000000008 0.0018400000000000001 0.0038419999999999999 0.22476499999999996 0.046854000000000021 0.011148000000000007 0 2 13 13 0 0 0 0 0 0 52.926299999999998 53.041055 0.0016459999999999999 0.0053480000000000003 0.012302 3.8000000000000002e-05 0.038373999999999998 1 1 8 0.0027134713756958736 1
0 linear 0 23 53.567610999999999 7.2793514851610421 1 91 53.116092999999999 0.011173000000000001 0.405808 0.0097420000000000007 0.001439 0.0044600000000000004 0.010328 0.010201999999999999 0.382407 52.520310000000002 0.090009999999999993 2.0999999999999999e-05 0.048556999999999996 0.001717 0.0037799999999999999 0.28859700000000005 0.050612000000000004 0.013923000000000012 0 3 13 13 0 0 0 0 0 0 53.023237999999999 53.109374000000003 0.00166 0.0053160000000000004 0.012476000000000001 5.3000000000000001e-05 0.038643999999999998 1 1 8 0.0030160757831446021 1
0 linear 1 0 1.041455 589.76731831372365 1 105 0.65822099999999995 0.012718999999999999 0.31273800000000002 0.0072799999999999991 0.0016119999999999997 0.0032450000000000001 0.0099659999999999992 0.175895 0.130408 0 0.0073920000000000001 0.0014630000000000001 0.251336 0.0017849999999999999 0.0039979999999999998 0.16485599999999989 0.077934000000000045 0.017390000000000017 0 0 0 0 0.0047809999999999997 1 0 0 14 0 0.355657 0.64988000000000001 0.0011850000000000001 0.0037079999999999999 0.015737999999999999 0.003437 0.032759000000000003 0 0 0 0 0
0 linear 1 7 0.71753199999999995 593.09247526628167 1 105 0.34576299999999999 0.012832 0.32971099999999987 0.0066049999999999998 0.0015009999999999999 0.0028969999999999998 0.0096209999999999993 0.0083800000000000003 0.14683499999999999 0 0.003571 0.001134 0.10382 0.0011410000000000001 0.0036750000000000003 0.17422800000000011 0.076415000000000011 0.017481999999999998 0 1 19 19 0.0029919999999999999 1 0 0 14 0 0.198126 0.33921299999999999 0.0014270000000000001 0.0035479999999999999 0.014470999999999999 0.001356 0.030793000000000001 1 1 8 0.0016863986939356674 1
0 linear 1 15 0.94186499999999995 596.53003682974679 1 128 0.43649300000000002 0.012683 0.44301799999999986 0.0082109999999999995 0.0016719999999999999 0.0029750000000000002 0.0089119999999999998 0.008397 0.116241 0 0.0035249999999999999 0.001049 0.22487499999999999 0.0011509999999999999 0.0039360000000000003 0.22805000000000011 0.10205600000000005 0.022959000000000025 0 2 19 19 0.0029290000000000002 1 0 0 14 0 0.167713 0.42930200000000002 0.0013129999999999999 0.003431 0.014985000000000002 0.001242 0.031399999999999997 1 1 8 0.18679473719266346 1
0 linear 1 23 0.80337400000000003 599.54254534181996 1 128 0.31422099999999997 0.013321 0.43884399999999973 0.0076400000000000001 0.0015630000000000002 0.0038560000000000001 0.010088 0.0085599999999999999 0.139233 0 0.0037789999999999998 0.001178 0.071995999999999991 0.0018580000000000001 0.0042699999999999995 0.22704200000000005 0.099381000000000067 0.022912000000000012 0 3 19 19 0.0029190000000000002 1 0 0 14 0 0.19264999999999999 0.306037 0.0018929999999999999 0.003483 0.014775999999999997 0.001686 0.031855000000000001 1 1 8 0.0068439882711387309 1
0 linear 2 0 37.559224999999998 2.3667291596036724 1 61 37.340670000000003 0.011743999999999999 0.17946999999999999 0.0059299999999999995 0.00093900000000000016 0.0030790000000000001 0.0098230000000000001 0.17121 0.33737400000000001 36.637036999999999 0.086998999999999993 3.4999999999999997e-05 0.043552 0.0025850000000000001 0.0039610000000000001 0.11807299999999998 0.028958999999999995 0.0072509999999999996 0 0 0 0 0 0 0 0 0 0 37.250390000000003 37.330055999999999 0.00106 0.0057479999999999996 0.012879999999999999 6.9999999999999994e-05 0.035900000000000001 0 0 0 0 0
0 linear 2 7 51.430529999999997 2.4102109454225378 1 61 51.134498000000001 0.011787000000000001 0.25611700000000004 0.0054640000000000001 0.0010020000000000001 0.0031809999999999998 0.010151 0.0087670000000000005 0.32227600000000001 50.644657000000002 0.085610000000000006 2.0999999999999999e-05 0.010426 0.001598 0.005189 0.18104200000000004 0.033311000000000007 0.0088370000000000011 0 1 16 13 0 0 0 0 0 0 51.079813000000001 51.126109 0.0024369999999999999 0.0057489999999999998 0.013005999999999998 5.1e-05 0.034969 1 1 8 0.11055858717162853 1
0 linear 2 15 51.407595999999998 2.4659804224859272 1 61 51.137394999999998 0.011635 0.23134600000000005 0.0065350000000000009 0.00098200000000000023 0.0031849999999999999 0.010151 0.0087299999999999999 0.25550499999999998 50.717551 0.086143999999999998 2.0999999999999999e-05 0.010123999999999999 0.0015889999999999999 0.0040270000000000002 0.15794800000000001 0.036479000000000011 0.0080710000000000018 0 2 19 18 0 0 0 0 0 0 51.084654999999998 51.130330999999998 0.0014630000000000001 0.0057559999999999998 0.012755000000000001 4.8000000000000001e-05 0.034924999999999998 1 1 8 0.0016090859999255856 1
0 linear 2 23 53.474601999999997 2.5300557252343201 1 61 53.166395000000001 0.011356 0.26486099999999996 0.0063359999999999996 0.00099200000000000004 0.004522 0.010657 0.010191 0.277918 52.715982000000004 0.090147000000000005 2.0000000000000002e-05 0.0096050000000000007 0.001691 0.0039170000000000003 0.18835900000000005 0.034877000000000019 0.0081900000000000011 0 3 17 16 0 0 0 0 0 0 53.113061999999999 53.159337999999998 0.001529 0.005463 0.012310000000000001 4.6999999999999997e-05 0.037322000000000001 1 1 8 0.0026246619501964687 1
