case config profile bin epoch s q rho x y time u X ref tol cold_ms shadow_cold_ms warm_ms shadow_warm_ms radial_ms shadow_radial_ms cold_mu shadow_cold_mu warm_mu shadow_warm_mu radial_mu shadow_radial_mu cold_ok shadow_cold_ok warm_ok shadow_warm_ok radial_ok shadow_radial_ok cold_status shadow_cold_status warm_status shadow_warm_status radial_status shadow_radial_status cold_nodes shadow_cold_nodes warm_nodes shadow_warm_nodes radial_nodes shadow_radial_nodes cold_jet_attempts cold_jet_successes cold_shadow_panels cold_local_budget_passes cold_jet_ms cold_model_ms warm_jet_attempts warm_jet_successes warm_shadow_panels warm_local_budget_passes warm_jet_ms warm_model_ms radial_jet_attempts radial_jet_successes radial_shadow_panels radial_local_budget_passes radial_jet_ms radial_model_ms
0 0 uniform 0 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0 -1.0576909932376057 6.8139830013407305 0.001 50.590974000000003 49.497399000000001 49.524141999999998 49.564584000000004 0.22683600000000001 0.19875999999999999 6.8139867820873175 6.8139867820873175 6.8139867820873175 6.8139867820873175 6.8139867820873175 6.8139867820873175 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 67 67 67 67 67 67 35 33 5 0 0.023074000000000004 0.00087900000000000001 35 33 5 0 0.010326999999999998 0.00038400000000000006 35 33 5 0 0.007548 0.00027399999999999999
0 0 uniform 0 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0 -1.0577120131363507 6.9223164812350113 0.001 49.471598 49.477440999999999 49.370282000000003 49.379280000000001 0.21177000000000001 0.299516 6.9223389959710024 6.9223389959710024 6.9223389959710024 6.9223389959710024 6.9223389959710024 6.9223389959710024 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 83 83 83 83 83 83 35 33 5 0 0.0092840000000000006 0.00025700000000000001 35 33 5 0 0.012222000000000002 0.00028699999999999998 35 33 5 0 0.011130000000000001 0.00028700000000000004
0 0 uniform 0 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0 -1.0577360358777737 7.0045095553354182 0.001 49.793965999999998 49.639716999999997 49.485025999999998 49.466304000000001 0.31876900000000002 0.301844 7.004505411003394 7.004505411003394 7.004505411003394 7.004505411003394 7.004505411003394 7.004505411003394 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 91 91 91 91 91 91 35 33 5 0 0.0072579999999999997 0.00042299999999999998 35 33 5 0 0.0096719999999999983 0.000299 35 33 5 0 0.010441000000000001 0.00047099999999999996
0 0 uniform 0 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0 -1.0577600586191964 7.0403851828477153 0.001 49.763516000000003 49.804017999999999 49.697293000000002 49.720331000000002 0.26347900000000002 0.33284000000000002 7.0403829421860307 7.0403829421860307 7.0403829421860307 7.0403829421860307 7.0403829421860307 7.0403829421860307 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 91 91 91 91 91 91 35 33 5 0 0.010945999999999996 0.00080900000000000004 35 33 5 0 0.010807999999999998 0.00030200000000000002 35 33 5 0 0.014102999999999999 0.00026099999999999995
0 0 uniform 0 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0 -1.0576909932376057 6.8139830013407305 0.0001 49.770291 49.740965000000003 49.637318 49.633592999999998 0.32089600000000001 0.32214300000000001 6.8139823806006667 6.8139823806006667 6.8139823806006667 6.8139823806006667 6.8139823806006667 6.8139823806006667 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 107 107 107 107 107 107 35 33 5 0 0.010652999999999999 0.00029799999999999998 35 33 5 0 0.014542000000000005 0.00027099999999999997 35 33 5 0 0.0074200000000000004 0.000263
0 0 uniform 0 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0 -1.0577120131363507 6.9223164812350113 0.0001 49.642519 49.539425000000001 49.456310000000002 49.426367999999997 0.27943200000000001 0.32892900000000003 6.9223156673031889 6.9223156673031889 6.9223156673031889 6.9223156673031889 6.9223156673031889 6.9223156673031889 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 107 107 107 107 107 107 35 33 5 0 0.010990999999999999 0.00035599999999999998 35 33 5 0 0.012888999999999998 0.00029700000000000001 35 33 5 0 0.0098300000000000002 0.000261
0 0 uniform 0 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0 -1.0577360358777737 7.0045095553354182 0.0001 49.671939999999999 49.758811000000001 49.461730000000003 49.509177999999999 0.29291200000000001 0.28849200000000003 7.0045086824761214 7.0045086824761214 7.0045086824761214 7.0045086824761214 7.0045086824761214 7.0045086824761214 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 107 107 107 107 107 107 35 33 5 0 0.011780000000000001 0.00029399999999999999 35 33 5 0 0.011762 0.00027 35 33 5 0 0.0075259999999999997 0.00027
0 0 uniform 0 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0 -1.0577600586191964 7.0403851828477153 0.0001 49.936818000000002 49.773130000000002 49.664203000000001 49.677523999999998 0.35210900000000001 0.37562000000000001 7.0403853999323944 7.0403853999323944 7.0403853999323944 7.0403853999323944 7.0403853999323944 7.0403853999323944 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 107 107 107 107 107 107 35 33 5 0 0.010487999999999999 0.00031100000000000002 35 33 5 0 0.010133 0.00028200000000000002 35 33 5 0 0.010039000000000003 0.00028400000000000002
0 0 uniform 1 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0 0.10924686468716169 627.73840599620598 0.001 0.82645100000000005 0.866259 0.77855600000000003 0.79250299999999996 0.186552 0.24313899999999999 627.72831737402873 627.72831737402873 627.72831737402873 627.72831737402873 627.72831737402873 627.72831737402873 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 105 105 105 105 105 105 49 45 7 1 0.016343999999999997 0.00041999999999999991 49 45 7 1 0.013664999999999998 0.00029299999999999997 49 45 7 1 0.013304999999999997 0.00033199999999999999
0 0 uniform 1 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025960253015999791 0 0.10922584478841664 631.60308179632364 0.001 0.66021200000000002 0.68202600000000002 0.49039300000000002 0.52490300000000001 0.173179 0.19372200000000001 631.61507920936958 631.61507920936958 631.61507920936958 631.61507920936958 631.61507920936958 631.61507920936958 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 105 105 105 105 105 105 49 45 7 1 0.013502000000000002 0.00032300000000000004 49 45 7 1 0.013211000000000001 0.00030699999999999998 49 45 7 1 0.013142000000000001 0.00029700000000000001
