case config profile bin epoch s q rho x y time u X ref tol cold_ms shadow_cold_ms warm_ms shadow_warm_ms cold_mu shadow_cold_mu warm_mu shadow_warm_mu cold_ok shadow_cold_ok warm_ok shadow_warm_ok cold_status shadow_cold_status warm_status shadow_warm_status cold_nodes shadow_cold_nodes warm_nodes shadow_warm_nodes cold_jet_attempts cold_jet_successes cold_shadow_panels cold_local_budget_passes cold_jet_ms cold_model_ms warm_jet_attempts warm_jet_successes warm_shadow_panels warm_local_budget_passes warm_jet_ms warm_model_ms
0 0 linear 0 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0.5 -1.0576909932376057 7.037894869661673 0.001 65.322411000000002 72.775385 54.262368000000002 49.467776000000001 7.0379226907839456 7.0379226907839456 7.0379226907839456 7.0379226907839456 1 1 1 1 Converged Converged Converged Converged 67 67 67 67 0 0 5 0 0 0.00031600000000000004 0 0 5 0 0 0.00011399999999999999
0 0 linear 0 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0.5 -1.0577120131363507 7.1651902970737442 0.001 49.445664999999998 49.427639999999997 49.366081999999999 49.449708999999999 7.1651756850454555 7.1651756850454555 7.1651756850454555 7.1651756850454555 1 1 1 1 Converged Converged Converged Converged 83 83 83 83 0 0 5 0 0 0.00015600000000000002 0 0 5 0 0 0.000368
0 0 linear 0 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0.5 -1.0577360358777737 7.2540663721087535 0.001 49.808439 49.805140999999999 49.580621000000001 49.488007000000003 7.2540425509577897 7.2540425509577897 7.2540425509577897 7.2540425509577897 1 1 1 1 Converged Converged Converged Converged 91 91 91 91 0 0 5 0 0 0.00034299999999999999 0 0 5 0 0 0.00011900000000000001
0 0 linear 0 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0.5 -1.0577600586191964 7.2792531935334868 0.001 72.835628999999997 58.453440999999998 49.673490000000001 60.234676 7.279351485164204 7.279351485164204 7.279351485164204 7.279351485164204 1 1 1 1 Converged Converged Converged Converged 91 91 91 91 0 0 5 0 0 0.000126 0 0 5 0 0 0.000117
0 0 linear 0 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0.5 -1.0576909932376057 7.037894869661673 0.0001 49.551079999999999 54.118800999999998 49.64676 49.705601000000001 7.0379165499370711 7.0379165499370711 7.0379165499370711 7.0379165499370711 1 1 1 1 Converged Converged Converged Converged 107 107 107 107 0 0 5 0 0 0.000118 0 0 5 0 0 0.00026699999999999998
0 0 linear 0 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0.5 -1.0577120131363507 7.1651902970737442 0.0001 49.535460999999998 49.703381999999998 49.414952 49.464680999999999 7.1651536136410368 7.1651536136410368 7.1651536136410368 7.1651536136410368 1 1 1 1 Converged Converged Converged Converged 123 123 123 123 0 0 5 0 0 0.00014300000000000003 0 0 5 0 0 0.00062
0 0 linear 0 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0.5 -1.0577360358777737 7.2540663721087535 0.0001 49.800454999999999 49.735050000000001 49.582355999999997 49.883392999999998 7.2540771215397903 7.2540771215397903 7.2540771215397903 7.2540771215397903 1 1 1 1 Converged Converged Converged Converged 123 123 123 123 0 0 5 0 0 9.1999999999999987e-05 0 0 5 0 0 0.00026199999999999997
0 0 linear 0 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0.5 -1.0577600586191964 7.2792531935334868 0.0001 49.743445000000001 49.791555000000002 49.736738000000003 49.674079999999996 7.279353856630812 7.279353856630812 7.279353856630812 7.279353856630812 1 1 1 1 Converged Converged Converged Converged 123 123 123 123 0 0 5 0 0 0.00040999999999999999 0 0 5 0 0 0.00015200000000000001
0 0 linear 1 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0.5 0.10924686468716169 589.76910771294774 0.001 0.88517199999999996 0.84415799999999996 0.81918500000000005 0.81579599999999997 589.76731831372035 589.76731831372035 589.76731831372035 589.76731831372035 1 1 1 1 Converged Converged Converged Converged 105 105 105 105 0 0 7 0 0 0.00013899999999999996 0 0 7 0 0 0.000113
0 0 linear 1 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025960253015999791 0.5 0.10922584478841664 593.08183624951698 0.001 0.69919200000000004 0.70308000000000004 0.55210199999999998 0.55921900000000002 593.09247526627701 593.09247526627701 593.09247526627701 593.09247526627701 1 1 1 1 Converged Converged Converged Converged 105 105 105 105 0 0 7 0 0 0.00011399999999999999 0 0 7 0 0 0.00010900000000000001
0 0 linear 1 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.02593623027457688 0.5 0.10920182204699373 596.52004720667082 0.001 0.93568799999999996 0.90376999999999996 0.72249099999999999 0.71320899999999998 596.53003682973917 596.53003682973917 596.53003682973917 596.53003682973917 1 1 1 1 Converged Converged Converged Converged 128 128 128 128 0 0 8 0 0 0.00013199999999999998 0 0 8 0 0 0.00013800000000000002
0 0 linear 1 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025912207533153965 0.5 0.10917779930557081 599.53614633227335 0.001 0.71856500000000001 0.72284899999999996 0.58635700000000002 0.58475100000000002 599.54254534181416 599.54254534181416 599.54254534181416 599.54254534181416 1 1 1 1 Converged Converged Converged Converged 128 128 128 128 0 0 8 0 0 0.00012200000000000001 0 0 8 0 0 0.00012400000000000001
0 0 linear 1 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0.5 0.10924686468716169 589.76910771294774 0.0001 0.93412099999999998 0.93527499999999997 0.92320000000000002 0.91983300000000001 589.7728261218914 589.7728261218914 589.7728261218914 589.7728261218914 1 1 1 1 Converged Converged Converged Converged 153 153 153 153 0 0 7 0 0 0.00012299999999999998 0 0 7 0 0 0.00011399999999999999
0 0 linear 1 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025960253015999791 0.5 0.10922584478841664 593.08183624951698 0.0001 0.76070199999999999 0.77005100000000004 0.61457200000000001 0.62050300000000003 593.08564034785365 593.08564034785365 593.08564034785365 593.08564034785365 1 1 1 1 Converged Converged Converged Converged 137 137 137 137 0 0 7 0 0 0.000103 0 0 7 0 0 0.000146
