case config profile bin epoch s q rho x y time u X ref tol cold_ms shadow_cold_ms warm_ms shadow_warm_ms cold_mu shadow_cold_mu warm_mu shadow_warm_mu cold_ok shadow_cold_ok warm_ok shadow_warm_ok cold_status shadow_cold_status warm_status shadow_warm_status cold_nodes shadow_cold_nodes warm_nodes shadow_warm_nodes cold_jet_ok warm_jet_ok shadow_panels eligible jet_ms shadow_ms
0 0 linear 0 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0.5 -1.0576909932376057 7.037894869661673 0.001 50.654210999999997 49.49494 49.591797 49.581771000000003 7.0379226907839456 7.0379226907839456 7.0379226907839456 7.0379226907839456 1 1 1 1 Converged Converged Converged Converged 67 67 67 67 0 0 5 0 0 0.00031
0 0 linear 0 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0.5 -1.0577120131363507 7.1651902970737442 0.001 49.544620000000002 49.453800000000001 49.449097000000002 49.317481000000001 7.1651756850454555 7.1651756850454555 7.1651756850454555 7.1651756850454555 1 1 1 1 Converged Converged Converged Converged 83 83 83 83 0 0 5 0 0 0.00048099999999999998
0 0 linear 0 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0.5 -1.0577360358777737 7.2540663721087535 0.001 49.613475000000001 49.732325000000003 49.414859 49.395031000000003 7.2540425509577897 7.2540425509577897 7.2540425509577897 7.2540425509577897 1 1 1 1 Converged Converged Converged Converged 91 91 91 91 0 0 5 0 0 0.00030400000000000002
0 0 linear 0 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0.5 -1.0577600586191964 7.2792531935334868 0.001 49.713906999999999 49.690308000000002 49.850968000000002 49.714114000000002 7.279351485164204 7.279351485164204 7.279351485164204 7.279351485164204 1 1 1 1 Converged Converged Converged Converged 91 91 91 91 0 0 5 0 0 0.000105
0 0 linear 0 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0.5 -1.0576909932376057 7.037894869661673 0.0001 49.714734 49.63062 49.641379000000001 49.679703000000003 7.0379165499370711 7.0379165499370711 7.0379165499370711 7.0379165499370711 1 1 1 1 Converged Converged Converged Converged 107 107 107 107 0 0 5 0 0 0.000205
0 0 linear 0 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0.5 -1.0577120131363507 7.1651902970737442 0.0001 49.568032000000002 49.639974000000002 49.578944999999997 49.546033999999999 7.1651536136410368 7.1651536136410368 7.1651536136410368 7.1651536136410368 1 1 1 1 Converged Converged Converged Converged 123 123 123 123 0 0 5 0 0 7.7000000000000001e-05
0 0 linear 0 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0.5 -1.0577360358777737 7.2540663721087535 0.0001 49.729244000000001 49.696691000000001 49.705075999999998 49.532262000000003 7.2540771215397903 7.2540771215397903 7.2540771215397903 7.2540771215397903 1 1 1 1 Converged Converged Converged Converged 123 123 123 123 0 0 5 0 0 0.000105
0 0 linear 0 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0.5 -1.0577600586191964 7.2792531935334868 0.0001 49.790765999999998 49.682896999999997 49.846220000000002 49.803117 7.279353856630812 7.279353856630812 7.279353856630812 7.279353856630812 1 1 1 1 Converged Converged Converged Converged 123 123 123 123 0 0 5 0 0 0.000126
0 0 linear 1 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0.5 0.10924686468716169 589.76910771294774 0.001 0.86524100000000004 0.83858900000000003 0.82175399999999998 0.81582500000000002 589.76731831372035 589.76731831372035 589.76731831372035 589.76731831372035 1 1 1 1 Converged Converged Converged Converged 105 105 105 105 0 0 7 0 0 0.000106
0 0 linear 1 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025960253015999791 0.5 0.10922584478841664 593.08183624951698 0.001 0.69621 0.70721199999999995 0.56078899999999998 0.55385799999999996 593.09247526627701 593.09247526627701 593.09247526627701 593.09247526627701 1 1 1 1 Converged Converged Converged Converged 105 105 105 105 0 0 7 0 0 0.000105
0 0 linear 1 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.02593623027457688 0.5 0.10920182204699373 596.52004720667082 0.001 0.94183499999999998 0.88864100000000001 0.72294999999999998 0.71684099999999995 596.53003682973917 596.53003682973917 596.53003682973917 596.53003682973917 1 1 1 1 Converged Converged Converged Converged 128 128 128 128 0 0 8 0 0 0.00015100000000000001
0 0 linear 1 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025912207533153965 0.5 0.10917779930557081 599.53614633227335 0.001 0.72012699999999996 0.71954300000000004 0.57786199999999999 0.584951 599.54254534181416 599.54254534181416 599.54254534181416 599.54254534181416 1 1 1 1 Converged Converged Converged Converged 128 128 128 128 0 0 8 0 0 0.000112
0 0 linear 1 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0.5 0.10924686468716169 589.76910771294774 0.0001 0.93623999999999996 0.93479400000000001 0.91950900000000002 0.91904600000000003 589.7728261218914 589.7728261218914 589.7728261218914 589.7728261218914 1 1 1 1 Converged Converged Converged Converged 153 153 153 153 0 0 7 0 0 0.00012
0 0 linear 1 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025960253015999791 0.5 0.10922584478841664 593.08183624951698 0.0001 0.76376900000000003 0.77030799999999999 0.64257699999999995 0.61809099999999995 593.08564034785365 593.08564034785365 593.08564034785365 593.08564034785365 1 1 1 1 Converged Converged Converged Converged 137 137 137 137 0 0 7 0 0 0.00012799999999999999
0 0 linear 1 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.02593623027457688 0.5 0.10920182204699373 596.52004720667082 0.0001 1.0932809999999999 1.035282 0.86890299999999998 0.86488100000000001 596.52485324237318 596.52485324237318 596.52485324237318 596.52485324237318 1 1 1 1 Converged Converged Converged Converged 192 192 192 192 0 0 8 0 0 0.00012300000000000001
0 0 linear 1 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025912207533153965 0.5 0.10917779930557081 599.53614633227335 0.0001 0.86664799999999997 0.869838 0.72485299999999997 0.730657 599.53810312491976 599.53810312491976 599.53810312491976 599.53810312491976 1 1 1 1 Converged Converged Converged Converged 192 192 192 192 0 0 8 0 0 0.00013799999999999999
0 0 linear 2 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.1409988887697833 0.5 -1.0577332969973665 2.3667306603356812 0.001 34.887740000000001 34.918401000000003 34.993034000000002 34.973771999999997 2.3667291596015403 2.3667291596015403 2.3667291596015403 2.3667291596015403 1 1 1 1 Converged Converged Converged Converged 61 61 61 61 0 0 3 0 0 0.00016100000000000001
0 0 linear 2 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.1410199086685282 0.5 -1.0577543168961114 2.4102124914501046 0.001 47.735505000000003 47.765309000000002 47.780889999999999 47.712806 2.410210945421869 2.410210945421869 2.410210945421869 2.410210945421869 1 1 1 1 Converged Converged Converged Converged 61 61 61 61 0 0 3 0 0 0.00040200000000000001
0 0 linear 2 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.1410439314099512 0.5 -1.0577783396375344 2.4659820375089936 0.001 47.872107 48.019862000000003 47.686514000000003 47.710917000000002 2.465980422483935 2.465980422483935 2.465980422483935 2.465980422483935 1 1 1 1 Converged Converged Converged Converged 61 61 61 61 0 0 3 0 0 5.6999999999999996e-05
0 0 linear 2 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.141067954151374 0.5 -1.0578023623789572 2.5300573667300794 0.001 49.634149000000001 49.658011000000002 49.424872999999998 49.521895999999998 2.530055725233523 2.530055725233523 2.530055725233523 2.530055725233523 1 1 1 1 Converged Converged Converged Converged 61 61 61 61 0 0 3 0 0 6.0000000000000002e-05
0 0 linear 2 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.1409988887697833 0.5 -1.0577332969973665 2.3667306603356812 0.0001 35.015920000000001 35.027279 34.955939999999998 35.320306000000002 2.3667291606563916 2.3667291606563916 2.3667291606563916 2.3667291606563916 1 1 1 1 Converged Converged Converged Converged 93 93 93 93 0 0 3 0 0 5.0000000000000002e-05
0 0 linear 2 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.1410199086685282 0.5 -1.0577543168961114 2.4102124914501046 0.0001 47.776763000000003 47.790674000000003 47.803424 47.686819 2.4102109463494248 2.4102109463494248 2.4102109463494248 2.4102109463494248 1 1 1 1 Converged Converged Converged Converged 77 77 77 77 0 0 3 0 0 7.7000000000000001e-05
0 0 linear 2 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.1410439314099512 0.5 -1.0577783396375344 2.4659820375089936 0.0001 47.892198 47.926385000000003 47.810409999999997 47.749485999999997 2.4659804234052833 2.4659804234052833 2.4659804234052833 2.4659804234052833 1 1 1 1 Converged Converged Converged Converged 77 77 77 77 0 0 3 0 0 5.6999999999999996e-05
