name tol panel cell depth value_resolved q7 qh3 qh7 correction model inner geometry event roundoff model_budget_pass_ignoring_value_detail panel_local_budget_pass ref64 ref128 ref_unc qh_error q7_error model_under jet_count jet_endpoint_ift_max_scaled derivative_detail3 derivative_detail7 derivative_detail_decays
plan15 0.001 0 1 0 1 0.19383587619221132 0.1981647127625763 0.1938507697008913 1.4893508679975076e-05 0.0086278861233700099 0 3.8422877850028698e-15 1.8100485213001432e-16 8.6080421098793689e-17 0 0 0.19385075296829249 0.19385075296829268 1.9428902930940239e-16 1.6732598612234639e-08 1.4876776081362841e-05 0 7 3.1401362674756225e-14 0.39824586923531258 0.2650219922559684 0
plan15 0.001 1 3 0 1 0.79164581620202501 0.79249197096954471 0.79162332466208973 2.2491539935276528e-05 0.0017498273304457058 0 6.4211929018414759e-15 2.0056964623429078e-16 3.5156136499826518e-16 0 0 0.7916240958844728 0.79162409588447291 1.1102230246251565e-16 7.7122238317794967e-07 2.1720317552098578e-05 0 7 1.2861947789877623e-12 0.79521441448258512 0.02096410023958906 1
plan15 0.001 2 4 0 1 1.4775499033574986 1.4774778433981841 1.4775504557384964 5.5238099783139205e-07 0.00028912376686558955 0 4.4497172320210164e-15 0 6.5616396909606793e-16 1 1 1.4775504609982142 1.4775504609982155 1.3322676295501878e-15 5.2597191046999114e-09 5.5764071693609196e-07 0 7 1.4472073730645138e-11 0.15793407376133353 0.0088107250232105777 1
plan15 0.001 3 5 0 1 0.31825534477657424 0.31825547935946746 0.31825534490587704 1.2930279069678363e-10 3.6688882559426227e-06 0 1.3329260646973137e-15 0 1.4133376459238811e-16 1 1 0.31825534490589613 0.31825534490589646 3.3306690738754696e-16 1.9428902930940239e-14 1.2932221959971457e-10 0 7 2.356662044561082e-12 0.0033635552389175757 6.4099590850592178e-05 1
plan15 0.001 4 6 0 1 1.1096704796360537 1.1078756716878211 1.1092715955965764 0.00039888403947729856 0.011306124507960525 0 6.6299662735368829e-15 1.9104499816763694e-15 4.9279268649551509e-16 0 0 1.1092964978207298 1.1092964978207311 1.3322676295501878e-15 2.4902224154743635e-05 0.00037398181532255492 0 7 2.752264668977001e-14 1.3605750037084243 0.20244823387923644 1
plan15 0.001 5 7 0 1 0.26242108384001078 0.26377071504519922 0.26242646760351207 5.3837635012876639e-06 0.0029567455635853106 0 5.5480559370725463e-15 4.5751685945162729e-15 1.1653837177050742e-16 0 0 0.26242647089005267 0.2624264708900525 1.6653345369377348e-16 3.28654042869303e-09 5.3870500417163569e-06 0 7 2.7450098857456599e-13 0.47501313684834451 0.12692115323926606 1
plan15 0.001 6 8 0 1 1.730523460723012 1.7579588288990253 1.7303967923601895 0.00012666836282249072 0.055124073077671643 0 9.2077725887899186e-15 2.9961900964517394e-15 7.6850679629947827e-16 0 0 1.7303934080777807 1.7303934080777807 0 3.3842824087582102e-06 0.00013005264523124893 0 7 4.4679838694998533e-14 3.590740214469935 1.5474417587542937 1
plan15 0.001 7 12 0 1 0.13653242251038253 0.14007334843539121 0.13655632578547883 2.3903275096298637e-05 0.0070340452998247649 0 7.644098082995174e-15 2.7733931008535713e-16 6.063257563155068e-17 0 0 0.13655632810457224 0.13655632810457247 2.2204460492503131e-16 2.319093639346903e-09 2.3905594189937984e-05 0 7 2.724294668885707e-15 0.26820796560957116 0.18749114674763473 0
plan15 0.001 8 8 1 1 1.0131437059923138 1.0138500707079297 1.0131540489265232 1.0342934209317534e-05 0.0053236281286762289 0 4.1833440834552643e-15 2.4059904743412635e-15 4.4992618785869081e-16 0 0 1.0131540514854147 1.0131540514854149 2.2204460492503131e-16 2.558891765147564e-09 1.0345493101082681e-05 0 7 4.0828259002250171e-15 0.52973666992699409 0.041881709523406335 1
plan15 0.001 9 8 1 1 0.71723920759461413 0.717213790944496 0.71723935659892524 1.4900431111186663e-07 0.0058760336546577916 0 5.2349215264929129e-15 2.8707354019666633e-16 3.1851819297417722e-16 0 0 0.71723935659236615 0.71723935659236637 2.2204460492503131e-16 6.5588645625780373e-12 1.4899775224730405e-07 0 7 1.8737970574839209e-13 0.42201679533017322 0.019985386928350231 1
