case config profile bin epoch s q rho x y time u X ref tol cold_ms shadow_cold_ms warm_ms shadow_warm_ms radial_ms shadow_radial_ms cold_mu shadow_cold_mu warm_mu shadow_warm_mu radial_mu shadow_radial_mu cold_ok shadow_cold_ok warm_ok shadow_warm_ok radial_ok shadow_radial_ok cold_status shadow_cold_status warm_status shadow_warm_status radial_status shadow_radial_status cold_nodes shadow_cold_nodes warm_nodes shadow_warm_nodes radial_nodes shadow_radial_nodes cold_jet_attempts cold_jet_successes cold_shadow_panels cold_local_budget_passes cold_jet_ms cold_model_ms warm_jet_attempts warm_jet_successes warm_shadow_panels warm_local_budget_passes warm_jet_ms warm_model_ms radial_jet_attempts radial_jet_successes radial_shadow_panels radial_local_budget_passes radial_jet_ms radial_model_ms
0 0 uniform 0 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0 -1.0576909932376057 6.8139830013407305 0.001 54.795178 49.568286000000001 49.581180000000003 49.533285999999997 0.252556 0.23624800000000001 6.8139867820873175 6.8139867820873175 6.8139867820873175 6.8139867820873175 6.8139867820873175 6.8139867820873175 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 67 67 67 67 67 67 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 0 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0 -1.0577120131363507 6.9223164812350113 0.001 49.55762 49.692315000000001 49.362965000000003 49.363067999999998 0.20954600000000001 0.27621299999999999 6.9223389959710024 6.9223389959710024 6.9223389959710024 6.9223389959710024 6.9223389959710024 6.9223389959710024 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 83 83 83 83 83 83 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 0 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0 -1.0577360358777737 7.0045095553354182 0.001 49.755800000000001 49.720919000000002 49.551943000000001 49.620803000000002 0.310164 0.261909 7.004505411003394 7.004505411003394 7.004505411003394 7.004505411003394 7.004505411003394 7.004505411003394 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 91 91 91 91 91 91 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 0 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0 -1.0577600586191964 7.0403851828477153 0.001 49.858268000000002 49.925649999999997 49.757100000000001 49.759234999999997 0.23824999999999999 0.31126799999999999 7.0403829421860307 7.0403829421860307 7.0403829421860307 7.0403829421860307 7.0403829421860307 7.0403829421860307 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 91 91 91 91 91 91 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 0 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0 -1.0576909932376057 6.8139830013407305 0.0001 49.799520000000001 49.710894000000003 49.653953000000001 49.726838999999998 0.37384099999999998 0.34207599999999999 6.8139823806006667 6.8139823806006667 6.8139823806006667 6.8139823806006667 6.8139823806006667 6.8139823806006667 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 107 107 107 107 107 107 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 0 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0 -1.0577120131363507 6.9223164812350113 0.0001 49.685975999999997 49.693151999999998 49.582759000000003 49.555526999999998 0.29848999999999998 0.36723600000000001 6.9223156673031889 6.9223156673031889 6.9223156673031889 6.9223156673031889 6.9223156673031889 6.9223156673031889 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 107 107 107 107 107 107 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 0 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0 -1.0577360358777737 7.0045095553354182 0.0001 49.797590999999997 49.742400000000004 49.608342 49.685470000000002 0.35349599999999998 0.29791200000000001 7.0045086824761214 7.0045086824761214 7.0045086824761214 7.0045086824761214 7.0045086824761214 7.0045086824761214 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 107 107 107 107 107 107 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 0 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0 -1.0577600586191964 7.0403851828477153 0.0001 49.740186000000001 49.899999000000001 49.777341999999997 49.841721 0.28123900000000002 0.35112399999999999 7.0403853999323944 7.0403853999323944 7.0403853999323944 7.0403853999323944 7.0403853999323944 7.0403853999323944 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 107 107 107 107 107 107 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 1 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0 0.10924686468716169 627.73840599620598 0.001 0.85480599999999995 0.84662000000000004 0.77899600000000002 0.78465200000000002 0.18660299999999999 0.242781 627.72831737402873 627.72831737402873 627.72831737402873 627.72831737402873 627.72831737402873 627.72831737402873 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 105 105 105 105 105 105 49 45 7 1 0 0 49 45 7 1 0 0 49 45 7 1 0 0
0 0 uniform 1 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025960253015999791 0 0.10922584478841664 631.60308179632364 0.001 0.64086399999999999 0.66213 0.50774200000000003 0.52105400000000002 0.17785999999999999 0.19324 631.61507920936958 631.61507920936958 631.61507920936958 631.61507920936958 631.61507920936958 631.61507920936958 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 105 105 105 105 105 105 49 45 7 1 0 0 49 45 7 1 0 0 49 45 7 1 0 0
0 0 uniform 1 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.02593623027457688 0 0.10920182204699373 635.57229076759938 0.001 0.81388300000000002 0.82381099999999996 0.63624599999999998 0.65050200000000002 0.26209300000000002 0.24022499999999999 635.58150147373738 635.58150147373738 635.58150147373738 635.58150147373738 635.58150147373738 635.58150147373738 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 128 128 128 128 128 128 56 52 8 2 0 0 56 52 8 2 0 0 56 52 8 2 0 0
0 0 uniform 1 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025912207533153965 0 0.10917779930557081 638.98258495925404 0.001 0.63613799999999998 0.65464100000000003 0.49810199999999999 0.51604899999999998 0.217832 0.234537 638.99054014711896 638.99054014711896 638.99054014711896 638.99054014711896 638.99054014711896 638.99054014711896 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 128 128 128 128 128 128 56 52 8 2 0 0 56 52 8 2 0 0 56 52 8 2 0 0
0 0 uniform 1 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0 0.10924686468716169 627.73840599620598 0.0001 0.87626400000000004 0.89155600000000002 0.84455400000000003 0.85516300000000001 0.29371000000000003 0.30999300000000002 627.73684679954704 627.73684679954704 627.73684679954704 627.73684679954704 627.73684679954704 627.73684679954704 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 153 153 153 153 153 153 49 45 7 1 0 0 49 45 7 1 0 0 49 45 7 1 0 0
0 0 uniform 1 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025960253015999791 0 0.10922584478841664 631.60308179632364 0.0001 0.68637599999999999 0.72172199999999997 0.53639000000000003 0.55020899999999995 0.21832199999999999 0.22755600000000001 631.60368782152102 631.60368782152102 631.60368782152102 631.60368782152102 631.60368782152102 631.60368782152102 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 137 137 137 137 137 137 49 45 7 1 0 0 49 45 7 1 0 0 49 45 7 1 0 0
0 0 uniform 1 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.02593623027457688 0 0.10920182204699373 635.57229076759938 0.0001 0.92752299999999999 0.97723899999999997 0.752417 0.764123 0.33746500000000001 0.34947299999999998 635.57271866477447 635.57271866477447 635.57271866477447 635.57271866477447 635.57271866477447 635.57271866477447 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 192 192 192 192 192 192 56 52 8 2 0 0 56 52 8 2 0 0 56 52 8 2 0 0
0 0 uniform 1 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025912207533153965 0 0.10917779930557081 638.98258495925404 0.0001 0.74658400000000003 0.76725699999999997 0.605379 0.62147200000000002 0.333403 0.34535199999999999 638.9829250213055 638.9829250213055 638.9829250213055 638.9829250213055 638.9829250213055 638.9829250213055 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 192 192 192 192 192 192 56 52 8 2 0 0 56 52 8 2 0 0 56 52 8 2 0 0
