name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,0,1,1.0e-08,1,0,Converged,6.026774081862742,2.2032672e-08,328,328,254,0,0.957396,0.169153,0.317475,0.017567,0.003243,0.493044,6.0272324234265131,0,0,4.5706548e-14,1.1208874e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-08,0,0,Converged,6.026774081862742,2.2032673e-08,328,582,0,0,1.201503,0.176612,0.519984,0.016577,0.003173,0.489988,6.0272324234265131,0,0,4.5724528e-14,1.1208874e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,1,0,1.0e-03,1,0,Converged,6.0199533597338144,0.00029001793,184,184,116,0,1.034849,0.287193,0.195473,0.041983,0.008930,1.150196,6.0204103664095419,0,0,4.5350177e-14,1.1311239e-14,2.6733963e-15,5.5616784661169705,-17.137986500956949,-10.351485573652162,-4.9880854993560924,1.2384878941304642,0.0026021232,0.0039837767,0.0076584124,0.002620414,0.00085213421
plan15,0.0,1,0,1.0e-03,0,0,Converged,6.0199533597338144,0.00029001793,184,300,0,0,1.114669,0.287284,0.290126,0.038641,0.007253,1.144595,6.0204103664095419,0,0,4.5496338e-14,1.1311239e-14,2.6733963e-15,5.5616784661179661,-17.137986500956277,-10.351485573651029,-4.9880854993557708,1.2384878941305641,0.0026021232,0.0039837767,0.0076584124,0.002620414,0.00085213421
plan15,0.0,1,0,1.0e-04,1,0,Converged,6.0199533596497696,2.6306329e-06,264,264,192,0,1.082786,0.283783,0.274756,0.069218,0.009071,1.145560,6.0204103664095419,0,0,4.5567079e-14,1.1179139e-14,2.6733963e-15,5.5616784624051441,-17.137986489027483,-10.351485564235663,-4.9880854846064162,1.2384878952848566,6.963711e-05,0.00012098101,0.00013843533,6.7863764e-05,1.3488723e-05
plan15,0.0,1,0,1.0e-04,0,0,Converged,6.0199533596497696,2.6306329e-06,264,456,0,0,1.396079,0.286039,0.440737,0.074299,0.010180,1.151134,6.0204103664095419,0,0,4.5703288e-14,1.1179139e-14,2.6733963e-15,5.5616784624057845,-17.137986489026545,-10.351485564234956,-4.9880854846058682,1.238487895285044,6.9637112e-05,0.00012098101,0.00013843534,6.7863765e-05,1.3488723e-05
plan15,0.0,1,0,1.0e-05,1,0,Converged,6.0199533596499943,1.3937834e-07,296,296,223,0,1.135865,0.287776,0.286620,0.091694,0.009850,1.140604,6.0204103664095419,0,0,4.5692459e-14,1.1140583e-14,2.6733963e-15,5.5616784624400974,-17.137986488958415,-10.351485564286092,-4.9880854846345732,1.2384878952776164,2.4752268e-05,2.9966378e-05,3.3698636e-05,3.0456498e-05,5.3312557e-06
plan15,0.0,1,0,1.0e-05,0,0,Converged,6.0199533596499952,1.3937834e-07,296,519,0,0,1.360263,0.284902,0.475766,0.084590,0.009932,1.143197,6.0204103664095419,0,0,4.5744221e-14,1.1140583e-14,2.6733963e-15,5.5616784624406481,-17.137986488957615,-10.351485564285554,-4.9880854846339737,1.2384878952778293,2.4752271e-05,2.9966381e-05,3.3698641e-05,3.04565e-05,5.3312561e-06
plan15,0.0,1,0,1.0e-06,1,0,Converged,6.019953359650013,2.3952302e-08,328,328,254,0,1.187924,0.283847,0.328629,0.097382,0.010341,1.145183,6.0204103664095419,0,0,4.5610442e-14,1.1130644e-14,2.6733963e-15,5.5616784624542879,-17.137986488940005,-10.351485564258397,-4.9880854846222231,1.2384878952810352,2.6851847e-06,4.0119145e-06,4.6691561e-06,2.2309114e-06,1.1786172e-06
plan15,0.0,1,0,1.0e-06,0,0,Converged,6.019953359650013,2.3952302e-08,328,582,0,0,1.462459,0.282725,0.548131,0.104673,0.010605,1.136539,6.0204103664095419,0,0,4.5653587e-14,1.1130644e-14,2.6733963e-15,5.5616784624544833,-17.13798648893944,-10.351485564258283,-4.9880854846217684,1.2384878952812022,2.6852156e-06,4.0119351e-06,4.6691932e-06,2.2309238e-06,1.1786213e-06
