name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
rand015,0.0,1,0,1.0e-08,0,1,EventLocationLimited,2.1025684734872603,3.0654284e-09,62,106,0,0,1.232677,0.810394,0.264796,0.119911,0.011458,0.002350,0.907285,2.102568473487251,0,0,9.9682758e-14,8.0375807e-16,9.3372797e-16,-2.5392633371933284,-2.123413714245423,0.041781794970250835,-1.1220081507342221,1.1584521554674243e-06,1.8451075e-05,1.5429393e-05,2.4325588e-05,2.3414572e-05,1.9490785e-12
rand015,0.0,1,0,1.0e-08,0,2,EventLocationLimited,2.1025684734872603,3.0654284e-09,62,106,0,0,1.184427,0.745131,0.276156,0.122935,0.013883,0.001234,0.904290,2.102568473487251,0,0,9.9682758e-14,8.0375807e-16,9.3372797e-16,-2.5392633371933284,-2.123413714245423,0.041781794970250835,-1.1220081507342221,1.1584521554674243e-06,1.8451075e-05,1.5429393e-05,2.4325588e-05,2.3414572e-05,1.9490785e-12
rand015,0.0,1,1,1.0e-03,1,0,Converged,2.1020062070196261,3.0637816e-09,62,62,44,0,1.177719,0.608076,0.344282,0.105386,0.018418,0.001602,0.852599,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
rand015,0.0,1,1,1.0e-03,1,1,Converged,2.1020062070196261,3.0637816e-09,62,62,44,0,1.096455,0.671757,0.280777,0.109512,0.016712,0.001488,0.891706,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
rand015,0.0,1,1,1.0e-03,1,2,Converged,2.1020062070196261,3.0637816e-09,62,62,44,0,0.975202,0.588884,0.260970,0.098482,0.011207,0.001220,0.747609,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
rand015,0.0,1,1,1.0e-03,0,0,Converged,2.1020062070196248,3.0637826e-09,62,106,0,0,1.071421,0.586999,0.285836,0.163437,0.010896,0.001202,0.767996,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
rand015,0.0,1,1,1.0e-03,0,1,Converged,2.1020062070196248,3.0637826e-09,62,106,0,0,1.067959,0.595195,0.268575,0.165481,0.013632,0.001265,0.765517,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
rand015,0.0,1,1,1.0e-03,0,2,Converged,2.1020062070196248,3.0637826e-09,62,106,0,0,1.059638,0.594548,0.265836,0.162643,0.012206,0.001165,0.768228,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
rand015,0.0,1,1,1.0e-04,1,0,EventLocationLimited,2.1020062070196261,3.0637816e-09,62,62,44,0,1.089686,0.686228,0.276313,0.100753,0.010879,0.001155,0.767675,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
rand015,0.0,1,1,1.0e-04,1,1,EventLocationLimited,2.1020062070196261,3.0637816e-09,62,62,44,0,0.997148,0.599009,0.270886,0.100449,0.011587,0.001199,0.764898,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
rand015,0.0,1,1,1.0e-04,1,2,EventLocationLimited,2.1020062070196261,3.0637816e-09,62,62,44,0,1.002640,0.604060,0.269578,0.101439,0.012130,0.001172,0.756764,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
rand015,0.0,1,1,1.0e-04,0,0,EventLocationLimited,2.1020062070196248,3.0637826e-09,62,106,0,0,1.095067,0.613937,0.274732,0.164148,0.017887,0.001214,0.756560,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
rand015,0.0,1,1,1.0e-04,0,1,EventLocationLimited,2.1020062070196248,3.0637826e-09,62,106,0,0,1.068548,0.590159,0.275319,0.164195,0.013984,0.001274,0.747750,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
rand015,0.0,1,1,1.0e-04,0,2,EventLocationLimited,2.1020062070196248,3.0637826e-09,62,106,0,0,1.117536,0.588822,0.315108,0.172399,0.015171,0.001383,0.811223,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
rand015,0.0,1,1,1.0e-05,1,0,EventLocationLimited,2.1020062070196261,3.0637816e-09,62,62,44,0,0.991793,0.594893,0.264056,0.100964,0.016866,0.001209,0.799150,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
