name,u,jac,warm,repeat,mode,mu,status,stop,evaluations,whole_ms,topology_ms
plan15,0.5,1,0,0,adaptive_affine,6.1205016250356818,8,BudgetExceeded,23572,363.061213,0.293856
plan15,0.5,1,0,0,adaptive_fold,6.1205016227170841,0,Converged,264,1.580698,0.357584
plan15,0.5,1,0,1,adaptive_fold,6.1205016227170841,0,Converged,264,1.448202,0.301458
plan15,0.5,1,0,1,adaptive_affine,6.1205016250356818,8,BudgetExceeded,23572,380.019759,0.293806
plan15,0.5,1,0,1,mapped_fixed63,6.1205016227172306,0,fixed_resolution,504,2.093481,0.372901
plan15,0.5,1,0,2,mapped_fixed63,6.1205016227172306,0,fixed_resolution,504,1.949580,0.298340
plan15,0.5,1,0,2,adaptive_affine,6.1205016250356818,8,BudgetExceeded,23572,360.206717,0.294418
plan15,0.5,1,0,2,adaptive_fold,6.1205016227170841,0,Converged,264,1.569137,0.367181
plan15,0.5,1,1,0,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.914449,0.171246
plan15,0.5,1,1,0,adaptive_affine,6.1294554733079361,8,BudgetExceeded,23572,379.571934,0.179612
plan15,0.5,1,1,0,adaptive_fold,6.1294554709811564,0,Converged,264,1.461270,0.193461
plan15,0.5,1,1,1,adaptive_fold,6.1294554709811564,0,Converged,264,1.323556,0.168571
plan15,0.5,1,1,1,adaptive_affine,6.1294554733079361,8,BudgetExceeded,23572,371.926635,0.169294
plan15,0.5,1,1,1,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.961904,0.186587
plan15,0.5,1,1,2,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.898202,0.169779
plan15,0.5,1,1,2,adaptive_affine,6.1294554733079361,8,BudgetExceeded,23572,421.603016,0.172673
plan15,0.5,1,1,2,adaptive_fold,6.1294554709811564,0,Converged,264,1.422605,0.179900
resonant,0,0,0,0,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,3.511983,0.414758
resonant,0,0,0,0,adaptive_affine,13.730123627851691,0,Converged,239,1.309912,0.414393
resonant,0,0,0,0,adaptive_fold,13.730116144653453,0,Converged,151,1.192058,0.413336
resonant,0,0,0,1,adaptive_fold,13.730116144653453,0,Converged,151,1.184686,0.407021
resonant,0,0,0,1,adaptive_affine,13.730123627851691,0,Converged,239,1.261222,0.406587
resonant,0,0,0,1,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,3.469691,0.404876
resonant,0,0,0,2,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,3.512648,0.408488
resonant,0,0,0,2,adaptive_affine,13.730123627851691,0,Converged,239,1.261687,0.414541
resonant,0,0,0,2,adaptive_fold,13.730116144653453,0,Converged,151,1.189197,0.404708
resonant,0,0,1,0,mapped_fixed63,13.807807455844566,0,fixed_resolution,567,3.554417,0.373094
resonant,0,0,1,0,adaptive_affine,13.807823245948164,0,Converged,239,1.241538,0.371982
resonant,0,0,1,0,adaptive_fold,13.807807472466953,0,Converged,143,1.137425,0.368527
resonant,0,0,1,1,adaptive_fold,13.807807472466953,0,Converged,143,1.137121,0.367444
