case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic
0 linear 0 0 61.927289000000002 7.0379226907888537 1 67 60.639679000000001 0.042348999999999998 0.25276199999999999 0.0093999999999999986 0.0018980000000000002 0.0089409999999999993 0.020506 0.191714 0.34468700000000002 59.727475000000005 0.107818 2.9e-05 0.062723000000000001 0.0097610000000000006 0.0094979999999999995 0.16436200000000004 0.038385999999999997 0.0089880000000000012 0 0 0 0 0 0 0 0 0 0 60.424137999999999 60.603772999999997 0.011193 0.010978 0.013453 0.00065099999999999999 0.043714000000000003
0 linear 0 7 53.382275999999997 7.165175685042759 1 83 52.954912999999998 0.010747 0.36118800000000006 0.0065769999999999995 0.0025720000000000001 0.0079629999999999996 0.025107999999999998 0.060616000000000003 0.28456199999999998 52.405428999999998 0.089000999999999997 2.8e-05 0.016336 0.0019480000000000001 0.004228 0.25911299999999987 0.049283 0.011860000000000006 0 1 15 15 0 0 0 0 0 0 52.870820999999999 52.944285000000001 0.0061219999999999998 0.0060260000000000001 0.012429000000000001 0.00025000000000000001 0.038919000000000002
0 linear 0 15 53.640228 7.2540425509600803 1 91 53.201037999999997 0.011390000000000001 0.39269599999999993 0.0073179999999999999 0.0015660000000000001 0.0032339999999999999 0.010458 0.049930000000000002 0.30291299999999999 52.613475000000001 0.089630000000000001 2.0000000000000002e-05 0.079726999999999992 0.001846 0.0039780000000000006 0.28717600000000015 0.052644999999999997 0.011275000000000007 0 2 13 13 0 0 0 0 0 0 53.077565999999997 53.192700000000002 0.001786 0.0057019999999999996 0.012393 3.6000000000000001e-05 0.038415999999999999
0 linear 0 23 53.383813000000004 7.2793514851610421 1 91 53.007182999999998 0.011439 0.33604999999999985 0.0072919999999999999 0.001462 0.0031540000000000001 0.011679 0.047841000000000002 0.25728000000000001 52.50038 0.089429000000000008 2.0999999999999999e-05 0.048695000000000002 0.0017049999999999999 0.0038270000000000001 0.23381900000000005 0.050080000000000006 0.012271000000000001 0 3 13 13 0 0 0 0 0 0 52.914842 53.000073999999998 0.0015610000000000001 0.0053689999999999996 0.012426999999999999 4.6e-05 0.038026999999999998
0 linear 1 0 1.0622720000000001 589.76731831372365 1 105 0.66473800000000005 0.013561999999999999 0.32214900000000002 0.0075659999999999998 0.0016709999999999997 0.0033509999999999998 0.0099509999999999998 0.181228 0.129966 0 0.0082529999999999999 0.001457 0.25120399999999998 0.0015950000000000001 0.0042889999999999994 0.16776199999999999 0.082445000000000018 0.017884999999999995 0 0 0 0 0.0042719999999999998 1 0 0 14 0 0.36149500000000001 0.65554900000000005 0.0011529999999999999 0.0036449999999999998 0.015688999999999998 0.003532 0.032571999999999997
0 linear 1 7 0.77551800000000004 593.09247526628167 1 105 0.39825300000000002 0.014149 0.33234199999999992 0.0072339999999999991 0.0016210000000000003 0.0029659999999999999 0.010498 0.051182999999999999 0.15421299999999999 0 0.0035609999999999999 0.0010790000000000001 0.10385999999999999 0.001199 0.0038230000000000004 0.17301599999999995 0.078322000000000072 0.017918999999999997 0 1 19 19 0.0028930000000000002 1 0 0 14 0 0.249113 0.39165499999999998 0.001403 0.0037169999999999998 0.014657 0.0014159999999999999 0.031508000000000001
0 linear 1 15 0.98760800000000004 596.53003682974679 1 128 0.48911700000000002 0.012716 0.43828000000000022 0.0082409999999999983 0.0017129999999999999 0.0026559999999999999 0.0088419999999999992 0.049970000000000001 0.12710199999999999 0 0.0035509999999999999 0.001 0.22774800000000001 0.001023 0.0036890000000000004 0.22490599999999999 0.10148500000000002 0.022837999999999997 0 2 19 19 0.0029250000000000001 1 0 0 14 0 0.21964800000000001 0.48250100000000001 0.0024290000000000002 0.0031589999999999999 0.014123 0.0012110000000000001 0.030091
0 linear 1 23 0.84185600000000005 599.54254534181996 1 128 0.35147600000000001 0.015061 0.43478900000000015 0.0081250000000000003 0.0015120000000000003 0.003738 0.0099360000000000004 0.050624000000000002 0.128857 0 0.0041869999999999997 0.0011429999999999999 0.072472999999999996 0.001771 0.0043480000000000003 0.22242199999999998 0.099772000000000055 0.022923000000000013 0 3 19 19 0.0030539999999999999 1 0 0 14 0 0.224379 0.34257799999999999 0.0021559999999999999 0.0045649999999999996 0.015927 0.0025119999999999999 0.02954
0 linear 2 0 37.623150000000003 2.3667291596036724 1 61 37.396219000000002 0.012989000000000001 0.18700700000000003 0.006548 0.0010330000000000001 0.003075 0.010106 0.17457600000000001 0.33527699999999999 36.697713999999998 0.085371000000000002 2.0000000000000002e-05 0.041317 0.0029369999999999999 0.0045409999999999999 0.12232899999999999 0.029228999999999988 0.007218999999999998 0 0 0 0 0 0 0 0 0 0 37.307893 37.385007999999999 0.0010200000000000001 0.0053769999999999998 0.012012999999999999 5.8e-05 0.033377999999999998
0 linear 2 7 51.191343000000003 2.4102109454225378 1 61 50.917937000000002 0.011356 0.23563300000000001 0.006379000000000001 0.001093 0.004261 0.010232 0.051547999999999997 0.265515 50.448785000000001 0.083213999999999996 1.9000000000000001e-05 0.0098439999999999986 0.0015460000000000001 0.0038739999999999998 0.17138899999999999 0.029497999999999996 0.0081939999999999999 0 1 16 13 0 0 0 0 0 0 50.865006000000001 50.910834999999999 0.00198 0.0053740000000000003 0.012128000000000002 4.6e-05 0.033279000000000003
