sample stage prepare_ms correction_ms screen_ms interval_ms finite screened certified
1 0 0.027729 0 0.050639999999999998 0 1 0 0
1 1 0.027729 0.011439 0.069681000000000007 0 1 0 0
1 2 0.027729 0.019147999999999998 0.26847199999999999 0 1 0 0
2 0 0.016192000000000002 0 0.029845 0 1 0 0
2 1 0.016192000000000002 0.0076940000000000003 0.067131999999999997 0 1 0 0
2 2 0.016192000000000002 0.015393 0.26110899999999998 0 1 0 0
3 0 0.013901 0 0.026440999999999999 0 1 0 0
3 1 0.013901 0.0076889999999999997 0.067393999999999996 0 1 0 0
3 2 0.013901 0.015380999999999999 0.21926799999999999 0 1 0 0
5 0 0.015457 0 0.026772000000000001 0 1 0 0
5 1 0.015457 0.0077580000000000001 0.037012000000000003 0 1 0 0
5 2 0.015457 0.015501000000000001 0.49413800000000002 0.89477700000000004 1 1 1
6 0 0.014357 0 0.027172999999999999 0 1 0 0
6 1 0.014357 0.0065760000000000002 0.033845 0 1 0 0
6 2 0.014357 0.013079 0.26084400000000002 0 1 0 0
7 0 0.012082000000000001 0 0.025995999999999998 0 1 0 0
7 1 0.012082000000000001 0.0065259999999999997 0.035496 0 1 0 0
7 2 0.012082000000000001 0.013041000000000001 0.25718200000000002 0 1 0 0
9 0 0.013493 0 0.033998 0 1 0 0
9 1 0.013493 0.0064869999999999997 0.068339999999999998 0 1 0 0
9 2 0.013493 0.013002 0.22211900000000001 0 1 0 0
10 0 0.011573 0 0.025850999999999999 0 1 0 0
10 1 0.011573 0.0065310000000000003 0.067630999999999997 0 1 0 0
10 2 0.011573 0.013021000000000001 0.20663899999999999 0 1 0 0
11 0 0.010617 0 0.025607999999999999 0 1 0 0
11 1 0.010617 0.0064920000000000004 0.067333000000000004 0 1 0 0
11 2 0.010617 0.013018999999999999 0.209897 0 1 0 0
13 0 0.012461 0 0.043168999999999999 0 1 0 0
13 1 0.012461 0.0065069999999999998 0.067916000000000004 0 1 0 0
13 2 0.012461 0.012999999999999999 0.46946399999999999 0.789516 1 1 1
14 0 0.015790999999999999 0 0.033959000000000003 0 1 0 0
14 1 0.015790999999999999 0.0079699999999999997 0.051303000000000001 0 1 0 0
14 2 0.015790999999999999 0.015870000000000002 0.48841299999999999 0.78758300000000003 1 1 1
15 0 0.013665 0 0.033812000000000002 0 1 0 0
15 1 0.013665 0.0065380000000000004 0.049730000000000003 0 1 0 0
15 2 0.013665 0.01303 0.47647699999999998 0.77642800000000001 1 1 1
17 0 0.014753 0 0.030613000000000001 0 1 0 0
