sample stage prepare_ms correction_ms screen_ms interval_ms finite screened certified
1 0 0.029534000000000001 0 0.25482700000000003 0 1 0 0
1 1 0.029534000000000001 0.011601 0.46009899999999998 0.97046200000000005 1 1 1
1 2 0.029534000000000001 0.01924 0.46198699999999998 0.93290399999999996 1 1 1
2 0 0.016348999999999999 0 0.23013600000000001 0 1 0 0
2 1 0.016348999999999999 0.0065040000000000002 0.45519599999999999 0.93667199999999995 1 1 1
2 2 0.016348999999999999 0.012994 0.45609 0.93125800000000003 1 1 1
3 0 0.015068 0 0.23258400000000001 0 1 0 0
3 1 0.015068 0.0078810000000000009 0.47536800000000001 0.94665999999999995 1 1 1
3 2 0.015068 0.014347000000000002 0.46412700000000001 0.92677399999999999 1 1 1
5 0 0.015928000000000001 0 0.44788099999999997 0.853047 1 1 1
5 1 0.015928000000000001 0.006561 0.448048 0.851356 1 1 1
5 2 0.015928000000000001 0.014197999999999999 0.43916899999999998 0.84946500000000003 1 1 1
6 0 0.016066 0 0.47053 0.85647700000000004 1 1 1
6 1 0.016066 0.0076829999999999997 0.444689 0.85830300000000004 1 1 1
6 2 0.016066 0.014145 0.44609900000000002 0.85009699999999999 1 1 1
7 0 0.014826000000000001 0 0.44037799999999999 0.84775500000000004 1 1 1
7 1 0.014826000000000001 0.0065459999999999997 0.447297 0.86938300000000002 1 1 1
7 2 0.014826000000000001 0.014381999999999999 0.45211000000000001 0.85456699999999997 1 1 1
9 0 0.015663 0 0.19611899999999999 0 1 0 0
9 1 0.015663 0.0064749999999999999 0.46346700000000002 0.93431299999999995 1 1 1
9 2 0.015663 0.012952 0.45807900000000001 0.93186800000000003 1 1 1
10 0 0.016084999999999999 0 0.19243299999999999 0 1 0 0
10 1 0.016084999999999999 0.0076699999999999997 0.189363 0 1 0 0
10 2 0.016084999999999999 0.015345000000000001 0.18926499999999999 0 1 0 0
11 0 0.014297000000000001 0 0.18735499999999999 0 1 0 0
11 1 0.014297000000000001 0.0076870000000000003 0.18767700000000001 0 1 0 0
11 2 0.014297000000000001 0.015294 0.18437500000000001 0 1 0 0
13 0 0.015132 0 0.42317100000000002 0.77732999999999997 1 1 1
13 1 0.015132 0.007724 0.427014 0.77586500000000003 1 1 1
13 2 0.015132 0.014185 0.42436699999999999 0.77074200000000004 1 1 1
14 0 0.014937000000000001 0 0.42220000000000002 0.77356800000000003 1 1 1
14 1 0.014937000000000001 0.0065259999999999997 0.42699700000000002 0.76851999999999998 1 1 1
14 2 0.014937000000000001 0.012978 0.42682999999999999 0.78717899999999996 1 1 1
15 0 0.016229 0 0.434859 0.77389699999999995 1 1 1
15 1 0.016229 0.006502 0.42741400000000002 0.77329899999999996 1 1 1
15 2 0.016229 0.012971 0.42349199999999998 0.76978000000000002 1 1 1
17 0 0.016417000000000001 0 0.198905 0 1 0 0
17 1 0.016417000000000001 0.0077169999999999999 0.45958199999999999 0.93935100000000005 1 1 1
17 2 0.016417000000000001 0.015321999999999999 0.45512599999999998 0.92914600000000003 1 1 1
18 0 0.015748999999999999 0 0.46767500000000001 0.93112799999999996 1 1 1
18 1 0.015748999999999999 0.0065030000000000001 0.462142 0.92738100000000001 1 1 1
18 2 0.015748999999999999 0.012975 0.464169 0.92097600000000002 1 1 1
19 0 0.014472 0 0.46061800000000003 0.94096100000000005 1 1 1
19 1 0.014472 0.0079389999999999999 0.47769400000000001 0.932369 1 1 1
19 2 0.014472 0.014411999999999999 0.46375100000000002 0.92682200000000003 1 1 1
21 0 0.014775 0 0.23258699999999999 0 1 0 0
21 1 0.014775 0.0065339999999999999 0.45879500000000001 0.93233200000000005 1 1 1
21 2 0.014775 0.014182 0.460283 0.92767299999999997 1 1 1
22 0 0.015254999999999999 0 0.23164599999999999 0 1 0 0
22 1 0.015254999999999999 0.0076899999999999998 0.45977800000000002 0.93227300000000002 1 1 1
22 2 0.015254999999999999 0.015313 0.46398 0.92930800000000002 1 1 1
23 0 0.014499 0 0.22845699999999999 0 1 0 0
23 1 0.014499 0.0065199999999999998 0.45550499999999999 0.93274199999999996 1 1 1
23 2 0.014499 0.013013 0.46262700000000001 0.92632400000000004 1 1 1
25 0 0.015611999999999999 0 0.452733 0.878695 1 1 1
25 1 0.015611999999999999 0.0065339999999999999 0.44642300000000001 0.85409900000000005 1 1 1
25 2 0.015611999999999999 0.013046 0.44297300000000001 0.853711 1 1 1
26 0 0.014995 0 0.44047500000000001 0.85120099999999999 1 1 1
26 1 0.014995 0.0077520000000000002 0.44738499999999998 0.856294 1 1 1
26 2 0.014995 0.015383000000000001 0.44492300000000001 0.85599899999999995 1 1 1
27 0 0.016757999999999999 0 0.440834 0.85564600000000002 1 1 1
27 1 0.016757999999999999 0.0065230000000000002 0.44538499999999998 0.84842200000000001 1 1 1
27 2 0.016757999999999999 0.012961 0.44098100000000001 0.846001 1 1 1
29 0 0.015892 0 0.196216 0 1 0 0
29 1 0.015892 0.0065230000000000002 0.46390799999999999 0.96375599999999995 1 1 1
29 2 0.015892 0.014168 0.46300000000000002 0.93907600000000002 1 1 1
30 0 0.016352999999999999 0 0.20066800000000001 0 1 0 0
30 1 0.016352999999999999 0.0077489999999999998 0.19634399999999999 0 1 0 0
30 2 0.016352999999999999 0.014211999999999999 0.18886700000000001 0 1 0 0
31 0 0.013421000000000001 0 0.18923799999999999 0 1 0 0
31 1 0.013421000000000001 0.0064949999999999999 0.189807 0 1 0 0
31 2 0.013421000000000001 0.012969999999999999 0.18528600000000001 0 1 0 0
33 0 0.014141000000000001 0 0.42424000000000001 0.78232400000000002 1 1 1
33 1 0.014141000000000001 0.0077060000000000002 0.42596899999999999 0.77633600000000003 1 1 1
33 2 0.014141000000000001 0.015335999999999999 0.42192400000000002 0.77180899999999997 1 1 1
34 0 0.015921999999999999 0 0.42200900000000002 0.76862299999999995 1 1 1
34 1 0.015921999999999999 0.0065269999999999998 0.425207 0.769482 1 1 1
34 2 0.015921999999999999 0.01298 0.42146099999999997 0.77483500000000005 1 1 1
35 0 0.013979999999999999 0 0.42245899999999997 0.77302199999999999 1 1 1
35 1 0.013979999999999999 0.0064999999999999997 0.42404999999999998 0.785937 1 1 1
35 2 0.013979999999999999 0.014364999999999999 0.43940400000000002 0.77133700000000005 1 1 1
37 0 0.015298000000000001 0 0.205287 0 1 0 0
37 1 0.015298000000000001 0.0065199999999999998 0.45783800000000002 0.93369500000000005 1 1 1
37 2 0.015298000000000001 0.013018999999999999 0.46111999999999997 0.92838200000000004 1 1 1
38 0 0.015866999999999999 0 0.46326299999999998 0.93382799999999999 1 1 1
38 1 0.015866999999999999 0.0076569999999999997 0.45983000000000002 0.93049400000000004 1 1 1
38 2 0.015866999999999999 0.015316 0.467553 0.93418500000000004 1 1 1
39 0 0.014508999999999999 0 0.45674399999999998 0.93854000000000004 1 1 1
39 1 0.014508999999999999 0.0065789999999999998 0.46359800000000001 0.927647 1 1 1
39 2 0.014508999999999999 0.013021 0.46645999999999999 0.95246799999999998 1 1 1
41 0 0.017134 0 0.450374 0.84958800000000001 1 1 1
41 1 0.017134 0.0065250000000000004 0.44453500000000001 0.840839 1 1 1
41 2 0.017134 0.012995 0.43612800000000002 0.84042899999999998 1 1 1
42 0 0.016354 0 0.44007200000000002 0.84393600000000002 1 1 1
42 1 0.016354 0.0076420000000000004 0.44371300000000002 0.84059499999999998 1 1 1
42 2 0.016354 0.015263000000000001 0.44231500000000001 0.84177199999999996 1 1 1
43 0 0.014688 0 0.43895400000000001 0.84328099999999995 1 1 1
43 1 0.014688 0.006535 0.44048900000000002 0.84340599999999999 1 1 1
43 2 0.014688 0.013010000000000001 0.44059300000000001 0.84109199999999995 1 1 1
45 0 0.014855 0 0.44965500000000003 0.86769300000000005 1 1 1
45 1 0.014855 0.0077250000000000001 0.43929200000000002 0.85305699999999995 1 1 1
45 2 0.014855 0.015557000000000001 0.45579599999999998 0.83898799999999996 1 1 1
46 0 0.014564000000000001 0 0.43841999999999998 0.85048999999999997 1 1 1
46 1 0.014564000000000001 0.0076550000000000003 0.43932900000000003 0.84424600000000005 1 1 1
46 2 0.014564000000000001 0.015292 0.443158 0.83913499999999996 1 1 1
47 0 0.018051000000000001 0 0.43893599999999999 0.84742799999999996 1 1 1
47 1 0.018051000000000001 0.0065100000000000002 0.43665900000000002 0.84432799999999997 1 1 1
