case_id	configuration_id	profile	d_bin_index	epoch	physical_count_old	physical_count_new	physical_identity_changes	max_motion_over_separation	median_motion_over_separation	overlap_pairs	physical_overlap_roots	small_motion_roots
0	0	linear	0	7	6	6	0	0.1445009641312789	0.043896339231358515	0	0	14
0	0	linear	0	15	6	6	0	0.2071202659330846	0.04899161824971052	0	0	14
0	0	linear	0	23	6	6	0	0.2926129303396261	0.050473568849280115	0	0	12
0	0	linear	1	7	7	8	1	0.09682516290758326	0.06086973756308051	0	0	14
0	0	linear	1	15	8	8	0	0.11065772952701172	0.06956544249522587	0	0	14
0	0	linear	1	23	8	8	0	0.11065735996042945	0.06956544249294175	0	0	14
0	0	linear	2	7	6	6	0	0.3168241458614851	0.05198777242562626	0	0	12
0	0	linear	2	15	6	6	0	0.6681974363916878	0.061958175091029986	2	0	10
0	0	linear	2	23	6	6	0	2.4087262353947154	0.06500445476113403	2	0	10
0	0	linear	3	7	10	10	0	0.06087253455056595	0.038212462949630946	0	0	14
0	0	linear	3	15	10	10	0	0.07200982985103879	0.043573516869601606	0	0	14
0	0	linear	3	23	10	10	0	0.0885578511655464	0.04346159837335489	0	0	14
0	0	linear	4	7	6	6	0	0.11111311736817649	0.03578090962775528	0	0	14
0	0	linear	4	15	6	6	0	0.11594894955883876	0.04242827753574041	0	0	14
0	0	linear	4	23	6	6	0	0.10808175880965668	0.043935584462340735	0	0	14
0	0	uniform	0	7	6	6	0	0.1445009641312789	0.043896339231358515	0	0	14
0	0	uniform	0	15	6	6	0	0.2071202659330846	0.04899161824971052	0	0	14
0	0	uniform	0	23	6	6	0	0.2926129303396261	0.050473568849280115	0	0	12
0	0	uniform	1	7	7	8	1	0.09682516290758326	0.06086973756308051	0	0	14
0	0	uniform	1	15	8	8	0	0.11065772952701172	0.06956544249522587	0	0	14
0	0	uniform	1	23	8	8	0	0.11065735996042945	0.06956544249294175	0	0	14
0	0	uniform	2	7	6	6	0	0.3168241458614851	0.05198777242562626	0	0	12
0	0	uniform	2	15	6	6	0	0.6681974363916878	0.061958175091029986	2	0	10
0	0	uniform	2	23	6	6	0	2.4087262353947154	0.06500445476113403	2	0	10
0	0	uniform	3	7	10	10	0	0.06087253455056595	0.038212462949630946	0	0	14
0	0	uniform	3	15	10	10	0	0.07200982985103879	0.043573516869601606	0	0	14
0	0	uniform	3	23	10	10	0	0.0885578511655464	0.04346159837335489	0	0	14
0	0	uniform	4	7	6	6	0	0.11111311736817649	0.03578090962775528	0	0	14
0	0	uniform	4	15	6	6	0	0.11594894955883876	0.04242827753574041	0	0	14
0	0	uniform	4	23	6	6	0	0.10808175880965668	0.043935584462340735	0	0	14
1	1	linear	0	7	8	8	0	0.0608541615573142	0.03384747397233563	0	0	14
1	1	linear	0	15	8	8	0	0.06954763401997786	0.03695837643789537	0	0	14
1	1	linear	0	23	8	8	0	0.06954763381062187	0.035344840020924695	0	0	14
1	1	linear	1	7	8	8	0	0.060912080749768574	0.015612197009840352	0	0	14
1	1	linear	1	15	8	8	0	0.06961335363792745	0.017655102448983898	0	0	14
1	1	linear	1	23	8	8	0	0.06961335411713133	0.017460519626301345	0	0	14
1	1	linear	2	7	8	10	2	0.9630982045235797	0.05547988431793516	1	2	12
1	1	linear	2	15	10	10	0	0.34708031329635	0.06254812419854225	0	0	12
1	1	linear	2	23	10	10	0	0.17248565883186084	0.06341765745197527	0	0	14
1	1	linear	3	7	10	10	0	0.06090060738764846	0.013855744028388111	0	0	14
1	1	linear	3	15	10	10	0	0.06960024490802726	0.01562978175257907	0	0	14
1	1	linear	3	23	10	10	0	0.0696002454391707	0.015367642124948781	0	0	14
1	1	linear	4	7	6	6	0	0.0825535553646948	0.04389198339378028	0	0	14
1	1	linear	4	15	6	6	0	0.09110576182762332	0.05119699790132226	0	0	14
1	1	linear	4	23	6	6	0	0.08864115846377099	0.05230587195151791	0	0	14
1	1	uniform	0	7	8	8	0	0.0608541615573142	0.03384747397233563	0	0	14
1	1	uniform	0	15	8	8	0	0.06954763401997786	0.03695837643789537	0	0	14
1	1	uniform	0	23	8	8	0	0.06954763381062187	0.035344840020924695	0	0	14
1	1	uniform	1	7	8	8	0	0.060912080749768574	0.015612197009840352	0	0	14
1	1	uniform	1	15	8	8	0	0.06961335363792745	0.017655102448983898	0	0	14
1	1	uniform	1	23	8	8	0	0.06961335411713133	0.017460519626301345	0	0	14
1	1	uniform	2	7	8	10	2	0.9630982045235797	0.05547988431793516	1	2	12
1	1	uniform	2	15	10	10	0	0.34708031329635	0.06254812419854225	0	0	12
1	1	uniform	2	23	10	10	0	0.17248565883186084	0.06341765745197527	0	0	14
1	1	uniform	3	7	10	10	0	0.06090060738764846	0.013855744028388111	0	0	14
1	1	uniform	3	15	10	10	0	0.06960024490802726	0.01562978175257907	0	0	14
1	1	uniform	3	23	10	10	0	0.0696002454391707	0.015367642124948781	0	0	14
1	1	uniform	4	7	6	6	0	0.0825535553646948	0.04389198339378028	0	0	14
1	1	uniform	4	15	6	6	0	0.09110576182762332	0.05119699790132226	0	0	14
1	1	uniform	4	23	6	6	0	0.08864115846377099	0.05230587195151791	0	0	14
2	2	linear	0	7	8	8	0	0.4112841686587037	0.020983825653825797	0	0	8
2	2	linear	0	15	8	8	0	2.767458830343756	0.04249194112766269	3	2	8
2	2	linear	0	23	8	8	0	0.4823264840381956	0.09438240967195344	0	0	8
2	2	linear	1	7	8	8	0	1.2593209778133208	0.09431361872534705	1	2	12
2	2	linear	1	15	8	8	0	3.017147115286581	0.08898654097032328	1	2	12
2	2	linear	1	23	8	8	0	10.449397176144325	0.08528397950893563	1	2	12
2	2	linear	2	7	6	6	0	0.12790556831383612	0.042573659877093106	0	0	14
2	2	linear	2	15	6	6	0	0.13915467156480593	0.04678192889416023	0	0	14
2	2	linear	2	23	6	6	0	0.13490923757831114	0.044778222749025404	0	0	14
2	2	linear	3	7	6	6	0	1.8109358486297251	0.0269122206969873	1	2	12
2	2	linear	3	15	6	6	0	0.7026682680031356	0.03128806042550815	1	2	12
2	2	linear	3	23	6	6	0	0.2874522197624662	0.031846042939525705	0	0	12
2	2	linear	4	7	6	6	0	0.1399326281504081	0.04960965654926995	0	0	14
2	2	linear	4	15	6	6	0	0.15949951408471857	0.05655165773032216	0	0	14
2	2	linear	4	23	6	6	0	0.166745925557357	0.05638457800006201	0	0	14
2	2	uniform	0	7	8	8	0	0.4112841686587037	0.020983825653825797	0	0	8
2	2	uniform	0	15	8	8	0	2.767458830343756	0.04249194112766269	3	2	8
2	2	uniform	0	23	8	8	0	0.4823264840381956	0.09438240967195344	0	0	8
2	2	uniform	1	7	8	8	0	1.2593209778133208	0.09431361872534705	1	2	12
2	2	uniform	1	15	8	8	0	3.017147115286581	0.08898654097032328	1	2	12
2	2	uniform	1	23	8	8	0	10.449397176144325	0.08528397950893563	1	2	12
2	2	uniform	2	7	6	6	0	0.12790556831383612	0.042573659877093106	0	0	14
2	2	uniform	2	15	6	6	0	0.13915467156480593	0.04678192889416023	0	0	14
2	2	uniform	2	23	6	6	0	0.13490923757831114	0.044778222749025404	0	0	14
2	2	uniform	3	7	6	6	0	1.8109358486297251	0.0269122206969873	1	2	12
2	2	uniform	3	15	6	6	0	0.7026682680031356	0.03128806042550815	1	2	12
2	2	uniform	3	23	6	6	0	0.2874522197624662	0.031846042939525705	0	0	12
2	2	uniform	4	7	6	6	0	0.1399326281504081	0.04960965654926995	0	0	14
2	2	uniform	4	15	6	6	0	0.15949951408471857	0.05655165773032216	0	0	14
2	2	uniform	4	23	6	6	0	0.166745925557357	0.05638457800006201	0	0	14
3	3	linear	0	7	6	6	0	13.11683279781172	0.11053612188441286	1	2	12
3	3	linear	0	15	6	6	0	1.8502725233364663	0.12449189931873003	1	2	12
3	3	linear	0	23	6	6	0	0.8738412000840378	0.1298293197361602	0	0	12
3	3	linear	1	7	4	4	0	1.1563276348210079	0.06892585186059233	3	1	9
3	3	linear	1	15	4	4	0	0.9838452444100251	0.0951274569488205	3	1	10
3	3	linear	1	23	4	4	0	0.6875854858250423	0.12338026064028251	1	0	10
3	3	linear	2	7	6	6	2	6.2874553411873375	0.09023064128532526	3	3	10
3	3	linear	2	15	6	6	0	1.073819135384287	0.11346265365201509	3	1	8
3	3	linear	2	23	6	6	0	0.3668498514520479	0.10961609915903173	0	0	10
3	3	linear	3	7	6	6	0	0.45451418199783417	0.06009339944969809	0	0	12
3	3	linear	3	15	6	6	0	1.673804227393193	0.06097032845327896	1	0	12
3	3	linear	3	23	6	6	0	0.41747311100551604	0.05603996103380781	0	0	12
3	3	linear	4	7	6	6	0	0.209377360756	0.036202208786097076	0	0	14
3	3	linear	4	15	6	6	0	0.24802201722647618	0.03818334241147616	0	0	14
3	3	linear	4	23	6	6	0	0.2526833279728469	0.034974051541328675	0	0	12
3	3	uniform	0	7	6	6	0	13.11683279781172	0.11053612188441286	1	2	12
3	3	uniform	0	15	6	6	0	1.8502725233364663	0.12449189931873003	1	2	12
3	3	uniform	0	23	6	6	0	0.8738412000840378	0.1298293197361602	0	0	12
3	3	uniform	1	7	4	4	0	1.1563276348210079	0.06892585186059233	3	1	9
3	3	uniform	1	15	4	4	0	0.9838452444100251	0.0951274569488205	3	1	10
3	3	uniform	1	23	4	4	0	0.6875854858250423	0.12338026064028251	1	0	10
3	3	uniform	2	7	6	6	2	6.2874553411873375	0.09023064128532526	3	3	10
3	3	uniform	2	15	6	6	0	1.073819135384287	0.11346265365201509	3	1	8
3	3	uniform	2	23	6	6	0	0.3668498514520479	0.10961609915903173	0	0	10
3	3	uniform	3	7	6	6	0	0.45451418199783417	0.06009339944969809	0	0	12
3	3	uniform	3	15	6	6	0	1.673804227393193	0.06097032845327896	1	0	12
3	3	uniform	3	23	6	6	0	0.41747311100551604	0.05603996103380781	0	0	12
3	3	uniform	4	7	6	6	0	0.209377360756	0.036202208786097076	0	0	14
3	3	uniform	4	15	6	6	0	0.24802201722647618	0.03818334241147616	0	0	14
3	3	uniform	4	23	6	6	0	0.2526833279728469	0.034974051541328675	0	0	12
4	4	linear	0	7	8	8	0	7.901590475398076	0.06492814358772928	3	2	8
4	4	linear	0	15	8	8	0	7.682820584623341	0.07269203660598123	3	2	8
4	4	linear	0	23	8	8	0	6.48789665703916	0.0711394914283565	3	2	8
4	4	linear	1	7	7	6	1	0.4878811831434081	0.04579598354984434	0	0	12
4	4	linear	1	15	6	7	1	0.677688343487926	0.05545246786789692	1	2	12
4	4	linear	1	23	7	8	1	0.893270106594111	0.05896418147902	1	2	12
4	4	linear	2	7	8	8	0	0.286527123735453	0.061070759074232955	0	0	13
4	4	linear	2	15	8	8	0	0.41056003868049507	0.06979702407933205	0	0	11
4	4	linear	2	23	8	8	0	0.7320160022192008	0.06979699691833834	2	1	11
4	4	linear	3	7	6	6	0	0.26512610515500623	0.0607910544019461	0	0	12
4	4	linear	3	15	6	6	0	0.29744174478196855	0.0686924300290551	0	0	12
4	4	linear	3	23	6	6	0	0.29630160691547114	0.06790547320452042	0	0	12
4	4	linear	4	7	6	6	0	0.41907403211867444	0.0577472566737358	0	0	10
4	4	linear	4	15	6	6	0	0.591691089589453	0.06585959171411321	0	0	10
4	4	linear	4	23	6	6	0	0.775278333779748	0.06565254187922026	2	0	10
4	4	uniform	0	7	8	8	0	7.901590475398076	0.06492814358772928	3	2	8
4	4	uniform	0	15	8	8	0	7.682820584623341	0.07269203660598123	3	2	8
4	4	uniform	0	23	8	8	0	6.48789665703916	0.0711394914283565	3	2	8
4	4	uniform	1	7	7	6	1	0.4878811831434081	0.04579598354984434	0	0	12
4	4	uniform	1	15	6	7	1	0.677688343487926	0.05545246786789692	1	2	12
4	4	uniform	1	23	7	8	1	0.893270106594111	0.05896418147902	1	2	12
4	4	uniform	2	7	8	8	0	0.286527123735453	0.061070759074232955	0	0	13
4	4	uniform	2	15	8	8	0	0.41056003868049507	0.06979702407933205	0	0	11
4	4	uniform	2	23	8	8	0	0.7320160022192008	0.06979699691833834	2	1	11
4	4	uniform	3	7	6	6	0	0.26512610515500623	0.0607910544019461	0	0	12
4	4	uniform	3	15	6	6	0	0.29744174478196855	0.0686924300290551	0	0	12
4	4	uniform	3	23	6	6	0	0.29630160691547114	0.06790547320452042	0	0	12
4	4	uniform	4	7	6	6	0	0.41907403211867444	0.0577472566737358	0	0	10
4	4	uniform	4	15	6	6	0	0.591691089589453	0.06585959171411321	0	0	10
4	4	uniform	4	23	6	6	0	0.775278333779748	0.06565254187922026	2	0	10
5	5	linear	0	7	6	6	0	0.8539929734046859	0.5052965188496444	6	1	3
5	5	linear	0	15	6	8	4	1.70816560899765	0.6002847623223668	8	5	5
5	5	linear	0	23	8	8	2	10.23149101834321	1.4409573788639012	10	6	3
5	5	linear	1	7	6	6	0	1.0029317132539952	0.17427538370321413	2	1	8
5	5	linear	1	15	6	6	0	0.7366590823142107	0.1476312261166776	3	1	9
5	5	linear	1	23	6	6	0	0.86048559224099	0.19958514245796127	4	1	7
5	5	linear	2	7	6	6	0	0.3168516574282078	0.1748235316671828	0	0	9
5	5	linear	2	15	6	6	0	0.4262633356914794	0.25138395799348723	0	0	6
5	5	linear	2	23	6	6	0	0.7825734368710395	0.33280593265576736	2	0	6
5	5	linear	3	7	6	6	0	28.57920690654393	1.8844260684391356	4	0	4
5	5	linear	3	15	6	6	0	17.965238247121974	2.1553425992228865	4	0	4
5	5	linear	3	23	6	6	0	10.18592639875483	2.1551780844149913	4	0	4
5	5	linear	4	7	6	6	0	0.18548097929550098	0.08522306495411133	0	0	14
5	5	linear	4	15	6	6	0	0.21861752602383688	0.09722186762307286	0	0	14
5	5	linear	4	23	6	6	0	0.21734958932220166	0.09769962813182363	0	0	14
5	5	uniform	0	7	6	6	0	0.8539929734046859	0.5052965188496444	6	1	3
5	5	uniform	0	15	6	8	4	1.70816560899765	0.6002847623223668	8	5	5
5	5	uniform	0	23	8	8	2	10.23149101834321	1.4409573788639012	10	6	3
5	5	uniform	1	7	6	6	0	1.0029317132539952	0.17427538370321413	2	1	8
5	5	uniform	1	15	6	6	0	0.7366590823142107	0.1476312261166776	3	1	9
5	5	uniform	1	23	6	6	0	0.86048559224099	0.19958514245796127	4	1	7
5	5	uniform	2	7	6	6	0	0.3168516574282078	0.1748235316671828	0	0	9
5	5	uniform	2	15	6	6	0	0.4262633356914794	0.25138395799348723	0	0	6
5	5	uniform	2	23	6	6	0	0.7825734368710395	0.33280593265576736	2	0	6
5	5	uniform	3	7	6	6	0	28.57920690654393	1.8844260684391356	4	0	4
5	5	uniform	3	15	6	6	0	17.965238247121974	2.1553425992228865	4	0	4
5	5	uniform	3	23	6	6	0	10.18592639875483	2.1551780844149913	4	0	4
5	5	uniform	4	7	6	6	0	0.18548097929550098	0.08522306495411133	0	0	14
5	5	uniform	4	15	6	6	0	0.21861752602383688	0.09722186762307286	0	0	14
5	5	uniform	4	23	6	6	0	0.21734958932220166	0.09769962813182363	0	0	14
6	6	linear	0	7	6	6	0	0.5843770875256344	0.41158353395535185	2	0	4
6	6	linear	0	15	6	6	0	1.1066506412900161	0.42437210392254976	2	0	4
6	6	linear	0	23	6	8	2	49.8286745558667	0.4363840903157586	7	4	5
6	6	linear	1	7	6	6	0	1.0736122632280267	0.44857517041667444	4	0	6
6	6	linear	1	15	6	6	0	1.0849106440293579	0.5090178749449172	4	0	6
6	6	linear	1	23	6	6	0	1.0247664720921776	0.4958863101105751	4	0	6
6	6	linear	2	7	6	8	4	2.5252970506741543	0.1643618798690582	8	6	8
6	6	linear	2	15	8	6	2	5.82268584111931	0.25408935740829197	7	5	6
6	6	linear	2	23	6	6	0	4.134773730725177	0.2217324221527034	2	0	8
6	6	linear	3	7	10	10	0	0.701491915240828	0.19351914156646477	0	0	10
6	6	linear	3	15	10	10	0	1.106123999740825	0.23710289956986288	1	2	9
6	6	linear	3	23	10	8	2	2.026981108029773	0.22251764140653282	2	4	9
6	6	linear	4	7	6	6	0	0.3315796916084474	0.07132884582333755	0	0	13
6	6	linear	4	15	6	6	0	0.6105682523799744	0.08643233544133197	0	0	12
6	6	linear	4	23	6	6	0	1.3122530968664354	0.08278531466149139	1	2	11
6	6	uniform	0	7	6	6	0	0.5843770875256344	0.41158353395535185	2	0	4
6	6	uniform	0	15	6	6	0	1.1066506412900161	0.42437210392254976	2	0	4
6	6	uniform	0	23	6	8	2	49.8286745558667	0.4363840903157586	7	4	5
6	6	uniform	1	7	6	6	0	1.0736122632280267	0.44857517041667444	4	0	6
6	6	uniform	1	15	6	6	0	1.0849106440293579	0.5090178749449172	4	0	6
6	6	uniform	1	23	6	6	0	1.0247664720921776	0.4958863101105751	4	0	6
6	6	uniform	2	7	6	8	4	2.5252970506741543	0.1643618798690582	8	6	8
6	6	uniform	2	15	8	6	2	5.82268584111931	0.25408935740829197	7	5	6
6	6	uniform	2	23	6	6	0	4.134773730725177	0.2217324221527034	2	0	8
6	6	uniform	3	7	10	10	0	0.701491915240828	0.19351914156646477	0	0	10
6	6	uniform	3	15	10	10	0	1.106123999740825	0.23710289956986288	1	2	9
6	6	uniform	3	23	10	8	2	2.026981108029773	0.22251764140653282	2	4	9
6	6	uniform	4	7	6	6	0	0.3315796916084474	0.07132884582333755	0	0	13
6	6	uniform	4	15	6	6	0	0.6105682523799744	0.08643233544133197	0	0	12
6	6	uniform	4	23	6	6	0	1.3122530968664354	0.08278531466149139	1	2	11
7	7	linear	0	7	5	4	1	0.4886689094469449	0.30097775124277076	0	0	6
7	7	linear	0	15	4	4	0	0.569185677584513	0.36191806032224766	2	0	6
7	7	linear	0	23	4	4	0	0.5897589419518209	0.37825604084826125	2	0	6
7	7	linear	1	7	6	6	0	0.610846687271297	0.06513968669885258	2	0	10
7	7	linear	1	15	6	6	0	0.6349246809080048	0.06911534842258371	2	0	8
7	7	linear	1	23	6	6	0	6.969315166192853	0.06911539342700496	3	2	8
7	7	linear	2	7	6	6	0	0.24356041593378963	0.09673626928646284	0	0	14
7	7	linear	2	15	6	6	0	0.36483398018385627	0.11063219880980159	0	0	12
7	7	linear	2	23	6	6	0	0.6368717207374931	0.11068915641311458	0	0	11
7	7	linear	3	7	6	6	0	0.12862270767806167	0.060874292172407994	0	0	14
7	7	linear	3	15	6	6	0	0.15416581566243384	0.06957138652643599	0	0	14
7	7	linear	3	23	6	6	0	0.2565197945384639	0.06957138688596445	0	0	13
7	7	linear	4	7	6	6	0	0.19605199976979193	0.06670135918745602	0	0	14
7	7	linear	4	15	6	6	0	0.25187601248376995	0.07700594905244189	0	0	12
7	7	linear	4	23	6	6	0	0.29218520497851885	0.07788512294528471	0	0	12
7	7	uniform	0	7	5	4	1	0.4886689094469449	0.30097775124277076	0	0	6
7	7	uniform	0	15	4	4	0	0.569185677584513	0.36191806032224766	2	0	6
7	7	uniform	0	23	4	4	0	0.5897589419518209	0.37825604084826125	2	0	6
7	7	uniform	1	7	6	6	0	0.610846687271297	0.06513968669885258	2	0	10
