sample stage prepare_ms correction_ms screen_ms interval_ms finite screened certified
1 0 0.027562 0 0.012869 0 1 0 0
1 1 0.027562 0.010800000000000001 0.0092460000000000007 0 1 0 0
1 2 0.027562 0.017718999999999999 0.0087469999999999996 0 1 0 0
2 0 0.014848999999999999 0 0.0074320000000000002 0 1 0 0
2 1 0.014848999999999999 0.0069829999999999996 0.0086350000000000003 0 1 0 0
2 2 0.014848999999999999 0.014006999999999999 0.0084270000000000005 0 1 0 0
3 0 0.012238000000000001 0 0.0071939999999999999 0 1 0 0
3 1 0.012238000000000001 0.007051 0.0084969999999999993 0 1 0 0
3 2 0.012238000000000001 0.014036 0.0085170000000000003 0 1 0 0
5 0 0.014319999999999999 0 0.0070060000000000001 0 1 0 0
5 1 0.014319999999999999 0.0074850000000000003 0.0068690000000000001 0 1 0 0
5 2 0.014319999999999999 0.015021 0.0065859999999999998 0 1 0 0
6 0 0.011868 0 0.0068040000000000002 0 1 0 0
6 1 0.011868 0.0074970000000000002 0.0066810000000000003 0 1 0 0
6 2 0.011868 0.015009999999999999 0.0069810000000000002 0 1 0 0
7 0 0.011084 0 0.0075529999999999998 0 1 0 0
7 1 0.011084 0.0070299999999999998 0.0085599999999999999 0 1 0 0
7 2 0.011084 0.014064999999999999 0.0071720000000000004 0 1 0 0
9 0 0.013520000000000001 0 0.0075079999999999999 0 1 0 0
9 1 0.013520000000000001 0.0070479999999999996 0.0079920000000000008 0 1 0 0
9 2 0.013520000000000001 0.014602 0.0080909999999999992 0 1 0 0
10 0 0.010656000000000001 0 0.0080000000000000002 0 1 0 0
10 1 0.010656000000000001 0.007515 0.008175 0 1 0 0
10 2 0.010656000000000001 0.015015000000000001 0.0080820000000000006 0 1 0 0
11 0 0.010319 0 0.0079389999999999999 0 1 0 0
11 1 0.010319 0.0075420000000000001 0.008149 0 1 0 0
11 2 0.010319 0.014457000000000001 0.0085059999999999997 0 1 0 0
13 0 0.012751999999999999 0 0.0021770000000000001 0 1 0 0
13 1 0.012751999999999999 0.0070410000000000004 0.002225 0 1 0 0
13 2 0.012751999999999999 0.013953 0.0021229999999999999 0 1 0 0
14 0 0.011086 0 0.0021779999999999998 0 1 0 0
14 1 0.011086 0.0070590000000000002 0.002225 0 1 0 0
14 2 0.011086 0.013989999999999999 0.0021900000000000001 0 1 0 0
15 0 0.010357 0 0.0020249999999999999 0 1 0 0
15 1 0.010357 0.0070549999999999996 0.0021770000000000001 0 1 0 0
15 2 0.010357 0.014012999999999999 0.0021649999999999998 0 1 0 0
17 0 0.011507 0 0.0098429999999999993 0 1 0 0
17 1 0.011507 0.0070109999999999999 0.021817 0.73131400000000002 1 1 1
17 2 0.011507 0.013947999999999999 0.022135999999999999 0.68100400000000005 1 1 1
18 0 0.014839 0 0.011037 0 1 0 0
18 1 0.014839 0.0069690000000000004 0.021992000000000001 0.71157899999999996 1 1 1
18 2 0.014839 0.014475999999999999 0.022700000000000001 0.781474 1 1 1
19 0 0.017035000000000002 0 0.012083 0 1 0 0
19 1 0.017035000000000002 0.0077619999999999998 0.023573 0.72216800000000003 1 1 1
