sample low_sweeps factor_ms split_ms refine2_ms refine4_ms finite0 finite2 finite4 physical0 physical2 physical4 classify_ms
91 44 0.061497999999999997 0.043278999999999998 0.184724 0.17324700000000001 14 14 14 0 0 0 0.0066870000000000002
92 47 0.058930000000000003 0.042167000000000003 0.177621 0.16681799999999999 14 14 14 0 0 2 0.33912900000000001
93 92 0.088896000000000003 0.039163000000000003 0.18504300000000001 0.172074 14 14 14 0 0 2 0.24155500000000002
94 92 0.062 0.037779 0.177537 0.16600500000000001 14 14 14 0 0 2 0.24283299999999999
95 91 0.090104000000000004 0.041005 0.17847299999999999 0.174204 14 14 14 0 0 2 0.11745999999999999
96 47 0.063854999999999995 0.041491 0.189413 0.174424 14 14 14 0 0 4 0.0079389999999999999
97 45 0.063414999999999999 0.040557000000000003 0.19906199999999999 0.185832 14 14 14 0 0 4 0.0083949999999999997
98 44 0.064869999999999997 0.044212000000000001 0.18937399999999999 0.181038 14 14 14 0 0 4 0.0084030000000000007
99 46 0.066881999999999997 0.046251 0.20274900000000001 0.18074499999999999 14 14 14 0 1 4 0.0087860000000000004
100 43 0.069861999999999994 0.046898000000000002 0.19295999999999999 0.18209900000000001 14 14 14 0 0 0 0.0074559999999999991
101 43 0.060729999999999999 0.040497999999999999 0.191778 0.17871300000000001 14 14 14 0 0 0 0.007345
102 43 0.061530000000000001 0.042376999999999998 0.18865499999999999 0.17854500000000001 14 14 14 0 0 0 0.0071560000000000009
103 44 0.059232 0.044034999999999998 0.187001 0.17754600000000001 14 14 14 0 0 0 0.0072829999999999995
104 43 0.057521999999999997 0.035382999999999998 0.19050600000000001 0.179705 14 14 14 0 0 0 0.0073489999999999996
105 45 0.071170999999999998 0.042311000000000001 0.18864500000000001 0.17893800000000001 14 14 14 0 0 0 0.0073760000000000006
106 43 0.059630000000000002 0.035832999999999997 0.18435399999999999 0.17557900000000001 14 14 14 0 0 0 0.0069820000000000004
107 43 0.062302000000000003 0.036081000000000002 0.18737999999999999 0.17618300000000001 14 14 14 0 0 0 0.0073430000000000006
108 43 0.060777999999999999 0.049084999999999997 0.19973399999999999 0.17729900000000001 14 14 14 0 0 0 0.007817000000000001
109 43 0.061676000000000002 0.043436000000000002 0.18235000000000001 0.175617 14 14 14 0 0 0 0.0074350000000000006
110 44 0.059542999999999999 0.041288999999999999 0.17924000000000001 0.17265900000000001 14 14 14 0 0 0 0.0071970000000000003
111 44 0.060682 0.042974999999999999 0.18729699999999999 0.17624100000000001 14 14 14 0 0 0 0.0066630000000000005
112 47 0.058782000000000001 0.040987999999999997 0.180285 0.17421800000000001 14 14 14 0 0 2 0.34072100000000005
113 92 0.095606999999999998 0.042473999999999998 0.184034 0.17654300000000001 14 14 14 0 0 2 0.241534
114 92 0.067169999999999994 0.039336999999999997 0.18015100000000001 0.16805899999999999 14 14 14 0 0 2 0.24260400000000001
115 91 0.091153999999999999 0.043000999999999998 0.18076200000000001 0.17205300000000001 14 14 14 0 0 2 0.117426
116 47 0.064210000000000003 0.041866 0.190086 0.176015 14 14 14 0 0 4 0.0080219999999999996
117 45 0.063455999999999999 0.041030999999999998 0.18335899999999999 0.17057900000000001 14 14 14 0 0 4 0.0078359999999999992
118 44 0.059185000000000001 0.043809000000000001 0.17879500000000001 0.168686 14 14 14 0 0 4 0.0078869999999999999
119 46 0.058699000000000001 0.042257000000000003 0.20044400000000001 0.183254 14 14 14 0 1 4 0.00877
120 35 0.071214 0.052141 0.21766099999999999 0.213924 14 14 14 0 0 0 0.0087519999999999994
121 35 0.071201 0.048558999999999998 0.191441 0.184779 14 14 14 0 0 0 0.0077400000000000004
122 35 0.061274000000000002 0.045053000000000003 0.187139 0.18167800000000001 14 14 14 0 0 0 0.0075900000000000004
123 35 0.059568000000000003 0.043957000000000003 0.18510099999999999 0.181949 14 14 14 0 0 0 0.0078389999999999987
124 35 0.058820999999999998 0.043857 0.19017000000000001 0.182255 14 14 14 0 0 0 0.0079290000000000003
125 35 0.057799000000000003 0.042074 0.18992899999999999 0.18084500000000001 14 14 14 0 0 0 0.0075559999999999993
126 35 0.059626999999999999 0.043132999999999998 0.19219600000000001 0.18512400000000001 14 14 14 0 0 0 0.0078550000000000009
127 35 0.059042999999999998 0.042354000000000003 0.184833 0.181398 14 14 14 0 0 0 0.007698
128 35 0.061022 0.044257999999999999 0.194045 0.18076999999999999 14 14 14 0 0 0 0.0080759999999999998
129 35 0.064245999999999998 0.043862999999999999 0.19339700000000001 0.18476000000000001 14 14 14 0 0 0 0.0079950000000000004
130 35 0.062829999999999997 0.049672000000000001 0.194492 0.18557399999999999 14 14 14 0 0 0 0.0077689999999999999
131 35 0.061967000000000001 0.044520999999999998 0.19234100000000001 0.18465400000000001 14 14 14 0 0 0 0.0077249999999999992
132 35 0.063508999999999996 0.044492999999999998 0.19848399999999999 0.184618 14 14 14 0 0 0 0.0080140000000000003
133 35 0.059984000000000003 0.042547000000000001 0.188143 0.18798599999999999 14 14 14 0 0 0 0.0079340000000000001
134 35 0.06021 0.043617000000000003 0.187083 0.17898 14 14 14 0 0 0 0.0074920000000000004
135 35 0.059695999999999999 0.042894000000000002 0.186697 0.189387 14 14 14 0 0 0 0.0079989999999999992
136 35 0.064823000000000006 0.044143000000000002 0.18301400000000001 0.18069499999999999 14 14 14 0 0 0 0.0075069999999999998
137 35 0.063851000000000005 0.044076999999999998 0.18947600000000001 0.18590200000000001 14 14 14 0 0 0 0.0077770000000000009
138 35 0.061879000000000003 0.044637000000000003 0.192631 0.18573300000000001 14 14 14 0 0 0 0.0078670000000000007
139 35 0.062155000000000002 0.042154999999999998 0.19390299999999999 0.18554300000000001 14 14 14 0 0 0 0.0077800000000000005
140 35 0.063149999999999998 0.044241999999999997 0.18876999999999999 0.185367 14 14 14 0 0 0 0.0075769999999999995
