sample low_sweeps factor_ms split_ms refine2_ms refine4_ms finite0 finite2 finite4 physical0 physical2 physical4 classify_ms
0 37 0.69376199999999999 0.055857999999999998 0.19892299999999999 0.18848400000000001 14 14 14 0 0 0 0.010085
1 37 0.64185700000000001 0.047254999999999998 0.196377 0.18645400000000001 14 14 14 0 0 0 0.0077650000000000002
2 37 0.63687899999999997 0.046665999999999999 0.19459399999999999 0.187664 14 14 14 0 0 0 0.0076289999999999995
3 37 0.63717699999999999 0.045041999999999999 0.19139900000000001 0.18514900000000001 14 14 14 0 0 0 0.007698
4 40 0.66137400000000002 0.049868000000000003 0.18954699999999999 0.17053099999999999 14 14 14 4 5 5 0.81380600000000003
5 40 0.66150699999999996 0.044618999999999999 0.178816 0.16755300000000001 14 14 14 4 4 6 0.48966799999999999
6 40 0.66154199999999996 0.042897999999999999 0.17704900000000001 0.16800499999999999 14 14 14 4 4 6 0.80734700000000004
7 40 0.65779600000000005 0.042899 0.17685999999999999 0.16650999999999999 14 14 14 4 4 6 0.62362800000000007
8 37 0.63763300000000001 0.047497999999999999 0.19664999999999999 0.18790399999999999 14 14 14 0 0 0 0.007588000000000001
9 37 0.68444700000000003 0.044124999999999998 0.192887 0.18570300000000001 14 14 14 0 0 0 0.0075440000000000004
10 37 0.636521 0.045385000000000002 0.19641500000000001 0.185335 14 14 14 0 0 0 0.0074750000000000007
11 37 0.635741 0.045372000000000003 0.194129 0.18521399999999999 14 14 14 0 0 0 0.0074660000000000004
12 37 0.62014999999999998 0.045751 0.178707 0.16642799999999999 14 14 14 2 2 2 0.0045920000000000006
13 37 0.63473299999999999 0.046162000000000002 0.181593 0.17472299999999999 14 14 14 2 2 2 0.0048449999999999995
14 37 0.61977700000000002 0.043994999999999999 0.17485700000000001 0.16683200000000001 14 14 14 2 2 2 0.0045859999999999998
15 37 0.61353999999999997 0.043917999999999999 0.177316 0.169178 14 14 14 2 2 2 0.0045019999999999999
16 37 0.63553899999999997 0.046732999999999997 0.19902500000000001 0.18721099999999999 14 14 14 0 0 0 0.0078230000000000001
17 37 0.63844599999999996 0.043991000000000002 0.20078299999999999 0.185087 14 14 14 0 0 0 0.0076799999999999993
18 37 0.63814499999999996 0.044814 0.1943 0.186698 14 14 14 0 0 0 0.007561
19 37 0.63841199999999998 0.045509000000000001 0.19499 0.18854699999999999 14 14 14 0 0 0 0.0077359999999999998
20 37 0.64080000000000004 0.046510999999999997 0.191494 0.18409200000000001 14 14 14 0 0 0 0.0074879999999999999
21 37 0.63959900000000003 0.045844999999999997 0.19623299999999999 0.18434200000000001 14 14 14 0 0 0 0.0077590000000000003
22 37 0.640185 0.046358999999999997 0.19120200000000001 0.18532499999999999 14 14 14 0 0 0 0.0076210000000000002
23 37 0.63638600000000001 0.044076999999999998 0.188504 0.18574099999999999 14 14 14 0 0 0 0.0075079999999999999
24 40 0.66192700000000004 0.047154000000000001 0.19204199999999999 0.171873 14 14 14 4 5 5 0.79927400000000004
25 40 0.65645900000000001 0.042970000000000001 0.17666899999999999 0.165524 14 14 14 4 4 6 0.49011699999999997
26 40 0.65766100000000005 0.042171 0.17653199999999999 0.16808899999999999 14 14 14 4 4 6 0.80183899999999997
27 40 0.65867699999999996 0.044445999999999999 0.178007 0.17263800000000001 14 14 14 4 4 6 0.62015699999999996
28 37 0.63653499999999996 0.047869000000000002 0.19763 0.18823000000000001 14 14 14 0 0 0 0.0075680000000000001
29 37 0.63100599999999996 0.045760000000000002 0.193909 0.18651799999999999 14 14 14 0 0 0 0.0075379999999999996
30 37 0.63900400000000002 0.045546999999999997 0.19653999999999999 0.18524099999999999 14 14 14 0 0 0 0.0076760000000000005
31 37 0.63404799999999994 0.046214999999999999 0.19544900000000001 0.188107 14 14 14 0 0 0 0.0076039999999999996
32 37 0.62012800000000001 0.045607000000000002 0.17791100000000001 0.165523 14 14 14 2 2 2 0.0045069999999999997
33 37 0.62059500000000001 0.045675 0.18263699999999999 0.17097699999999999 14 14 14 2 2 2 0.0047039999999999998
34 37 0.63516300000000003 0.044949999999999997 0.17869099999999999 0.16395199999999999 14 14 14 2 2 2 0.0045259999999999996
35 37 0.61522600000000005 0.043282000000000001 0.17693500000000001 0.165826 14 14 14 2 2 2 0.004365
