sample	stage	finite	max_scaled_root_error	nearest_assignment_duplicates	positive_real_candidate_count_delta
0	0	True	8.470607881099424	10	-4
0	2	True	7.125648271197528	10	-4
0	4	True	5.9811685798232395	10	-4
1	0	True	8.473500864941736	10	-4
1	2	True	7.128111183284067	10	-4
1	4	True	5.983261611345443	10	-4
2	0	True	8.476810303567596	10	-4
2	2	True	7.130928649759077	10	-4
2	4	True	5.98565595937277	10	-4
3	0	True	8.480123130574679	10	-4
3	2	True	7.133749011465191	10	-4
3	4	True	5.988052777613317	10	-4
4	0	True	0.0008379807430202157	2	0
4	2	True	0.0019196020609630713	3	0
4	4	True	0.002197245018859988	3	0
5	0	True	0.0008392780681937302	2	0
5	2	True	0.0019657486675335265	3	0
5	4	True	0.002272041262648949	3	0
6	0	True	0.0008406106286355209	2	0
6	2	True	0.002013185967302269	3	0
6	4	True	0.0023578079850940367	3	0
7	0	True	0.0008417816603027891	0	0
7	2	True	0.0020533912455736433	3	0
7	4	True	0.0024438044810740174	3	0
8	0	True	8.510471636434488	10	-4
8	2	True	7.159596708052591	10	-4
8	4	True	6.010027677321172	10	-4
9	0	True	8.513401280299037	10	-4
9	2	True	7.162090940961369	10	-4
9	4	True	6.012147428098249	10	-4
10	0	True	8.51675268525413	10	-4
10	2	True	7.164944261792866	10	-4
10	4	True	6.014572362899555	10	-4
11	0	True	8.520107552547366	10	-4
11	2	True	7.167800541086671	10	-4
11	4	True	6.016999821896941	10	-4
12	0	True	0.011190554652010385	5	-8
12	2	True	0.007319776371136049	5	-8
12	4	True	0.009507038787074	5	-8
13	0	True	0.011354588781245315	5	-8
13	2	True	0.007497517230576652	5	-8
13	4	True	0.009723124959288275	5	-8
14	0	True	0.011566074774015675	5	-8
14	2	True	0.007730133254630734	5	-8
14	4	True	0.009997079120710746	5	-8
15	0	True	0.011813588206048357	5	-8
15	2	True	0.008006796775221562	5	-8
15	4	True	0.010311614103905489	5	-8
16	0	True	9.807508634691112	10	-4
16	2	True	8.264733179282183	10	-4
16	4	True	6.950018809971863	10	-4
17	0	True	9.811727209110341	10	-4
17	2	True	8.2683311279951	10	-4
17	4	True	6.953082487912862	10	-4
18	0	True	9.816555670408347	10	-4
18	2	True	8.27244922422934	10	-4
18	4	True	6.95658906107004	10	-4
19	0	True	9.821391748663556	10	-4
19	2	True	8.276573804405803	10	-4
19	4	True	6.960101143225801	10	-4
20	0	True	8.470607881099424	10	-4
20	2	True	7.125648271197528	10	-4
20	4	True	5.9811685798232395	10	-4
21	0	True	8.473500864941736	10	-4
21	2	True	7.128111183284067	10	-4
21	4	True	5.983261611345443	10	-4
22	0	True	8.476810303567596	10	-4
22	2	True	7.130928649759077	10	-4
22	4	True	5.98565595937277	10	-4
23	0	True	8.480123130574679	10	-4
23	2	True	7.133749011465191	10	-4
23	4	True	5.988052777613317	10	-4
24	0	True	0.0008379807430202157	2	0
24	2	True	0.0019196020609630713	3	0
24	4	True	0.002197245018859988	3	0
